BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2518.67589,0.12589,0.32139,0.19671,0.12243,0.07493,19.59769,0.14135,0.00000
2518.92592,0.37592,0.23374,0.19701,0.08904,0.07505,19.74985,0.16819,0.00000
2519.12038,0.57038,-0.56660,0.26480,-0.21583,0.10086,19.90090,0.15893,0.00000
2519.49888,0.94888,0.06175,0.30579,0.02352,0.11648,19.75028,0.21953,0.00000
2519.67598,1.12598,0.54904,0.19835,0.20913,0.07555,19.56380,0.16779,0.00000
2519.92601,1.37601,0.11853,0.19605,0.04516,0.07468,19.68847,0.17083,0.00000
2520.17603,1.62603,0.02271,0.19771,0.00865,0.07531,19.88141,0.13636,0.00000
2520.42605,1.87605,-0.02853,0.19542,-0.01087,0.07444,19.78904,0.14510,0.00000
2520.66243,2.11243,-0.09787,0.22025,-0.03728,0.08390,19.79385,0.14405,0.00000
2520.92610,2.37609,0.31608,0.19485,0.12040,0.07422,19.68595,0.12069,0.00000
2521.17612,2.62612,0.18384,0.19384,0.07003,0.07384,19.66254,0.14374,0.00000
2521.42614,2.87614,0.17910,0.19582,0.06822,0.07459,19.66595,0.15514,0.00000
2521.67527,3.12527,0.31593,0.19701,0.12034,0.07504,19.66240,0.17193,0.00000
2521.92618,3.37618,0.27609,0.19647,0.10517,0.07484,19.69533,0.17561,0.00000
2522.17621,3.62620,0.44592,0.19482,0.16985,0.07421,19.42394,0.14141,0.00000
2522.42623,3.87623,0.73753,0.19358,0.28093,0.07373,19.37464,0.13958,0.00000
2522.67625,4.12625,0.45240,0.19334,0.17232,0.07364,19.66613,0.17846,0.00000
2522.92627,4.37627,0.51746,0.19182,0.19711,0.07307,19.58399,0.15827,0.00000
2523.17629,4.62629,0.68323,0.19334,0.26024,0.07365,19.45827,0.16025,0.00000
2523.42631,4.87631,0.58314,0.19147,0.22212,0.07293,19.50076,0.15000,0.00000
2523.67633,5.12633,0.77744,0.19408,0.29613,0.07393,19.49101,0.16987,0.00000
2523.92635,5.37636,0.63570,0.18991,0.24214,0.07234,19.50677,0.16517,0.00000
2524.17638,5.62637,0.40894,0.19029,0.15577,0.07248,19.59848,0.19536,0.00000
2524.37084,5.82083,0.78570,0.25882,0.29927,0.09859,19.38677,0.24779,0.00000
2527.01343,8.46343,0.76340,0.74449,0.29080,0.28358,19.61470,1.33419,2.92000
2527.20518,8.65518,0.88465,0.26363,0.33697,0.10042,19.37089,0.42877,2.92000
2527.42667,8.87666,1.41768,0.20492,0.54001,0.07806,18.97544,0.27446,2.92000
2527.67668,9.12669,1.72936,0.20401,0.65873,0.07771,18.78262,0.20342,2.92000
2527.92671,9.37671,1.71057,0.20415,0.65157,0.07776,18.80497,0.21941,2.92000
2528.17673,9.62673,1.56639,0.20464,0.59666,0.07795,18.89540,0.22069,2.92000
2528.42675,9.87675,1.95910,0.20456,0.74624,0.07792,18.71633,0.21677,2.92000
2528.67678,10.12678,2.04599,0.20394,0.77933,0.07768,18.52721,0.14439,2.92000
2528.92680,10.37680,1.76589,0.20372,0.67264,0.07760,18.81325,0.21522,2.92000
2529.17682,10.62682,2.09381,0.20373,0.79754,0.07760,18.54931,0.16458,2.92000
2529.42684,10.87684,2.19632,0.20373,0.83660,0.07760,18.51709,0.15400,2.92000
2529.67686,11.12686,2.18697,0.20339,0.83304,0.07747,18.54106,0.18150,2.92000
2529.92688,11.37688,2.25026,0.20351,0.85716,0.07752,18.45767,0.13672,2.92000
2530.17690,11.62690,2.20400,0.20356,0.83952,0.07754,18.50660,0.15994,2.92000
2530.42692,11.87692,2.29986,0.20350,0.87604,0.07751,18.45630,0.14496,2.92000
2530.67694,12.12694,2.41063,0.20350,0.91823,0.07752,18.38221,0.13858,2.92000
2530.93248,12.38248,2.44914,0.20933,0.93290,0.07974,18.43084,0.16871,2.92000
2531.17699,12.62698,2.09297,0.20309,0.79723,0.07736,18.55681,0.15761,2.92000
2531.42700,12.87700,2.36806,0.20294,0.90202,0.07730,18.38283,0.11768,2.92000
2531.66314,13.11313,2.08241,0.21519,0.79322,0.08197,18.56473,0.17387,2.92000
2531.93746,13.38746,2.52722,0.21180,0.96264,0.08068,18.34148,0.14237,2.92000
2532.17707,13.62707,2.12065,0.20279,0.80777,0.07725,18.52580,0.15476,2.92000
2532.42708,13.87709,2.63969,0.20232,1.00550,0.07706,18.30143,0.13431,2.92000
2532.67710,14.12711,2.29966,0.20238,0.87595,0.07709,18.43837,0.15044,2.92000
2532.92713,14.37713,2.58478,0.20243,0.98457,0.07711,18.28217,0.11307,2.92000
2533.17714,14.62715,2.59276,0.20248,0.98761,0.07713,18.28742,0.12515,2.92000
2533.42716,14.87716,2.62332,0.20278,0.99926,0.07724,18.26262,0.10072,2.92000
2533.67719,15.12718,2.69463,0.20260,1.02641,0.07717,18.23112,0.09702,2.92000
2533.92721,15.37721,2.54305,0.20235,0.96867,0.07708,18.32411,0.11565,2.92000
2534.17722,15.62722,2.64098,0.20234,1.00597,0.07707,18.23021,0.09305,2.92000
2534.42724,15.87724,2.67557,0.20293,1.01915,0.07730,18.27511,0.13077,2.92000
2534.67726,16.12726,2.77354,0.20258,1.05647,0.07716,18.18533,0.09003,2.92000
2534.84741,16.29741,2.69946,0.33646,1.02826,0.12816,18.20614,0.14897,2.92000
