BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2500.40467,-18.14533,1.4574,1.0794,1.4023,1.0385,18.8382,0.8041,
2500.41856,-18.13144,-1.4777,1.0864,-1.4218,1.0453,19.6251,,
2500.43245,-18.11755,-0.6402,1.0600,-0.6160,1.0199,19.6251,,
2500.43939,-18.11061,-0.4426,1.0453,-0.4259,1.0057,19.6251,,
2500.44634,-18.10366,-1.0687,1.0428,-1.0283,1.0033,19.6251,,
2500.45328,-18.09672,-1.0717,1.0414,-1.0311,1.0020,19.6251,,
2500.46023,-18.08977,-1.5647,1.0353,-1.5055,0.9961,19.6251,,
2500.46717,-18.08283,-1.2693,1.0652,-1.2212,1.0249,19.6251,,
2500.47412,-18.07588,-0.8306,1.1542,-0.7991,1.1105,19.6251,,
2500.48106,-18.06894,-1.1598,1.0705,-1.1159,1.0300,19.6251,,
2500.48801,-18.06199,-0.6872,1.0454,-0.6612,1.0059,19.6251,,
2500.49495,-18.05505,-0.4899,1.0452,-0.4714,1.0057,19.6251,,
2500.50190,-18.04810,-0.3778,1.0290,-0.3635,0.9901,19.6251,,
2500.50884,-18.04116,0.4272,1.1775,0.4111,1.1329,19.6251,,
2500.51579,-18.03421,0.6124,1.0182,0.5892,0.9796,19.6251,,
2500.52273,-18.02727,-0.2787,1.0273,-0.2681,0.9884,19.6251,,
2500.52968,-18.02032,-4.2123,1.1932,-4.0529,1.1480,19.6251,,
2500.53662,-18.01338,-1.7614,1.0185,-1.6948,0.9800,19.6251,,
2500.54357,-18.00643,-1.4115,1.0339,-1.3581,0.9948,19.6251,,
2500.55051,-17.99949,-0.5963,1.0348,-0.5737,0.9956,19.6251,,
2500.55746,-17.99254,0.0386,1.0253,0.0372,0.9865,19.6251,,
2500.56440,-17.98560,-0.6914,1.0131,-0.6653,0.9748,19.6251,,
2500.57135,-17.97865,-0.0667,0.9913,-0.0641,0.9538,19.6251,,
2500.57829,-17.97171,-0.0004,0.9867,-0.0003,0.9494,19.6251,,
2500.58524,-17.96476,-1.8477,1.1354,-1.7777,1.0924,19.6251,,
2500.59218,-17.95782,0.2946,1.1431,0.2834,1.0998,19.6251,,
2500.59913,-17.95087,-0.6043,1.0050,-0.5814,0.9669,19.6251,,
2500.60607,-17.94393,-1.0274,0.8617,-0.9885,0.8291,19.6251,,
2500.61302,-17.93698,-0.2467,0.9282,-0.2373,0.8931,19.6251,,
2500.61996,-17.93004,-0.4966,0.8625,-0.4778,0.8299,19.6251,,
2500.62691,-17.92309,-0.8744,1.1255,-0.8413,1.0829,19.6251,,
