BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2517.29397,0.12397,-0.94455,0.13994,-0.24418,0.03618,19.81071,0.54026,
2517.54399,0.37399,-0.69828,0.14138,-0.18052,0.03655,19.79884,0.50450,
2517.79401,0.62402,-0.59176,0.14195,-0.15299,0.03670,19.80877,0.55775,
2518.04404,0.87404,-0.00103,0.14531,-0.00026,0.03757,19.58948,0.25567,
2518.29406,1.12406,0.29591,0.14555,0.07650,0.03763,19.50959,0.21961,
2518.54408,1.37408,0.44676,0.14384,0.11550,0.03719,19.42135,0.18108,
2518.79411,1.62411,-0.01951,0.14629,-0.00504,0.03782,19.59304,0.25941,
2519.04413,1.87413,0.76269,0.14576,0.19717,0.03768,19.22929,0.16974,
2519.17956,2.00956,0.10360,0.50425,0.02680,0.13036,19.79217,1.39430,
2519.55806,2.38807,-0.05258,0.15406,-0.01359,0.03983,19.59859,0.26912,
2519.79420,2.62420,0.31181,0.14818,0.08061,0.03831,19.58503,0.28604,
2520.04422,2.87422,0.11174,0.14823,0.02889,0.03832,19.60610,0.26510,
2520.29424,3.12424,0.91931,0.14571,0.23767,0.03767,19.21212,0.15198,
2520.54139,3.37139,0.94983,0.14869,0.24556,0.03844,19.16345,0.16000,
2520.80853,3.63853,0.88058,0.16388,0.22765,0.04237,19.25203,0.19028,
2521.04431,3.87431,1.00108,0.14677,0.25880,0.03794,19.17571,0.16883,
2521.29433,4.12433,0.89393,0.14582,0.23111,0.03770,19.16674,0.14293,
2521.54435,4.37435,1.18865,0.14576,0.30729,0.03768,19.07445,0.14792,
2521.79686,4.62686,1.33196,0.15045,0.34434,0.03889,18.97702,0.13796,
2522.04439,4.87439,1.16535,0.14760,0.30127,0.03816,19.08105,0.15218,
2522.29442,5.12442,1.91328,0.14607,0.49462,0.03776,18.73001,0.11331,
2522.54444,5.37444,1.53759,0.14641,0.39751,0.03785,18.89962,0.12835,
2522.79446,5.62446,2.05059,0.14566,0.53012,0.03766,18.59455,0.10992,
2523.04448,5.87448,2.34042,0.14625,0.60506,0.03781,18.43112,0.08405,
2523.29450,6.12450,2.56721,0.14626,0.66367,0.03781,18.41698,0.09850,
2523.54452,6.37452,3.18859,0.14536,0.82432,0.03758,18.08928,0.05566,
2523.79454,6.62454,3.12094,0.14646,0.80684,0.03786,18.12133,0.08010,
2524.04456,6.87457,3.02521,0.14586,0.78208,0.03771,18.12219,0.07121,
2524.29459,7.12458,3.47072,0.14618,0.89726,0.03779,17.97353,0.05924,
2524.43001,7.26001,4.81600,0.50728,1.24507,0.13114,17.55340,0.11837,
