BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2216.91599,0.12599,0.35638,0.14020,0.11891,0.04678,20.00651,0.33721,
2217.16946,0.37946,0.30314,0.14280,0.10114,0.04764,20.11769,0.37291,
2217.41946,0.62946,0.14865,0.14431,0.04959,0.04815,20.08912,0.35324,
2217.66945,0.87945,0.22183,0.14605,0.07400,0.04873,20.11029,0.37628,
2217.91945,1.12945,0.31999,0.14562,0.10676,0.04858,20.10959,0.41995,
2218.16945,1.37945,0.41761,0.14348,0.13932,0.04787,20.02461,0.34448,
2218.41945,1.62945,0.19634,0.14178,0.06551,0.04730,20.24345,0.46970,
2218.66945,1.87945,0.45721,0.14188,0.15253,0.04734,19.88042,0.24072,
2218.91945,2.12945,0.61147,0.14419,0.20401,0.04811,19.87871,0.33375,
2219.16944,2.37944,0.54886,0.14309,0.18311,0.04774,19.90099,0.31552,
2219.41944,2.62944,0.61050,0.14302,0.20369,0.04771,19.87012,0.32680,
2219.66944,2.87944,0.43123,0.14264,0.14387,0.04759,19.92519,0.32307,
2219.91944,3.12944,0.37577,0.14386,0.12537,0.04800,20.05060,0.33825,
2220.16944,3.37944,0.65532,0.14324,0.21863,0.04779,19.80474,0.33386,
2220.41943,3.62943,0.54796,0.14014,0.18281,0.04676,19.85668,0.28604,
2220.66943,3.87943,0.68293,0.13945,0.22784,0.04652,19.70677,0.26203,
2220.91814,4.12814,0.80222,0.14197,0.26764,0.04737,19.66660,0.22655,
2221.16992,4.37992,0.91869,0.14271,0.30650,0.04761,19.46761,0.22702,
2221.42587,4.63587,1.18813,0.18278,0.39639,0.06098,19.28050,0.25813,
2221.66833,4.87833,1.06978,0.14120,0.35692,0.04711,19.39929,0.21879,
2221.91942,5.12942,1.28784,0.14096,0.42966,0.04703,19.13170,0.14425,
2222.16942,5.37942,1.29578,0.14266,0.43231,0.04760,19.13850,0.18668,
2222.41941,5.62941,1.45232,0.14141,0.48453,0.04718,19.03697,0.18124,
2222.66941,5.87941,1.29990,0.14075,0.43369,0.04696,19.13840,0.19092,
2222.91941,6.12941,1.69709,0.13919,0.56621,0.04644,18.81544,0.14023,
2223.16940,6.37940,1.69784,0.13826,0.56646,0.04613,18.78546,0.12266,
2223.41940,6.62940,1.70719,0.13796,0.56957,0.04603,18.79772,0.14081,
2223.66940,6.87940,1.74299,0.13517,0.58151,0.04510,18.79341,0.13348,
2223.91939,7.12939,1.97524,0.13674,0.65901,0.04562,18.63367,0.12571,
2224.16939,7.37939,1.91886,0.13848,0.64019,0.04620,18.73679,0.15904,
2224.41938,7.62938,2.20027,0.13727,0.73409,0.04580,18.47368,0.07606,
2224.66938,7.87938,2.09880,0.13690,0.70023,0.04568,18.52821,0.09771,
2224.91938,8.12938,2.19097,0.13591,0.73098,0.04534,18.48408,0.09477,
2225.16937,8.37937,2.52586,0.13716,0.84271,0.04576,18.29400,0.07102,
2225.41937,8.62937,2.58458,0.13926,0.86230,0.04646,18.25704,0.06623,
2225.66937,8.87937,2.64549,0.14056,0.88262,0.04689,18.22505,0.06359,
2225.91936,9.12936,2.45579,0.14166,0.81933,0.04726,18.34104,0.07815,
2226.16936,9.37936,2.67984,0.14096,0.89408,0.04703,18.21476,0.06414,
2226.41608,9.62608,2.50427,0.14079,0.83550,0.04697,18.31790,0.07589,
2226.66567,9.87567,2.74642,0.14067,0.91629,0.04693,18.18024,0.06152,
2226.92455,10.13455,2.67947,0.14460,0.89396,0.04824,18.21567,0.06531,
2227.16607,10.37607,3.05384,0.14012,1.01886,0.04675,18.07492,0.05573,
2227.43322,10.64322,2.90246,0.15233,0.96835,0.05082,18.11994,0.06249,
2227.55822,10.76822,3.15465,0.42004,1.05250,0.14014,18.01475,0.15070,
