BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2500.37761,-13.75239,6.7048,4.7661,0.3377,0.2401,18.3740,0.7718,
2500.39150,-13.73850,1.4868,6.4923,0.0749,0.3270,19.7653,,
2500.39844,-13.73156,-3.1964,4.9689,-0.1610,0.2503,19.7653,,
2500.40539,-13.72461,3.7532,5.9158,0.1890,0.2980,19.0040,1.7113,
2500.41233,-13.71767,-3.7842,5.8050,-0.1906,0.2924,19.7653,,
2500.41928,-13.71072,8.4560,5.3357,0.4259,0.2688,18.1221,0.6851,
2500.42622,-13.70378,-0.4395,5.0583,-0.0221,0.2548,19.7653,,
2500.43317,-13.69683,3.7715,4.6406,0.1900,0.2337,18.9987,1.3359,
2500.44011,-13.68989,1.6706,5.2918,0.0841,0.2665,19.7653,,
2500.44706,-13.68294,13.5812,5.0393,0.6841,0.2538,17.6077,0.4029,
2500.45400,-13.67600,7.7784,5.7464,0.3918,0.2894,18.2128,0.8021,
2500.46095,-13.66905,7.4566,4.8628,0.3756,0.2449,18.2586,0.7081,
2500.46789,-13.66211,8.6011,5.0503,0.4332,0.2544,18.1036,0.6375,
2500.47484,-13.65516,4.0831,4.5436,0.2057,0.2289,18.9125,1.2082,
2500.48178,-13.64822,1.8495,4.8695,0.0932,0.2453,19.7653,,
2500.48873,-13.64127,7.0809,5.8921,0.3567,0.2968,18.3148,0.9035,
2500.49567,-13.63433,4.6083,5.0510,0.2321,0.2544,18.7812,1.1900,
2500.50262,-13.62738,9.6133,5.5573,0.4842,0.2799,17.9828,0.6276,
2500.50956,-13.62044,1.8968,5.0598,0.0955,0.2549,19.7450,2.8963,
2500.51651,-13.61349,11.8045,4.4344,0.5946,0.2234,17.7599,0.4079,
2500.52345,-13.60655,6.5227,5.3630,0.3285,0.2701,18.4039,0.8927,
2500.53040,-13.59960,-1.3205,5.3496,-0.0665,0.2695,19.7653,,
2500.53734,-13.59266,10.4596,4.5447,0.5268,0.2289,17.8912,0.4717,
2500.54429,-13.58571,1.7692,4.3291,0.0891,0.2181,19.7653,,
2500.55123,-13.57877,10.5018,5.3303,0.5290,0.2685,17.8868,0.5511,
2500.55818,-13.57182,3.4011,5.3448,0.1713,0.2692,19.1109,1.7062,
2500.56512,-13.56488,2.3760,4.5075,0.1197,0.2270,19.5004,2.0598,
2500.57207,-13.55793,8.4840,5.3792,0.4273,0.2709,18.1185,0.6884,
2500.57901,-13.55099,15.2775,4.0724,0.7695,0.2051,17.4799,0.2894,
2500.58596,-13.54404,11.5069,4.8917,0.5796,0.2464,17.7876,0.4616,
2500.59290,-13.53710,1.5295,4.9536,0.0770,0.2495,19.7653,,
2500.59985,-13.53015,12.8597,4.2120,0.6477,0.2122,17.6669,0.3556,
2500.60679,-13.52321,8.1723,4.0852,0.4116,0.2058,18.1591,0.5427,
2500.61374,-13.51626,10.7683,4.9922,0.5424,0.2515,17.8596,0.5034,
2500.62069,-13.50931,5.0631,5.3322,0.2550,0.2686,18.6790,1.1434,
2500.62763,-13.50237,10.0882,4.8203,0.5081,0.2428,17.9305,0.5188,
2500.63458,-13.49542,0.7194,5.1125,0.0362,0.2575,19.7653,,
2500.64152,-13.48848,6.9150,4.4485,0.3483,0.2241,18.3405,0.6985,
2500.64847,-13.48153,-1.9782,5.0889,-0.0996,0.2563,19.7653,,
2500.65541,-13.47459,-0.1807,4.6123,-0.0091,0.2323,19.7653,,
2500.66236,-13.46764,0.5038,4.2211,0.0254,0.2126,19.7653,,
2500.66930,-13.46070,5.4705,5.4675,0.2755,0.2754,18.5949,1.0851,
2500.67625,-13.45375,10.2813,4.5003,0.5179,0.2267,17.9099,0.4752,
2500.68319,-13.44681,6.4026,4.3103,0.3225,0.2171,18.4241,0.7309,
2500.69014,-13.43986,5.5863,3.8220,0.2814,0.1925,18.5722,0.7428,
2500.69708,-13.43292,13.7404,4.1667,0.6921,0.2099,17.5950,0.3292,
2500.70403,-13.42597,9.9583,4.8092,0.5016,0.2422,17.9445,0.5243,
2500.71097,-13.41903,8.6256,4.6968,0.4345,0.2366,18.1005,0.5912,
2500.71792,-13.41208,4.0857,4.9554,0.2058,0.2496,18.9118,1.3168,
2500.72486,-13.40514,12.1465,4.6618,0.6118,0.2348,17.7289,0.4167,
2500.73181,-13.39819,12.1276,5.0024,0.6109,0.2520,17.7306,0.4478,
2500.73875,-13.39125,-1.1588,4.9552,-0.0584,0.2496,19.7653,,
2500.74570,-13.38430,-1.4562,4.5194,-0.0734,0.2276,19.7653,,
2500.75264,-13.37736,0.0981,4.6342,0.0049,0.2334,19.7653,,
2500.75959,-13.37041,6.6395,5.3469,0.3344,0.2693,18.3847,0.8744,
2500.76653,-13.36347,1.3368,4.1869,0.0673,0.2109,19.7653,,
2500.77348,-13.35652,9.0677,4.5637,0.4567,0.2299,18.0463,0.5464,
2500.78042,-13.34958,3.2913,4.3763,0.1658,0.2204,19.1466,1.4437,
2500.78737,-13.34263,6.9307,4.2988,0.3491,0.2165,18.3381,0.6734,
2500.79431,-13.33569,9.0097,4.6344,0.4538,0.2334,18.0532,0.5585,
2500.80126,-13.32874,7.2912,5.7152,0.3673,0.2879,18.2830,0.8511,
2500.80820,-13.32180,1.4979,4.7056,0.0754,0.2370,19.7653,,
2500.81515,-13.31485,3.2456,4.4646,0.1635,0.2249,19.1618,1.4935,
2500.82209,-13.30791,2.2805,4.5538,0.1149,0.2294,19.5449,2.1680,
2500.82904,-13.30096,7.1848,4.8153,0.3619,0.2425,18.2990,0.7277,
2500.83598,-13.29402,8.9931,4.9277,0.4530,0.2482,18.0552,0.5949,
2500.84293,-13.28707,5.8010,4.9286,0.2922,0.2483,18.5312,0.9225,
2500.84987,-13.28013,11.1284,5.1690,0.5605,0.2604,17.8239,0.5043,
2500.85682,-13.27318,0.3056,4.9982,0.0154,0.2518,19.7653,,
2500.86377,-13.26623,4.1920,5.0393,0.2112,0.2538,18.8839,1.3052,
2500.87071,-13.25929,10.9022,4.7153,0.5491,0.2375,17.8462,0.4696,
2500.87766,-13.25234,0.2089,4.5401,0.0105,0.2287,19.7653,,
2500.88460,-13.24540,8.4492,4.9083,0.4256,0.2472,18.1230,0.6307,
2500.89155,-13.23845,6.8300,4.6242,0.3440,0.2329,18.3540,0.7351,
2500.89849,-13.23151,8.5324,4.8260,0.4298,0.2431,18.1123,0.6141,
2500.90544,-13.22456,9.0478,4.9069,0.4557,0.2472,18.0486,0.5888,
2500.91238,-13.21762,3.7620,5.1062,0.1895,0.2572,19.0014,1.4737,
2500.91933,-13.21067,6.9927,4.2791,0.3522,0.2155,18.3284,0.6644,
2500.92627,-13.20373,10.4552,5.7466,0.5266,0.2895,17.8917,0.5968,
2500.93322,-13.19678,4.6589,4.8530,0.2347,0.2444,18.7693,1.1310,
2500.94016,-13.18984,7.2459,4.8004,0.3650,0.2418,18.2898,0.7193,
2500.94711,-13.18289,-0.5843,5.2680,-0.0294,0.2653,19.7653,,
2500.95405,-13.17595,-0.5380,4.8770,-0.0271,0.2457,19.7653,,
2500.96100,-13.16900,-2.0705,4.7456,-0.1043,0.2390,19.7653,,
2500.96794,-13.16206,-2.3679,4.9482,-0.1193,0.2492,19.7653,,
2500.97489,-13.15511,-2.6030,4.6768,-0.1311,0.2356,19.7653,,
2500.98183,-13.14817,2.9254,4.6673,0.1473,0.2351,19.2745,1.7322,
2500.98878,-13.14122,2.7917,5.2703,0.1406,0.2655,19.3253,2.0497,
2500.99572,-13.13428,12.7669,4.9073,0.6431,0.2472,17.6748,0.4173,
2501.00267,-13.12733,5.0113,4.2876,0.2524,0.2160,18.6901,0.9289,
2501.00961,-13.12039,7.3942,4.4439,0.3724,0.2238,18.2678,0.6525,
2501.01656,-13.11344,14.2106,4.3139,0.7158,0.2173,17.5585,0.3296,
2501.02350,-13.10650,6.8364,5.0601,0.3443,0.2549,18.3529,0.8036,
2501.03045,-13.09955,-2.0823,4.6245,-0.1049,0.2329,19.7653,,
2501.03739,-13.09261,4.1807,4.8384,0.2106,0.2437,18.8869,1.2566,
2501.04434,-13.08566,5.6128,5.1677,0.2827,0.2603,18.5670,0.9996,
2501.05128,-13.07872,4.1641,5.2564,0.2097,0.2648,18.8912,1.3706,
2501.05823,-13.07177,4.8553,4.8545,0.2446,0.2445,18.7245,1.0856,
2501.06517,-13.06483,0.7093,4.4895,0.0357,0.2261,19.7653,,
2501.07212,-13.05788,7.8388,4.7120,0.3948,0.2373,18.2044,0.6527,
2501.07906,-13.05094,5.7275,5.1842,0.2885,0.2611,18.5451,0.9828,
2501.08601,-13.04399,2.7776,4.6927,0.1399,0.2364,19.3308,1.8343,
2501.09295,-13.03705,-4.1120,4.8249,-0.2071,0.2430,19.7653,,
2501.09990,-13.03010,-1.5722,5.7088,-0.0792,0.2875,19.7653,,
2501.10685,-13.02315,9.8776,4.5715,0.4975,0.2303,17.9534,0.5025,
2501.11379,-13.01621,2.4760,4.8460,0.1247,0.2441,19.4556,2.1250,
2501.12074,-13.00926,1.8808,4.8201,0.0947,0.2428,19.7541,2.7825,
2501.12768,-13.00232,3.9497,4.5840,0.1989,0.2309,18.9486,1.2601,
2501.13463,-12.99537,-8.2229,4.4270,-0.4142,0.2230,19.7653,,
2501.14157,-12.98843,7.9717,5.3342,0.4015,0.2687,18.1861,0.7265,
2501.14852,-12.98148,6.8055,5.3308,0.3428,0.2685,18.3578,0.8505,
2501.15546,-12.97454,8.6420,4.8932,0.4353,0.2465,18.0985,0.6148,
2501.16241,-12.96759,1.7522,4.7004,0.0883,0.2368,19.7653,,
2501.16935,-12.96065,10.3758,4.7911,0.5226,0.2413,17.9000,0.5013,
2501.17630,-12.95370,6.4049,5.2316,0.3226,0.2635,18.4237,0.8868,
2501.18324,-12.94676,7.2020,3.5988,0.3628,0.1813,18.2964,0.5425,
2501.19019,-12.93981,5.6367,5.8614,0.2839,0.2952,18.5624,1.1290,
2501.19713,-12.93287,-2.4163,5.0604,-0.1217,0.2549,19.7653,,
2501.20408,-12.92592,7.4417,4.9467,0.3748,0.2492,18.2608,0.7217,
2501.21102,-12.91898,8.6264,4.5639,0.4345,0.2299,18.1004,0.5744,
2501.21797,-12.91203,-1.9227,5.4278,-0.0968,0.2734,19.7653,,
2501.22491,-12.90509,2.1886,4.6887,0.1102,0.2362,19.5896,2.3260,
2501.23186,-12.89814,2.9397,4.2334,0.1481,0.2132,19.2692,1.5635,
2501.23880,-12.89120,1.1494,4.9447,0.0579,0.2491,19.7653,,
2501.24575,-12.88425,0.7036,4.0660,0.0354,0.2048,19.7653,,
2501.25269,-12.87731,4.8158,4.6478,0.2426,0.2341,18.7333,1.0479,
2501.25964,-12.87036,9.5712,4.0357,0.4821,0.2033,17.9876,0.4578,
2501.26658,-12.86342,-4.4931,4.4992,-0.2263,0.2266,19.7653,,
2501.27353,-12.85647,7.6072,5.2446,0.3832,0.2642,18.2369,0.7485,
2501.28047,-12.84953,-0.3429,4.0510,-0.0173,0.2040,19.7653,,
2501.28742,-12.84258,-0.8290,4.7986,-0.0418,0.2417,19.7653,,
2501.29436,-12.83564,4.2534,4.9052,0.2142,0.2471,18.8682,1.2521,
2501.30131,-12.82869,6.9019,4.6588,0.3476,0.2347,18.3426,0.7329,
2501.30825,-12.82175,7.8599,4.4761,0.3959,0.2255,18.2015,0.6183,
2501.31520,-12.81480,0.6758,4.2075,0.0340,0.2119,19.7653,,
2501.32214,-12.80786,8.4619,4.6544,0.4262,0.2344,18.1213,0.5972,
2501.32909,-12.80091,3.1760,5.0419,0.1600,0.2540,19.1853,1.7236,
2501.33604,-12.79396,2.3839,4.2715,0.1201,0.2152,19.4968,1.9455,
2501.34298,-12.78702,5.6516,4.9102,0.2847,0.2473,18.5596,0.9433,
2501.34993,-12.78007,8.6545,5.0569,0.4359,0.2547,18.0969,0.6344,
2501.35687,-12.77313,0.6217,4.9495,0.0313,0.2493,19.7653,,
2501.36382,-12.76618,7.7566,5.2159,0.3907,0.2627,18.2158,0.7301,
2501.37076,-12.75924,-9.9022,4.7234,-0.4988,0.2379,19.7653,,
2501.37771,-12.75229,1.2169,4.6607,0.0613,0.2348,19.7653,,
2501.38465,-12.74535,-2.1876,4.5689,-0.1102,0.2301,19.7653,,
2501.39160,-12.73840,5.1961,5.0021,0.2617,0.2519,18.6508,1.0452,
2501.39854,-12.73146,10.8258,4.5898,0.5453,0.2312,17.8539,0.4603,
2501.40549,-12.72451,3.5180,4.9987,0.1772,0.2518,19.0742,1.5427,
2501.41243,-12.71757,-5.6920,4.7103,-0.2867,0.2373,19.7653,,
2501.41938,-12.71062,5.5217,5.2450,0.2781,0.2642,18.5848,1.0313,
2501.42632,-12.70368,2.0638,4.8164,0.1040,0.2426,19.6533,2.5338,
2501.43327,-12.69673,-0.7315,4.7239,-0.0368,0.2379,19.7653,,
2501.44021,-12.68979,3.3116,4.6154,0.1668,0.2325,19.1399,1.5132,
2501.44716,-12.68284,1.7396,4.3795,0.0876,0.2206,19.7653,,
2501.45410,-12.67590,4.9824,5.0997,0.2510,0.2569,18.6964,1.1113,
2501.46105,-12.66895,3.9063,4.3990,0.1968,0.2216,18.9606,1.2227,
2501.46799,-12.66201,-1.1491,5.0981,-0.0579,0.2568,19.7653,,
2501.47494,-12.65506,0.5754,4.1437,0.0290,0.2087,19.7653,,
2501.48188,-12.64812,2.2748,4.5545,0.1146,0.2294,19.5476,2.1738,
2501.48883,-12.64117,2.5751,4.8412,0.1297,0.2438,19.4130,2.0412,
2501.49577,-12.63423,3.5542,5.1144,0.1790,0.2576,19.0631,1.5623,
2501.50272,-12.62728,-4.9825,4.8003,-0.2510,0.2418,19.7653,,
2501.50966,-12.62034,2.0019,4.6053,0.1008,0.2320,19.6864,2.4977,
2501.51661,-12.61339,-1.0016,4.5874,-0.0504,0.2311,19.7653,,
2501.52355,-12.60645,-0.2223,4.3311,-0.0112,0.2182,19.7653,,
2501.53050,-12.59950,2.3614,4.7709,0.1189,0.2403,19.5071,2.1936,
2501.53744,-12.59256,4.1167,5.0072,0.2074,0.2522,18.9036,1.3206,
2501.54439,-12.58561,6.4997,4.5910,0.3274,0.2312,18.4078,0.7669,
2501.55133,-12.57867,11.6633,4.7359,0.5875,0.2385,17.7729,0.4409,
2501.55828,-12.57172,5.0188,4.6131,0.2528,0.2324,18.6885,0.9980,
2501.56523,-12.56477,4.4262,5.3315,0.2229,0.2685,18.8249,1.3078,
