BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2526.62711,-12.88289,-1.4938,1.2536,-1.1509,0.9658,19.6539,0.0,
2526.64100,-12.86900,-0.5683,1.2716,-0.4379,0.9797,19.6539,0.0,
2526.65490,-12.85510,-0.7588,1.2661,-0.5846,0.9754,19.6539,0.0,
2526.66184,-12.84816,0.4022,1.2713,0.3099,0.9794,19.6539,0.0,
2526.66879,-12.84121,0.1253,1.2695,0.0966,0.9780,19.6539,0.0,
2526.67573,-12.83427,1.9701,1.2953,1.5178,0.9979,18.5110,0.7138,0.0
2526.68268,-12.82732,1.4729,1.2666,1.1348,0.9758,18.8267,0.9336,0.0
2526.68962,-12.82038,1.5792,1.2662,1.2167,0.9755,18.7511,0.8705,0.0
2526.69657,-12.81343,0.0103,1.2626,0.0079,0.9728,19.6539,0.0,
2526.70351,-12.80649,-0.2173,1.2642,-0.1674,0.9740,19.6539,0.0,
2526.71046,-12.79954,0.7599,1.2578,0.5854,0.9690,19.5453,1.7971,0.0
2526.71740,-12.79260,0.0771,1.2617,0.0594,0.9720,19.6539,0.0,
2526.72435,-12.78565,-0.9119,1.2567,-0.7025,0.9682,19.6539,0.0,
2526.73129,-12.77871,2.2252,1.2700,1.7143,0.9785,18.3788,0.6197,0.0
2526.73824,-12.77176,0.1983,1.2598,0.1528,0.9705,19.6539,0.0,
2526.74518,-12.76482,0.2209,1.2569,0.1702,0.9683,19.6539,0.0,
2526.75213,-12.75787,-0.4159,1.2550,-0.3204,0.9669,19.6539,0.0,
2526.75907,-12.75093,-0.0436,1.2563,-0.0336,0.9679,19.6539,0.0,
2526.76602,-12.74398,0.8118,1.2607,0.6254,0.9713,19.4736,1.6862,0.0
2526.77296,-12.73704,0.4309,1.2584,0.3320,0.9695,19.6539,0.0,
2526.77991,-12.73009,1.4635,1.2612,1.1275,0.9717,18.8337,0.9356,0.0
2526.78685,-12.72315,0.8724,1.2562,0.6722,0.9678,19.3954,1.5633,0.0
2526.79380,-12.71620,1.3961,1.2555,1.0756,0.9673,18.8849,0.9764,0.0
2526.80074,-12.70926,1.3281,1.2584,1.0232,0.9695,18.9391,1.0287,0.0
2526.80769,-12.70231,0.4158,1.2600,0.3204,0.9707,19.6539,0.0,
2526.81463,-12.69537,2.3076,1.2621,1.7778,0.9724,18.3393,0.5938,0.0
2526.82158,-12.68842,-0.3763,1.2548,-0.2899,0.9667,19.6539,0.0,
2526.82852,-12.68148,-0.5169,1.2505,-0.3982,0.9635,19.6539,0.0,
2526.83547,-12.67453,-1.7277,1.2516,-1.3310,0.9642,19.6539,0.0,
2526.84241,-12.66759,-0.9964,1.2516,-0.7676,0.9642,19.6539,0.0,
2526.84936,-12.66064,1.1062,1.2498,0.8523,0.9629,19.1376,1.2266,0.0
2526.85630,-12.65370,1.6272,1.2549,1.2537,0.9668,18.7186,0.8373,0.0
2526.86325,-12.64675,1.8224,1.2514,1.4040,0.9641,18.5956,0.7456,0.0
2526.87019,-12.63981,-0.2489,1.2519,-0.1917,0.9645,19.6539,0.0,
2526.87714,-12.63286,-1.5030,1.2503,-1.1580,0.9633,19.6539,0.0,
2526.88408,-12.62592,0.4913,1.2493,0.3785,0.9625,19.6539,0.0,
2526.89103,-12.61897,0.9995,1.2517,0.7701,0.9643,19.2477,1.3596,0.0
2526.89797,-12.61203,1.3309,1.2428,1.0254,0.9575,18.9368,1.0138,0.0
2526.90492,-12.60508,1.4554,1.2479,1.1213,0.9614,18.8397,0.9309,0.0
2526.91186,-12.59814,0.6329,1.2482,0.4876,0.9617,19.6539,0.0,
2526.91881,-12.59119,1.3983,1.2446,1.0773,0.9588,18.8832,0.9664,0.0
2526.92575,-12.58425,1.9302,1.2449,1.4871,0.9591,18.5332,0.7002,0.0
2526.93270,-12.57730,0.0560,1.2412,0.0431,0.9562,19.6539,0.0,
2526.93965,-12.57035,0.1160,1.2419,0.0894,0.9568,19.6539,0.0,
2526.94659,-12.56341,1.0774,1.2488,0.8301,0.9621,19.1662,1.2585,0.0
2526.95354,-12.55646,-0.2736,1.2512,-0.2108,0.9640,19.6539,0.0,
2526.96048,-12.54952,1.6948,1.2554,1.3057,0.9672,18.6744,0.8042,0.0
2526.96743,-12.54257,-1.4514,1.2466,-1.1182,0.9604,19.6539,0.0,
2526.97437,-12.53563,0.8106,1.2490,0.6245,0.9623,19.4752,1.6730,0.0
2526.98132,-12.52868,0.4549,1.2533,0.3505,0.9656,19.6539,0.0,
2526.98826,-12.52174,1.1732,1.2497,0.9038,0.9628,19.0738,1.1566,0.0
2526.99521,-12.51479,2.4863,1.2545,1.9155,0.9665,18.2583,0.5478,0.0
