BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2552.88432,-7.73568,0.3025,1.7542,0.0776,0.4498,20.2195,,
2552.89126,-7.72874,-0.5457,1.7123,-0.1399,0.4391,20.2195,,
2552.89821,-7.72179,-2.1973,1.6458,-0.5634,0.4220,20.2195,,
2552.90515,-7.71485,2.8276,1.6523,0.7251,0.4237,18.1187,0.6344,
2552.91210,-7.70790,-0.1403,1.7175,-0.0360,0.4404,20.2195,,
2552.91905,-7.70095,0.0271,1.6822,0.0069,0.4313,20.2195,,
2552.92599,-7.69401,-0.1551,1.6660,-0.0398,0.4272,20.2195,,
2552.93294,-7.68706,-0.5880,1.6465,-0.1508,0.4222,20.2195,,
2552.93988,-7.68012,-3.0707,1.5919,-0.7874,0.4082,20.2195,,
2552.94683,-7.67317,-3.5261,1.5983,-0.9042,0.4098,20.2195,,
2552.95377,-7.66623,-1.2439,1.6601,-0.3190,0.4257,20.2195,,
2552.96072,-7.65928,-1.3266,1.6634,-0.3402,0.4265,20.2195,,
2552.97461,-7.64539,-0.4673,1.5577,-0.1198,0.3994,20.2195,,
2552.98155,-7.63845,-0.4603,1.5809,-0.1180,0.4054,20.2195,,
2552.98850,-7.63150,0.4005,1.5823,0.1027,0.4057,20.2195,,
2552.99544,-7.62456,0.9339,1.5307,0.2395,0.3925,19.3214,1.7795,
2553.00239,-7.61761,0.4424,1.5278,0.1134,0.3918,20.1326,3.7493,
2553.00933,-7.61067,-3.2450,1.5131,-0.8321,0.3880,20.2195,,
2553.01628,-7.60372,2.0927,1.5111,0.5366,0.3875,18.4454,0.7840,
2553.02322,-7.59678,2.0598,1.5056,0.5282,0.3861,18.4626,0.7936,
2553.03017,-7.58983,2.0563,1.4958,0.5273,0.3835,18.4645,0.7898,
2553.03711,-7.58289,-2.8173,1.4891,-0.7224,0.3818,20.2195,,
2553.04406,-7.57594,-0.1978,1.4849,-0.0507,0.3807,20.2195,,
