BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2560.74275,0.12275,-0.14462,0.19136,-0.03708,0.04907,19.97419,0.55422,
2560.99277,0.37277,-0.12112,0.19143,-0.03106,0.04908,20.00156,0.53242,
2561.24280,0.62280,-0.26867,0.19116,-0.06890,0.04902,19.90819,0.42286,
2561.49282,0.87282,-0.33906,0.19126,-0.08693,0.04904,20.01239,0.53864,
2561.74285,1.12285,0.35046,0.19135,0.08986,0.04907,19.73604,0.31599,
2561.99287,1.37287,0.36044,0.19104,0.09243,0.04898,19.78859,0.42012,
2562.24290,1.62290,-0.05821,0.19036,-0.01492,0.04881,19.95649,0.52072,
2562.49292,1.87292,0.06669,0.18968,0.01710,0.04864,19.71751,0.36725,
2562.74295,2.12295,-0.09226,0.18899,-0.02366,0.04846,19.98421,0.48762,
2562.99297,2.37297,0.19476,0.18775,0.04994,0.04814,19.81659,0.39541,
2563.24299,2.62299,0.33335,0.18724,0.08548,0.04801,19.78544,0.36436,
2563.49302,2.87302,0.45009,0.18644,0.11541,0.04781,19.64488,0.29568,
2563.74304,3.12304,0.48699,0.18716,0.12486,0.04799,19.65212,0.31962,
2563.99307,3.37307,0.47604,0.18642,0.12206,0.04780,19.69946,0.31320,
2564.24309,3.62309,0.99204,0.18605,0.25438,0.04771,19.32931,0.22743,
2564.48964,3.86964,0.68840,0.18885,0.17652,0.04843,19.58753,0.32696,
2566.82112,6.20112,2.09344,0.46977,0.53680,0.12045,18.60289,0.32759,
2566.99430,6.37430,1.92904,0.23868,0.49464,0.06120,18.76144,0.24005,
2567.24338,6.62338,1.89606,0.21123,0.48619,0.05416,18.72631,0.19193,
2567.49341,6.87341,1.71873,0.20029,0.44071,0.05136,18.82768,0.18364,
2567.74343,7.12343,1.92489,0.19426,0.49358,0.04981,18.68643,0.17442,
2567.99346,7.37346,2.00164,0.19150,0.51327,0.04910,18.65225,0.15911,
2568.24348,7.62348,2.17750,0.18919,0.55835,0.04851,18.54911,0.15152,
2568.49351,7.87351,2.19733,0.18814,0.56344,0.04824,18.51169,0.13576,
2568.74353,8.12353,2.38194,0.18754,0.61078,0.04809,18.42829,0.11496,
2568.99356,8.37356,2.57191,0.18585,0.65949,0.04765,18.29974,0.10468,
2569.24358,8.62358,2.60544,0.18408,0.66809,0.04720,18.25271,0.08733,
2569.49361,8.87361,2.85944,0.18295,0.73322,0.04691,18.22596,0.09689,
2569.74363,9.12363,2.87081,0.18189,0.73613,0.04664,18.15363,0.07886,
2569.99366,9.37366,3.19844,0.18121,0.82015,0.04646,18.02934,0.06997,
2570.24368,9.62368,2.99094,0.18023,0.76694,0.04622,18.14418,0.08698,
2570.49371,9.87371,2.99243,0.17951,0.76732,0.04603,18.10288,0.08035,
2570.74373,10.12373,3.31111,0.17863,0.84903,0.04580,18.01827,0.08160,
2570.99376,10.37376,3.12229,0.17850,0.80061,0.04577,18.07939,0.07671,
2571.24378,10.62378,3.55146,0.17758,0.91067,0.04554,17.92967,0.06553,
2571.49381,10.87381,3.24544,0.17692,0.83220,0.04537,18.01541,0.06851,
2571.74383,11.12383,3.75936,0.17631,0.96397,0.04521,17.85056,0.05756,
2571.99386,11.37386,3.78955,0.17568,0.97171,0.04505,17.85459,0.06589,
2572.23131,11.61131,3.82601,0.19549,0.98106,0.05013,17.82762,0.06370,
2572.49391,11.87391,3.59870,0.17534,0.92278,0.04496,17.91695,0.06321,
2572.74394,12.12394,3.88843,0.17459,0.99707,0.04477,17.85308,0.06961,
2572.99396,12.37396,3.73309,0.17419,0.95724,0.04467,17.84936,0.05499,
2573.24399,12.62399,3.83768,0.17383,0.98405,0.04457,17.83211,0.05643,
2573.49401,12.87401,3.79536,0.17361,0.97321,0.04452,17.83526,0.05512,
2573.74404,13.12404,3.76677,0.17376,0.96587,0.04456,17.84220,0.05559,
2573.99406,13.37406,3.92645,0.17318,1.00682,0.04441,17.80730,0.05560,
2574.24409,13.62409,4.06936,0.17359,1.04346,0.04451,17.74147,0.04874,
2574.49411,13.87411,3.70367,0.17266,0.94969,0.04427,17.87257,0.06209,
2574.71983,14.09983,3.59073,0.19203,0.92074,0.04924,17.91887,0.06876,
