BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2557.24726,0.12727,0.23767,0.37263,0.09732,0.15258,18.71800,0.38009,
2557.49729,0.37729,-0.33568,0.37182,-0.13745,0.15225,18.76569,0.49271,
2557.74731,0.62731,-0.09645,0.37365,-0.03949,0.15299,18.76226,0.50801,
2557.97650,0.85650,0.12207,0.40846,0.04999,0.16725,18.74705,0.52043,
2558.25083,1.13083,0.31750,0.36162,0.13000,0.14807,18.72669,0.40275,
2558.49738,1.37738,0.42507,0.34076,0.17403,0.13953,18.77212,0.50775,
2558.74740,1.62740,0.79867,0.33457,0.32702,0.13699,18.64151,0.27740,
2558.99742,1.87742,0.58881,0.33422,0.24110,0.13685,18.73043,0.37906,
2559.24744,2.12745,0.26683,0.33574,0.10926,0.13747,18.72200,0.37349,
2559.49747,2.37747,0.90310,0.33531,0.36977,0.13729,18.66037,0.28490,
2559.74749,2.62749,0.77714,0.33538,0.31820,0.13732,18.72331,0.36164,
2559.99751,2.87751,0.72966,0.34451,0.29875,0.14106,18.71644,0.35082,
2560.24754,3.12754,0.83127,0.34724,0.34037,0.14218,18.66197,0.29512,
2560.49756,3.37756,0.95772,0.35285,0.39215,0.14448,18.64074,0.28678,
2560.74758,3.62758,0.35716,0.35036,0.14623,0.14346,18.72881,0.39615,
2560.99760,3.87760,1.18765,0.33516,0.48630,0.13723,18.64529,0.27902,
2561.24763,4.12763,1.08352,0.33004,0.44365,0.13514,18.65687,0.26522,
2561.49765,4.37765,0.66162,0.32684,0.27090,0.13383,18.69174,0.31343,
2561.74768,4.62767,1.26828,0.33325,0.51930,0.13645,18.62917,0.26383,
2561.99770,4.87770,1.24906,0.34412,0.51144,0.14090,18.66149,0.29027,
2562.24772,5.12772,1.43590,0.33891,0.58794,0.13877,18.55886,0.23209,
2562.49775,5.37775,1.51425,0.33424,0.62001,0.13686,18.54203,0.21768,
2562.74777,5.62777,1.93787,0.32697,0.79347,0.13388,18.47150,0.20231,
2562.99779,5.87779,2.06403,0.32126,0.84513,0.13154,18.43661,0.18585,
2563.24781,6.12782,1.66242,0.32450,0.68069,0.13287,18.54105,0.20706,
2563.49784,6.37784,1.90208,0.32545,0.77882,0.13326,18.49188,0.19564,
2563.74786,6.62786,1.80579,0.32516,0.73939,0.13314,18.52466,0.20824,
2563.99788,6.87788,1.96381,0.32488,0.80409,0.13303,18.43967,0.18732,
2564.24791,7.12791,2.03725,0.32502,0.83418,0.13308,18.40331,0.18166,
2564.49099,7.37099,2.28511,0.33287,0.93565,0.13629,18.35196,0.16944,
2567.03519,9.91519,3.54235,0.99056,1.45043,0.40559,17.94875,0.34978,
2567.25287,10.13287,3.08522,0.37773,1.26326,0.15467,18.08040,0.14667,
2567.49820,10.37820,2.63698,0.34593,1.07972,0.14164,18.25303,0.16487,
2567.74822,10.62822,2.25654,0.34699,0.92396,0.14208,18.35207,0.17866,
2567.99824,10.87824,2.62868,0.33809,1.07634,0.13843,18.24783,0.16091,
2568.24827,11.12827,2.21251,0.32318,0.90592,0.13233,18.37219,0.16918,
2568.49829,11.37829,2.25711,0.31553,0.92419,0.12920,18.36716,0.16748,
2568.74832,11.62832,2.22749,0.31318,0.91207,0.12823,18.32088,0.15533,
2568.99834,11.87834,2.29106,0.29244,0.93808,0.11974,18.33769,0.15013,
2569.24836,12.12836,2.30264,0.28823,0.94282,0.11802,18.37135,0.15297,
2569.49839,12.37839,2.31259,0.28581,0.94691,0.11703,18.33663,0.14364,
2569.74841,12.62841,2.22989,0.29018,0.91304,0.11882,18.35985,0.15594,
2569.99844,12.87844,2.20063,0.29179,0.90106,0.11948,18.37184,0.14992,
2570.24846,13.12846,1.90514,0.29763,0.78007,0.12187,18.45098,0.17620,
2570.49848,13.37848,2.23596,0.30239,0.91554,0.12382,18.33267,0.15165,
2570.74851,13.62851,2.28960,0.30254,0.93749,0.12388,18.28427,0.13925,
2570.92561,13.80561,2.07868,0.47028,0.85113,0.19256,18.37439,0.24468,
