BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2552.51187,-17.21813,-2.6571,1.8978,-0.2762,0.1973,19.1693,,
2552.51882,-17.21118,0.4602,1.8788,0.0478,0.1953,19.1693,,
2552.52576,-17.20424,1.5163,1.8780,0.1576,0.1952,18.7952,1.3447,
2552.54660,-17.18340,0.6423,1.8272,0.0668,0.1899,19.1693,,
2552.55354,-17.17646,2.0501,1.8185,0.2131,0.1890,18.4678,0.9631,
2552.56743,-17.16257,-0.9306,1.7876,-0.0967,0.1858,19.1693,,
2552.57438,-17.15562,-0.2165,1.7726,-0.0225,0.1843,19.1693,,
2552.58827,-17.14173,0.3250,1.7528,0.0338,0.1822,19.1693,,
2552.59522,-17.13478,0.3314,1.7411,0.0344,0.1810,19.1693,,
2552.60216,-17.12784,-0.3812,1.7352,-0.0396,0.1804,19.1693,,
2552.60911,-17.12089,-2.5290,1.7628,-0.2629,0.1832,19.1693,,
2552.61605,-17.11395,2.4957,1.7476,0.2594,0.1817,18.2542,0.7603,
2552.65078,-17.07922,2.2654,1.7147,0.2355,0.1782,18.3593,0.8218,
2552.65772,-17.07228,-2.6721,1.7076,-0.2778,0.1775,19.1693,,
2552.66467,-17.06533,0.9597,1.7037,0.0998,0.1771,19.1693,,
2552.67161,-17.05839,-2.0460,1.6899,-0.2127,0.1757,19.1693,,
2552.67856,-17.05144,1.3076,1.6748,0.1359,0.1741,18.9560,1.3907,
2552.68550,-17.04450,-1.1687,1.6479,-0.1215,0.1713,19.1693,,
2552.69245,-17.03755,0.9548,1.6862,0.0993,0.1753,19.1693,,
2552.69939,-17.03061,-0.4283,1.6786,-0.0445,0.1745,19.1693,,
2552.70634,-17.02366,-1.5498,1.6706,-0.1611,0.1737,19.1693,,
2552.71328,-17.01672,-0.3635,1.6614,-0.0378,0.1727,19.1693,,
2552.72023,-17.00977,-2.6910,1.6909,-0.2797,0.1758,19.1693,,
2552.73412,-16.99588,0.2659,1.6728,0.0276,0.1739,19.1693,,
2552.74106,-16.98894,0.0099,1.6322,0.0010,0.1697,19.1693,,
2552.74801,-16.98199,-0.2170,1.6552,-0.0226,0.1721,19.1693,,
2552.75495,-16.97505,-0.1609,1.6215,-0.0167,0.1686,19.1693,,
2552.76190,-16.96810,-1.4188,1.6344,-0.1475,0.1699,19.1693,,
2552.76884,-16.96116,-1.7500,1.6032,-0.1819,0.1666,19.1693,,
2552.77579,-16.95421,-2.2266,1.5986,-0.2315,0.1662,19.1693,,
2552.78273,-16.94727,4.4056,1.6261,0.4580,0.1690,17.6372,0.4008,
2552.78968,-16.94032,3.5443,1.5577,0.3684,0.1619,17.8734,0.4772,
2552.79662,-16.93338,0.4575,1.5454,0.0476,0.1606,19.1693,,
2552.80357,-16.92643,0.3945,1.5756,0.0410,0.1638,19.1693,,
2552.81051,-16.91949,3.1227,1.5657,0.3246,0.1628,18.0109,0.5444,
2552.81746,-16.91254,2.4334,1.4729,0.2530,0.1531,18.2816,0.6572,
2552.82440,-16.90560,-1.0388,1.4600,-0.1080,0.1518,19.1693,,
2552.83135,-16.89865,0.5697,1.4697,0.0592,0.1528,19.1693,,
2552.83829,-16.89171,1.3722,1.5178,0.1426,0.1578,18.9037,1.2010,
2552.84524,-16.88476,2.4090,1.4612,0.2504,0.1519,18.2926,0.6585,
2552.85218,-16.87782,1.3077,1.4369,0.1359,0.1494,18.9559,1.1931,
2552.85913,-16.87087,2.5688,1.4961,0.2670,0.1555,18.2229,0.6324,
2552.86607,-16.86393,0.7330,1.4659,0.0762,0.1524,19.1693,,
2552.87302,-16.85698,2.2744,1.5064,0.2364,0.1566,18.3550,0.7191,
2552.87997,-16.85003,-0.4194,1.5195,-0.0436,0.1580,19.1693,,
2552.88691,-16.84309,0.2049,1.5289,0.0213,0.1589,19.1693,,
2552.89386,-16.83614,1.2955,1.5110,0.1347,0.1571,18.9661,1.2663,
2552.90080,-16.82920,0.0747,1.4494,0.0078,0.1507,19.1693,,
2552.90775,-16.82225,1.3077,1.5053,0.1359,0.1565,18.9559,1.2498,
2552.91469,-16.81531,1.1148,1.4411,0.1159,0.1498,19.1292,1.4036,
2552.92164,-16.80836,1.2749,1.4914,0.1325,0.1550,18.9835,1.2702,
2552.92858,-16.80142,1.6633,1.4393,0.1729,0.1496,18.6948,0.9395,
2552.93553,-16.79447,0.8598,1.4770,0.0894,0.1535,19.1693,,
2552.94247,-16.78753,0.5018,1.3918,0.0522,0.1447,19.1693,,
2552.94942,-16.78058,2.6256,1.3879,0.2729,0.1443,18.1991,0.5739,
2552.95636,-16.77364,1.6307,1.3883,0.1695,0.1443,18.7162,0.9243,
2552.96331,-16.76669,-0.8179,1.3799,-0.0850,0.1434,19.1693,,
2552.97025,-16.75975,0.4317,1.3772,0.0449,0.1432,19.1693,,
2552.97720,-16.75280,1.0758,1.4776,0.1118,0.1536,19.1679,1.4913,
2552.98414,-16.74586,1.4871,1.3704,0.1546,0.1425,18.8163,1.0005,
2552.99109,-16.73891,-0.0439,1.4810,-0.0046,0.1540,19.1693,,
2552.99803,-16.73197,1.1098,1.3635,0.1154,0.1417,19.1341,1.3339,
2553.00498,-16.72502,3.3901,1.3660,0.3524,0.1420,17.9217,0.4375,
2553.01192,-16.71808,2.3649,1.4687,0.2458,0.1527,18.3127,0.6743,
2553.01887,-16.71113,2.7432,1.3595,0.2852,0.1413,18.1515,0.5381,
2553.02581,-16.70419,0.8873,1.4202,0.0922,0.1476,19.1693,,
2553.03276,-16.69724,2.1267,1.4588,0.2211,0.1516,18.4279,0.7447,
2553.03970,-16.69030,2.2654,1.4120,0.2355,0.1468,18.3594,0.6767,
2553.04665,-16.68335,1.1589,1.4144,0.1205,0.1470,19.0871,1.3250,
2553.05359,-16.67641,0.6617,1.3415,0.0688,0.1394,19.1693,,
2553.06054,-16.66946,1.3151,1.4081,0.1367,0.1464,18.9498,1.1625,
2553.06748,-16.66252,2.8931,1.3458,0.3007,0.1399,18.0938,0.5051,
2553.07443,-16.65557,0.4795,1.3534,0.0498,0.1407,19.1693,,
2553.08137,-16.64863,0.7897,1.4001,0.0821,0.1455,19.1693,,
2553.08832,-16.64168,1.3364,1.3545,0.1389,0.1408,18.9324,1.1005,
2553.09526,-16.63474,0.7047,1.3897,0.0733,0.1445,19.1693,,
2553.10221,-16.62779,0.6646,1.3492,0.0691,0.1402,19.1693,,
2553.10915,-16.62085,1.0484,1.3597,0.1090,0.1413,19.1693,,
2553.11610,-16.61390,0.1724,1.3534,0.0179,0.1407,19.1693,,
2553.12304,-16.60696,0.4503,1.3979,0.0468,0.1453,19.1693,,
2553.12999,-16.60001,-0.3412,1.3540,-0.0355,0.1408,19.1693,,
2553.13693,-16.59307,0.6520,1.3473,0.0678,0.1401,19.1693,,
2553.14388,-16.58612,-0.6959,1.3998,-0.0723,0.1455,19.1693,,
2553.15082,-16.57918,-0.6183,1.3407,-0.0643,0.1394,19.1693,,
2553.15777,-16.57223,1.3606,1.3354,0.1414,0.1388,18.9129,1.0657,
2553.16472,-16.56528,1.3730,1.3336,0.1427,0.1386,18.9030,1.0546,
2553.17166,-16.55834,2.4555,1.4410,0.2553,0.1498,18.2718,0.6372,
2553.17861,-16.55139,0.5199,1.3350,0.0540,0.1388,19.1693,,
2553.18555,-16.54445,-0.8447,1.3037,-0.0878,0.1355,19.1693,,
2553.19250,-16.53750,-0.8087,1.3873,-0.0841,0.1442,19.1693,,
2553.19944,-16.53056,-1.0854,1.3407,-0.1128,0.1394,19.1693,,
2553.20639,-16.52361,-0.3250,1.3972,-0.0338,0.1452,19.1693,,
2553.21333,-16.51667,0.3709,1.3295,0.0386,0.1382,19.1693,,
2553.22028,-16.50972,0.2279,1.3351,0.0237,0.1388,19.1693,,
2553.22722,-16.50278,0.4204,1.3976,0.0437,0.1453,19.1693,,
2553.23417,-16.49583,1.0870,1.3241,0.1130,0.1376,19.1566,1.3226,
2553.24111,-16.48889,1.8720,1.3692,0.1946,0.1423,18.5664,0.7941,
2553.24806,-16.48194,0.2292,1.3272,0.0238,0.1380,19.1693,,
2553.25500,-16.47500,0.3685,1.3201,0.0383,0.1372,19.1693,,
2553.26195,-16.46805,-1.4000,1.2870,-0.1455,0.1338,19.1693,,
2553.26889,-16.46111,0.7711,1.3617,0.0802,0.1415,19.1693,,
2553.27584,-16.45416,0.1887,1.2954,0.0196,0.1347,19.1693,,
2553.28278,-16.44722,2.2873,1.3205,0.2378,0.1373,18.3489,0.6268,
2553.28973,-16.44027,0.0140,1.3072,0.0015,0.1359,19.1693,,
2553.29667,-16.43333,-0.8001,1.3062,-0.0832,0.1358,19.1693,,
2553.30362,-16.42638,0.4204,1.3679,0.0437,0.1422,19.1693,,
2553.31056,-16.41944,2.3456,1.3198,0.2438,0.1372,18.3216,0.6109,
2553.31751,-16.41249,1.0546,1.3551,0.1096,0.1409,19.1693,,
2553.32445,-16.40555,0.1836,1.3522,0.0191,0.1406,19.1693,,
2553.33140,-16.39860,-0.4323,1.3599,-0.0449,0.1414,19.1693,,
2553.33834,-16.39166,-0.2325,1.3662,-0.0242,0.1420,19.1693,,
2553.34529,-16.38471,0.4287,1.3547,0.0446,0.1408,19.1693,,
2553.35223,-16.37777,0.0718,1.3582,0.0075,0.1412,19.1693,,
2553.35918,-16.37082,1.3413,1.3337,0.1394,0.1386,18.9283,1.0796,
2553.36612,-16.36388,0.3197,1.2965,0.0332,0.1348,19.1693,,
2553.37307,-16.35693,3.0440,1.3399,0.3164,0.1393,18.0386,0.4779,
2553.38001,-16.34999,-0.4048,1.3712,-0.0421,0.1425,19.1693,,
2553.38696,-16.34304,-1.7366,1.3115,-0.1805,0.1363,19.1693,,
2553.39391,-16.33609,0.1072,1.3211,0.0111,0.1373,19.1693,,
2553.40085,-16.32915,-0.1841,1.3272,-0.0191,0.1380,19.1693,,
2553.40780,-16.32220,1.5919,1.3529,0.1655,0.1406,18.7424,0.9227,
2553.41474,-16.31526,0.6568,1.3541,0.0683,0.1408,19.1693,,
2553.42168,-16.30832,-1.5049,1.3461,-0.1564,0.1399,19.1693,,
2553.42863,-16.30137,0.3405,1.3117,0.0354,0.1364,19.1693,,
