BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2569.85723,0.12723,-0.20776,0.19534,-0.02160,0.02031,19.12934,0.47482,
2570.10725,0.37725,-0.20058,0.19596,-0.02086,0.02037,19.10336,0.34415,
2570.35728,0.62727,-0.31091,0.19837,-0.03232,0.02062,19.12562,0.39029,
2570.60729,0.87730,0.57331,0.19610,0.05959,0.02038,18.99118,0.22648,
2570.85732,1.12732,0.37046,0.19409,0.03851,0.02018,18.97033,0.21652,
2571.10734,1.37734,0.18399,0.19575,0.01912,0.02035,19.02383,0.24827,
2571.35736,1.62736,0.76653,0.19559,0.07969,0.02033,18.97621,0.21231,
2571.60738,1.87738,0.99367,0.19631,0.10329,0.02041,18.91546,0.18788,
2571.85741,2.12741,0.66165,0.19980,0.06878,0.02077,18.94143,0.20857,
2572.10743,2.37742,0.14547,0.19716,0.01511,0.02049,19.09174,0.32535,
2572.37169,2.64169,0.61726,0.21787,0.06416,0.02265,19.04057,0.27449,
2572.60747,2.87747,1.20429,0.19529,0.12519,0.02030,18.83179,0.16443,
2572.85749,3.12749,0.77323,0.19358,0.08038,0.02012,18.93413,0.18921,
2573.10751,3.37751,1.82145,0.19512,0.18934,0.02028,18.59566,0.12783,
2573.35753,3.62753,2.11418,0.19480,0.21977,0.02025,18.49289,0.11201,
2573.60755,3.87755,2.45472,0.19754,0.25517,0.02053,18.36692,0.10932,
2573.85757,4.12757,2.54375,0.19683,0.26443,0.02046,18.29106,0.09711,
2574.10759,4.37759,2.74770,0.19711,0.28562,0.02049,18.24030,0.09679,
2574.35761,4.62761,2.63831,0.19972,0.27425,0.02076,18.27622,0.09587,
2574.60763,4.87764,3.49340,0.19926,0.36315,0.02071,17.95771,0.07929,
2574.85766,5.12766,4.19866,0.20072,0.43645,0.02086,17.75474,0.06562,
2575.10768,5.37767,4.16681,0.20088,0.43314,0.02088,17.75224,0.05893,
2575.35770,5.62769,4.99446,0.19830,0.51919,0.02061,17.52203,0.04554,
2575.60772,5.87771,5.44124,0.19555,0.56562,0.02033,17.42678,0.04117,
2575.85773,6.12773,5.42633,0.19489,0.56407,0.02026,17.43371,0.04206,
2576.10775,6.37776,5.87611,0.19509,0.61082,0.02028,17.35494,0.03973,
2576.35777,6.62777,6.71609,0.19638,0.69815,0.02041,17.20337,0.03416,
2576.60779,6.87779,6.91313,0.19648,0.71863,0.02042,17.16056,0.03196,
2576.85781,7.12781,7.38284,0.19662,0.76746,0.02044,17.08271,0.02940,
2577.10892,7.37892,7.55422,0.20092,0.78527,0.02088,17.06076,0.02964,
2577.35785,7.62785,8.20211,0.20096,0.85262,0.02089,16.97610,0.02767,
2577.60787,7.87787,8.47922,0.19937,0.88142,0.02073,16.93680,0.02631,
2577.85789,8.12789,8.55701,0.19951,0.88951,0.02074,16.92591,0.02599,
2578.10790,8.37791,8.93061,0.19782,0.92835,0.02056,16.87821,0.02460,
2578.35792,8.62792,9.05670,0.19913,0.94145,0.02070,16.86419,0.02453,
2578.59405,8.86405,9.59120,0.21381,0.99701,0.02223,16.79943,0.02471,
