BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2554.55258,-2.43742,-0.7305,1.1356,-0.0836,0.1299,19.8252,,
2554.58036,-2.40964,-0.3337,1.1323,-0.0382,0.1295,19.8252,,
2554.60119,-2.38881,-1.3157,1.1560,-0.1505,0.1322,19.8252,,
2554.60814,-2.38186,-0.8328,1.1583,-0.0953,0.1325,19.8252,,
2554.62897,-2.36103,-1.2512,1.1483,-0.1431,0.1313,19.8252,,
2554.63592,-2.35408,-0.0902,1.1315,-0.0103,0.1294,19.8252,,
2554.64286,-2.34714,0.7765,1.1514,0.0888,0.1317,19.5218,1.6098,
2554.64981,-2.34019,-0.6391,1.1510,-0.0731,0.1317,19.8252,,
2554.65675,-2.33325,-0.6196,1.1488,-0.0709,0.1314,19.8252,,
2554.66370,-2.32630,0.0316,1.1496,0.0036,0.1315,19.8252,,
2554.68453,-2.30547,-0.0921,1.1470,-0.0105,0.1312,19.8252,,
2554.69148,-2.29852,0.8692,1.1389,0.0994,0.1303,19.3994,1.4227,
2554.69842,-2.29158,-0.6163,1.1692,-0.0705,0.1337,19.8252,,
2554.70537,-2.28463,-0.0267,1.1641,-0.0030,0.1332,19.8252,,
2554.71231,-2.27769,-0.5964,1.1464,-0.0682,0.1311,19.8252,,
2554.71926,-2.27074,0.0241,1.1443,0.0028,0.1309,19.8252,,
2554.72620,-2.26380,-2.3035,1.1489,-0.2635,0.1314,19.8252,,
2554.73315,-2.25685,0.1450,1.1508,0.0166,0.1316,19.8252,,
2554.74009,-2.24991,0.3826,1.1471,0.0438,0.1312,19.8252,,
2554.74704,-2.24296,1.0630,1.1216,0.1216,0.1283,19.1809,1.1456,
2554.75399,-2.23601,0.4223,1.1268,0.0483,0.1289,19.8252,,
2554.76093,-2.22907,-1.8225,1.1200,-0.2085,0.1281,19.8252,,
2554.76787,-2.22213,-0.1572,1.1416,-0.0180,0.1306,19.8252,,
2554.77482,-2.21518,0.0239,1.1281,0.0027,0.1290,19.8252,,
2554.78177,-2.20823,-1.5919,1.1452,-0.1821,0.1310,19.8252,,
2554.78871,-2.20129,-0.6576,1.1187,-0.0752,0.1280,19.8252,,
2554.79566,-2.19434,-0.7312,1.1444,-0.0836,0.1309,19.8252,,
2554.80260,-2.18740,-1.2543,1.1438,-0.1435,0.1308,19.8252,,
2554.80955,-2.18045,-0.2807,1.1330,-0.0321,0.1296,19.8252,,
2554.81649,-2.17351,-1.2312,1.1240,-0.1408,0.1286,19.8252,,
