BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2229.04386,-2.23614,-0.3127,1.4281,-0.1696,0.7747,19.5254,,
2229.05080,-2.22920,-1.2432,1.4005,-0.6744,0.7597,19.5254,,
2229.05775,-2.22225,-1.1627,1.3814,-0.6307,0.7494,19.5254,,
2229.06469,-2.21531,1.5056,1.3427,0.8167,0.7284,18.8030,0.9683,
2229.07164,-2.20836,-1.7473,1.3246,-0.9478,0.7186,19.5254,,
2229.07858,-2.20142,0.9990,1.3112,0.5419,0.7113,19.2483,1.4251,
2229.08553,-2.19447,-1.4515,1.3262,-0.7874,0.7194,19.5254,,
2229.09247,-2.18753,0.9710,1.3051,0.5268,0.7080,19.2791,1.4592,
2229.09942,-2.18058,-3.2323,1.2721,-1.7535,0.6901,19.5254,,
2229.10636,-2.17364,-0.3866,1.2654,-0.2097,0.6865,19.5254,,
2229.11331,-2.16669,0.2627,1.1581,0.1425,0.6282,19.5254,,
2229.12025,-2.15975,-1.2032,1.1484,-0.6527,0.6230,19.5254,,
2229.12719,-2.15281,-0.0491,1.1260,-0.0266,0.6108,19.5254,,
2229.13414,-2.14586,-1.4385,1.1705,-0.7804,0.6350,19.5254,,
2229.14108,-2.13892,-2.1475,1.1696,-1.1649,0.6345,19.5254,,
2229.14803,-2.13197,-1.1214,1.1677,-0.6083,0.6335,19.5254,,
2229.15497,-2.12503,-0.0010,1.0628,-0.0005,0.5766,19.5254,,
2229.16192,-2.11808,-1.5555,1.0496,-0.8438,0.5694,19.5254,,
2229.16886,-2.11114,-0.8639,1.0332,-0.4687,0.5605,19.5254,,
2229.17581,-2.10419,-2.0430,1.0443,-1.1083,0.5665,19.5254,,
2229.18275,-2.09725,-1.7540,1.0415,-0.9515,0.5650,19.5254,,
2229.18970,-2.09030,-1.2648,0.9824,-0.6861,0.5329,19.5254,,
2229.19664,-2.08336,0.0435,0.9791,0.0236,0.5311,19.5254,,
2229.20359,-2.07641,-1.3336,1.0180,-0.7234,0.5522,19.5254,,
2229.21053,-2.06947,-1.3992,0.9670,-0.7591,0.5246,19.5254,,
2229.21748,-2.06252,0.0799,0.9722,0.0433,0.5274,19.5254,,
2229.22442,-2.05558,0.2838,0.9796,0.1539,0.5314,19.5254,,
2229.23136,-2.04864,0.3871,0.9704,0.2100,0.5264,19.5254,,
2229.23831,-2.04169,0.3920,0.9563,0.2126,0.5188,19.5254,,
2229.24525,-2.03475,0.7397,0.9571,0.4013,0.5192,19.5254,,
2229.25220,-2.02780,0.7132,0.9259,0.3869,0.5023,19.5254,,
2229.25914,-2.02086,1.0369,0.9366,0.5625,0.5081,19.2078,0.9807,
2229.26609,-2.01391,0.4235,0.9340,0.2297,0.5067,19.5254,,
2229.27303,-2.00697,2.0150,0.9309,1.0931,0.5050,18.4865,0.5016,
2229.27998,-2.00002,0.1259,0.9338,0.0683,0.5066,19.5254,,
2229.28692,-1.99308,1.5650,0.9363,0.8490,0.5079,18.7609,0.6496,
2229.29387,-1.98613,0.3066,0.9348,0.1663,0.5071,19.5254,,
2229.30081,-1.97919,1.4885,0.9371,0.8075,0.5084,18.8153,0.6836,
2229.30775,-1.97225,1.7909,0.9395,0.9715,0.5096,18.6145,0.5696,
2229.31470,-1.96530,2.0448,0.9403,1.1093,0.5101,18.4705,0.4993,
2229.32164,-1.95836,-0.1203,0.9601,-0.0653,0.5208,19.5254,,
2229.32859,-1.95141,0.8573,0.9471,0.4651,0.5138,19.4144,1.1995,
2229.33553,-1.94447,-1.2270,0.9455,-0.6656,0.5129,19.5254,,
2229.34248,-1.93752,-1.1297,0.9428,-0.6128,0.5115,19.5254,,
2229.34942,-1.93058,0.1855,0.9569,0.1006,0.5191,19.5254,,
2229.35637,-1.92363,-0.8770,0.9456,-0.4757,0.5130,19.5254,,
2229.36331,-1.91669,0.7106,0.9610,0.3855,0.5213,19.5254,,
2229.37026,-1.90974,-0.1735,0.9548,-0.0941,0.5179,19.5254,,
