BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2231.40503,0.12503,0.08581,0.17109,0.04654,0.09281,19.37251,0.29358,
2231.65728,0.37728,0.15335,0.17041,0.08319,0.09244,19.38169,0.30047,
2231.90157,0.62157,0.04420,0.16444,0.02397,0.08921,19.48914,0.59108,
2232.15158,0.87158,0.05772,0.16630,0.03131,0.09021,19.41535,0.34162,
2232.40158,1.12158,-0.17886,0.16578,-0.09703,0.08993,19.48422,0.45167,
2232.65159,1.37159,0.04116,0.16341,0.02234,0.08865,19.40902,0.37092,
2232.90159,1.62159,0.07886,0.16190,0.04278,0.08783,19.44138,0.37261,
2233.15160,1.87160,0.17621,0.16466,0.09559,0.08932,19.35581,0.26091,
2233.40160,2.12160,0.16907,0.16568,0.09171,0.08988,19.42025,0.36584,
2233.65161,2.37161,0.31487,0.16589,0.17081,0.08999,19.32193,0.24884,
2233.90161,2.62161,0.12231,0.16539,0.06634,0.08972,19.35224,0.27863,
2234.15162,2.87162,0.33266,0.16990,0.18045,0.09217,19.35555,0.28374,
2234.40162,3.12162,0.16227,0.16623,0.08802,0.09017,19.43452,0.39631,
2234.65162,3.37162,0.62744,0.16480,0.34038,0.08940,19.23547,0.21264,
2234.92107,3.64107,0.55503,0.18652,0.30109,0.10118,19.29056,0.27199,
2235.15163,3.87163,0.26391,0.17068,0.14315,0.09259,19.29779,0.26696,
2235.40164,4.12164,0.58617,0.17106,0.31798,0.09280,19.29094,0.24287,
2235.65164,4.37164,0.49244,0.17132,0.26714,0.09294,19.28313,0.25984,
2235.90164,4.62164,0.90219,0.17116,0.48942,0.09285,19.08268,0.17092,
2236.15165,4.87165,1.15740,0.17116,0.62786,0.09285,18.97746,0.16049,
2236.40165,5.12165,0.84583,0.17006,0.45883,0.09225,19.18337,0.19519,
2236.65165,5.37165,0.89990,0.17187,0.48817,0.09323,19.17389,0.19886,
2236.90165,5.62165,0.76132,0.17383,0.41300,0.09430,19.24245,0.23237,
2237.15166,5.87166,0.84468,0.17348,0.45823,0.09411,19.13886,0.19470,
2237.40166,6.12166,0.89193,0.17434,0.48385,0.09458,19.19237,0.21405,
