BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2229.05725,-11.70275,0.9534,1.2526,0.4881,0.6413,19.2990,1.4264,
2229.06419,-11.69581,1.0566,1.2569,0.5409,0.6435,19.1874,1.2916,
2229.07114,-11.68886,0.6936,1.3209,0.3551,0.6763,19.3041,,
2229.07808,-11.68192,-0.9546,1.3588,-0.4887,0.6957,19.3041,,
2229.08503,-11.67497,-0.0617,1.3838,-0.0316,0.7084,19.3041,,
2229.09197,-11.66803,1.4322,1.3778,0.7332,0.7054,18.8572,1.0445,
2229.09892,-11.66108,-0.4531,1.5009,-0.2319,0.7684,19.3041,,
2229.10586,-11.65414,1.3137,1.4535,0.6726,0.7442,18.9509,1.2013,
2229.11280,-11.64720,-0.0913,1.4484,-0.0467,0.7415,19.3041,,
2229.11975,-11.64025,1.4402,1.5536,0.7373,0.7954,18.8511,1.1712,
2229.12669,-11.63331,1.9431,1.5176,0.9948,0.7770,18.5260,0.8480,
2229.13364,-11.62636,-0.0586,1.4253,-0.0300,0.7297,19.3041,,
2229.14058,-11.61942,1.1468,1.2964,0.5871,0.6637,19.0985,1.2274,
2229.14753,-11.61247,0.2885,1.3854,0.1477,0.7092,19.3041,,
2229.15447,-11.60553,1.1787,1.3929,0.6034,0.7131,19.0687,1.2831,
2229.16142,-11.59858,0.6439,1.3251,0.3296,0.6784,19.3041,,
2229.16836,-11.59164,-2.0154,1.3872,-1.0318,0.7102,19.3041,,
2229.17531,-11.58469,-2.5526,1.3862,-1.3068,0.7097,19.3041,,
2229.18225,-11.57775,-1.0398,1.3902,-0.5323,0.7117,19.3041,,
2229.18920,-11.57080,0.8827,1.2869,0.4519,0.6588,19.3041,,
2229.19614,-11.56386,0.8357,1.2814,0.4278,0.6560,19.3041,,
2229.20309,-11.55691,0.8578,1.2684,0.4391,0.6494,19.3041,,
2229.21003,-11.54997,1.0024,1.2512,0.5132,0.6406,19.2446,1.3553,
2229.21698,-11.54302,1.7820,1.2199,0.9123,0.6245,18.6199,0.7432,
2229.22392,-11.53608,1.2098,1.1968,0.6194,0.6127,19.0404,1.0740,
2229.23086,-11.52914,1.6071,1.1904,0.8228,0.6094,18.7321,0.8042,
2229.23781,-11.52219,2.6312,1.1816,1.3470,0.6049,18.1968,0.4876,
2229.24475,-11.51525,-0.4441,1.2169,-0.2274,0.6230,19.3041,,
2229.25170,-11.50830,0.1753,1.2832,0.0897,0.6570,19.3041,,
2229.25864,-11.50136,1.4556,1.2155,0.7452,0.6223,18.8396,0.9067,
2229.26559,-11.49441,0.1661,1.1807,0.0851,0.6045,19.3041,,
2229.27253,-11.48747,0.7272,1.1711,0.3723,0.5995,19.3041,,
2229.27948,-11.48052,0.6950,1.1519,0.3558,0.5897,19.3041,,
2229.28642,-11.47358,-1.1733,1.1735,-0.6007,0.6008,19.3041,,
2229.29337,-11.46663,0.0782,1.1497,0.0400,0.5886,19.3041,,
2229.30031,-11.45969,0.1925,1.1341,0.0986,0.5806,19.3041,,
2229.30726,-11.45274,1.2762,1.2065,0.6534,0.6177,18.9824,1.0264,
2229.31420,-11.44580,-1.1027,1.1254,-0.5645,0.5762,19.3041,,
2229.32115,-11.43885,1.3537,1.1827,0.6930,0.6055,18.9184,0.9486,
2229.32809,-11.43191,-0.3576,1.2284,-0.1831,0.6289,19.3041,,
2229.33504,-11.42496,-0.4908,1.1593,-0.2513,0.5935,19.3041,,
2229.34198,-11.41802,-0.5589,1.0960,-0.2861,0.5611,19.3041,,
2229.34893,-11.41107,1.1758,1.1189,0.6019,0.5729,19.0714,1.0333,
2229.35587,-11.40413,-1.4969,1.0840,-0.7663,0.5549,19.3041,,
2229.36282,-11.39718,1.3904,1.1248,0.7118,0.5759,18.8893,0.8783,
