BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2235.91493,0.12493,-0.02062,0.16075,-0.00797,0.06208,19.94580,0.42627,
2236.16493,0.37493,-0.19713,0.16070,-0.07612,0.06206,19.91715,0.32516,
2236.41494,0.62494,-0.17832,0.15793,-0.06887,0.06099,20.08428,0.57657,
2236.66494,0.87494,0.02627,0.15770,0.01015,0.06090,19.92108,0.38452,
2236.91494,1.12494,0.02902,0.16085,0.01121,0.06212,20.06424,0.47543,
2237.16494,1.37494,0.10718,0.16146,0.04139,0.06235,19.94146,0.37003,
2237.41494,1.62494,0.34146,0.15909,0.13187,0.06144,19.76695,0.33153,
2237.66494,1.87494,0.19606,0.15856,0.07571,0.06124,19.91725,0.37937,
2237.91494,2.12494,0.12608,0.15721,0.04869,0.06071,19.97286,0.40586,
2238.16494,2.37494,0.20533,0.15849,0.07929,0.06121,19.87974,0.34436,
2238.41494,2.62494,0.11588,0.15997,0.04475,0.06178,19.95413,0.39633,
2238.66494,2.87494,0.26381,0.16081,0.10189,0.06211,19.89683,0.35713,
2238.91494,3.12494,0.00811,0.16130,0.00313,0.06229,19.88751,0.33746,
2239.16494,3.37494,0.53318,0.16095,0.20591,0.06216,19.57771,0.25039,
2239.41494,3.62494,0.34924,0.15982,0.13488,0.06172,19.82053,0.30310,
2239.66494,3.87494,0.62936,0.15925,0.24306,0.06150,19.64189,0.29488,
2239.91494,4.12494,0.60522,0.15630,0.23374,0.06036,19.61749,0.23913,
2240.16494,4.37494,0.41830,0.15760,0.16155,0.06087,19.68872,0.27597,
2240.41494,4.62494,0.61890,0.15380,0.23902,0.05940,19.59154,0.21395,
2240.66494,4.87494,0.68077,0.15249,0.26291,0.05889,19.55138,0.22819,
2240.84549,5.05549,0.70392,0.23020,0.27186,0.08891,19.55363,0.36530,
2242.51910,6.72910,0.45760,0.42920,0.17673,0.16575,19.94642,1.16461,
2242.66493,6.87493,0.59863,0.16391,0.23120,0.06330,19.62399,0.26129,
2242.91493,7.12493,1.14351,0.16141,0.44162,0.06234,19.20055,0.19183,
2243.16493,7.37493,1.31119,0.16077,0.50639,0.06209,19.12161,0.18089,
2243.41493,7.62493,1.50007,0.15893,0.57933,0.06138,18.97389,0.16808,
2243.66840,7.87840,1.77551,0.15756,0.68571,0.06085,18.70438,0.11987,
2243.91840,8.12840,1.59217,0.16094,0.61491,0.06216,18.87723,0.14617,
2244.16493,8.37493,1.85248,0.16083,0.71542,0.06212,18.67388,0.10859,
2244.41493,8.62493,1.75437,0.16040,0.67754,0.06195,18.79312,0.13219,
2244.66225,8.87225,2.14133,0.16252,0.82699,0.06276,18.54949,0.13306,
2244.91522,9.12522,1.95144,0.15996,0.75365,0.06177,18.65249,0.11714,
2245.16492,9.37492,2.18209,0.15559,0.84273,0.06009,18.51176,0.10299,
2245.41492,9.62492,2.00878,0.15355,0.77579,0.05930,18.62382,0.11215,
2245.66839,9.87839,2.17944,0.14979,0.84169,0.05785,18.46992,0.09576,
2245.92187,10.13186,1.96469,0.15640,0.75877,0.06040,18.64158,0.13440,
2246.17186,10.38186,2.45792,0.16016,0.94925,0.06185,18.43461,0.09118,
2246.42186,10.63186,2.25466,0.16391,0.87075,0.06330,18.47354,0.13001,
2246.65707,10.86707,2.53677,0.18247,0.97971,0.07047,18.30232,0.09538,
2246.91298,11.12298,1.95899,0.17797,0.75656,0.06873,18.63468,0.13738,
2247.14167,11.35167,2.33539,0.25862,0.90195,0.09988,18.39963,0.15368,
2247.52255,11.73255,2.48780,0.93720,0.96080,0.36190,18.25770,0.40900,
2247.69188,11.90188,2.40937,0.25934,0.93050,0.10016,18.45225,0.24466,
2247.90449,12.11449,1.98882,0.25174,0.76809,0.09722,18.66974,0.16382,
2248.17532,12.38532,2.31565,0.16467,0.89431,0.06360,18.42978,0.10117,
2248.42432,12.63432,2.76783,0.16192,1.06894,0.06253,18.26061,0.09775,
2248.67184,12.88184,2.48618,0.15921,0.96016,0.06149,18.33954,0.08045,
2248.92184,13.13184,2.68021,0.15458,1.03510,0.05970,18.24456,0.07682,
2249.17183,13.38183,2.57186,0.15954,0.99326,0.06161,18.31077,0.08081,
2249.39752,13.60752,2.52482,0.18020,0.97509,0.06959,18.43243,0.14945,
