BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2229.22422,-4.45578,0.7913,0.7990,0.2575,0.2600,19.5014,1.0963,
2229.23116,-4.44884,0.3193,0.7999,0.1039,0.2603,20.4866,2.7197,
2229.23811,-4.44189,0.7315,0.7897,0.2380,0.2570,19.5866,1.1721,
2229.24505,-4.43495,0.8724,0.7792,0.2839,0.2536,19.3955,0.9698,
2229.25200,-4.42800,-0.2832,0.7772,-0.0922,0.2529,21.1507,,
2229.25894,-4.42106,1.3846,0.7754,0.4506,0.2523,18.8938,0.6080,
2229.26589,-4.41411,-0.6585,0.7740,-0.2143,0.2519,21.1507,,
2229.27283,-4.40717,0.3118,0.7787,0.1015,0.2534,20.5124,2.7115,
2229.27978,-4.40022,-0.3498,0.7813,-0.1138,0.2543,21.1507,,
2229.28672,-4.39328,-0.2137,0.7717,-0.0695,0.2511,21.1507,,
2229.29367,-4.38633,-0.7884,0.7726,-0.2566,0.2514,21.1507,,
2229.30061,-4.37939,-0.9630,0.7790,-0.3134,0.2535,21.1507,,
2229.30755,-4.37245,0.3596,0.7729,0.1170,0.2515,20.3575,2.3335,
2229.31450,-4.36550,0.9564,0.7765,0.3112,0.2527,19.2956,0.8816,
2229.32144,-4.35856,-0.6921,0.7699,-0.2252,0.2505,21.1507,,
2229.32839,-4.35161,-0.7855,0.7789,-0.2556,0.2535,21.1507,,
2229.33533,-4.34467,0.4497,0.7776,0.1464,0.2530,20.1148,1.8771,
2229.34228,-4.33772,0.2793,0.7765,0.0909,0.2527,20.6322,3.0190,
2229.34922,-4.33078,-0.1100,0.7783,-0.0358,0.2533,21.1507,,
2229.35617,-4.32383,1.3470,0.7770,0.4383,0.2529,18.9238,0.6263,
2229.36311,-4.31689,0.0432,0.7810,0.0141,0.2542,21.1507,,
2229.37006,-4.30994,0.6510,0.7803,0.2118,0.2539,19.7133,1.3014,
2229.37700,-4.30300,1.0216,0.7792,0.3324,0.2536,19.2240,0.8282,
2229.38394,-4.29606,-0.4458,0.7779,-0.1451,0.2531,21.1507,,
2229.39089,-4.28911,0.8547,0.7787,0.2781,0.2534,19.4177,0.9892,
2229.39783,-4.28217,0.5078,0.7791,0.1653,0.2535,19.9829,1.6657,
2229.40478,-4.27522,-0.3444,0.7781,-0.1121,0.2532,21.1507,,
2229.41172,-4.26828,0.0853,0.7762,0.0278,0.2526,21.1507,,
2229.41867,-4.26133,2.5391,0.7799,0.8263,0.2538,18.2355,0.3335,
2229.42561,-4.25439,0.2810,0.7783,0.0914,0.2533,20.6255,3.0075,
2229.43256,-4.24744,0.8155,0.7791,0.2654,0.2535,19.4686,1.0373,
2229.43950,-4.24050,0.6434,0.7799,0.2094,0.2538,19.7260,1.3160,
2229.44645,-4.23355,-0.2934,0.7799,-0.0955,0.2538,21.1507,,
2229.45339,-4.22661,-1.4768,0.7769,-0.4806,0.2528,21.1507,,
2229.46033,-4.21967,1.1281,0.7778,0.3671,0.2531,19.1164,0.7486,
2229.46728,-4.21272,0.9697,0.7798,0.3156,0.2538,19.2806,0.8731,
2229.47422,-4.20578,1.3094,0.7792,0.4261,0.2536,18.9545,0.6461,
2229.48117,-4.19883,-0.0544,0.7774,-0.0177,0.2530,21.1507,,
2229.48811,-4.19189,1.3526,0.7789,0.4402,0.2535,18.9193,0.6252,
2229.49506,-4.18494,-1.4600,0.7777,-0.4751,0.2531,21.1507,,
2229.50200,-4.17800,-0.4150,0.7800,-0.1351,0.2538,21.1507,,
2229.50895,-4.17105,1.3026,0.7814,0.4239,0.2543,18.9602,0.6513,
2229.51589,-4.16411,-1.7453,0.7785,-0.5680,0.2534,21.1507,,
2229.52284,-4.15716,-0.4707,0.7799,-0.1532,0.2538,21.1507,,
2229.52978,-4.15022,-1.1747,0.7786,-0.3823,0.2534,21.1507,,
2229.53672,-4.14328,1.3217,0.7805,0.4301,0.2540,18.9444,0.6412,
2229.54367,-4.13633,-0.9132,0.7769,-0.2972,0.2528,21.1507,,
2229.55061,-4.12939,0.7675,0.7797,0.2498,0.2537,19.5345,1.1030,
2229.55756,-4.12244,1.0597,0.7816,0.3448,0.2543,19.1843,0.8008,
2229.56450,-4.11550,-0.7053,0.7827,-0.2295,0.2547,21.1507,,
2229.57145,-4.10855,0.9088,0.7818,0.2957,0.2544,19.3511,0.9341,
2229.57839,-4.10161,0.1200,0.7836,0.0391,0.2550,21.1507,,
2229.58534,-4.09466,0.3144,0.7776,0.1023,0.2530,20.5034,2.6849,
2229.59228,-4.08772,-0.0354,0.7830,-0.0115,0.2548,21.1507,,
2229.59923,-4.08077,-0.0591,0.7789,-0.0192,0.2535,21.1507,,
2229.60617,-4.07383,-0.6452,0.7809,-0.2100,0.2541,21.1507,,
2229.61311,-4.06689,0.2854,0.7782,0.0929,0.2533,20.6086,2.9607,
2229.62006,-4.05994,0.4695,0.7795,0.1528,0.2537,20.0680,1.8024,
2229.62700,-4.05300,-0.6958,0.7775,-0.2264,0.2530,21.1507,,
2229.63395,-4.04605,-0.6333,0.7767,-0.2061,0.2527,21.1507,,
2229.64089,-4.03911,-0.0532,0.7801,-0.0173,0.2539,21.1507,,
2229.64784,-4.03216,-0.5586,0.7772,-0.1818,0.2529,21.1507,,
2229.65478,-4.02522,-1.7770,0.7782,-0.5783,0.2532,21.1507,,
