BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2229.16166,-10.86834,0.6672,1.5704,0.4574,1.0767,19.6866,2.5556,
2229.16861,-10.86139,0.7107,1.5336,0.4873,1.0516,19.6180,2.3430,
2229.17555,-10.85445,-1.7836,1.4844,-1.2230,1.0178,19.9012,,
2229.18250,-10.84750,0.2167,1.4340,0.1486,0.9833,19.9012,,
2229.18944,-10.84056,-3.7647,1.3903,-2.5814,0.9532,19.9012,,
2229.19639,-10.83361,-1.3216,1.3558,-0.9062,0.9296,19.9012,,
2229.20333,-10.82667,0.1618,1.3348,0.1109,0.9152,19.9012,,
2229.21028,-10.81972,1.5505,1.3095,1.0631,0.8979,18.7710,0.9170,
2229.21722,-10.81278,0.2670,1.2900,0.1831,0.8845,19.9012,,
2229.22416,-10.80584,1.3205,1.2749,0.9054,0.8741,18.9454,1.0482,
2229.23111,-10.79889,-0.9410,1.2592,-0.6452,0.8634,19.9012,,
2229.23805,-10.79195,-1.0638,1.2415,-0.7294,0.8513,19.9012,,
2229.24500,-10.78500,-2.8588,1.2304,-1.9602,0.8436,19.9012,,
2229.25194,-10.77806,-0.1524,1.2271,-0.1045,0.8414,19.9012,,
2229.25889,-10.77111,-1.7205,1.2237,-1.1797,0.8390,19.9012,,
2229.26583,-10.76417,-1.0116,1.2264,-0.6936,0.8409,19.9012,,
2229.27278,-10.75722,-1.3278,1.2225,-0.9104,0.8383,19.9012,,
2229.27972,-10.75028,-0.3602,1.2254,-0.2470,0.8402,19.9012,,
2229.28667,-10.74333,0.8020,1.2233,0.5499,0.8388,19.4867,1.6560,
2229.29361,-10.73639,-0.0077,1.2172,-0.0053,0.8346,19.9012,,
2229.30055,-10.72945,-0.0007,1.2266,-0.0004,0.8410,19.9012,,
2229.30750,-10.72250,-1.8702,1.2271,-1.2823,0.8414,19.9012,,
2229.31444,-10.71556,-0.7525,1.2209,-0.5160,0.8371,19.9012,,
2229.32139,-10.70861,-0.9380,1.2223,-0.6431,0.8381,19.9012,,
2229.32833,-10.70167,-0.2698,1.2214,-0.1850,0.8375,19.9012,,
2229.33528,-10.69472,-1.1029,1.2187,-0.7562,0.8356,19.9012,,
2229.34222,-10.68778,0.0339,1.2159,0.0232,0.8337,19.9012,,
2229.34917,-10.68083,1.2190,1.2208,0.8359,0.8370,19.0321,1.0873,
2229.35611,-10.67389,-1.0580,1.2217,-0.7254,0.8377,19.9012,,
2229.36306,-10.66694,-0.7640,1.2226,-0.5239,0.8383,19.9012,,
2229.37000,-10.66000,-0.4925,1.2212,-0.3377,0.8373,19.9012,,
2229.37694,-10.65306,-1.0531,1.2179,-0.7221,0.8351,19.9012,,
2229.38389,-10.64611,-0.3875,1.2186,-0.2657,0.8355,19.9012,,
2229.39083,-10.63917,-0.6522,1.2191,-0.4472,0.8359,19.9012,,
2229.39778,-10.63222,-1.1019,1.2208,-0.7555,0.8371,19.9012,,
2229.40472,-10.62528,-0.6009,1.2249,-0.4120,0.8399,19.9012,,
2229.41167,-10.61833,-0.9503,1.2271,-0.6516,0.8414,19.9012,,
2229.41861,-10.61139,0.9199,1.2281,0.6307,0.8421,19.3379,1.4495,
2229.42556,-10.60444,1.5675,1.2263,1.0748,0.8408,18.7592,0.8494,
2229.43250,-10.59750,-0.3171,1.2268,-0.2174,0.8412,19.9012,,
2229.43945,-10.59055,1.4346,1.2240,0.9837,0.8393,18.8553,0.9263,
2229.44639,-10.58361,2.2767,1.2248,1.5611,0.8398,18.3539,0.5841,
2229.45333,-10.57667,2.1523,1.2245,1.4758,0.8396,18.4149,0.6177,
2229.46028,-10.56972,-0.0934,1.2287,-0.0641,0.8424,19.9012,,
2229.46722,-10.56278,0.7400,1.2269,0.5074,0.8413,19.5742,1.8002,
2229.47417,-10.55583,-0.7882,1.2261,-0.5404,0.8407,19.9012,,
2229.48111,-10.54889,1.4157,1.2269,0.9707,0.8412,18.8698,0.9409,
2229.48806,-10.54194,1.0347,1.2277,0.7095,0.8418,19.2102,1.2883,
2229.49500,-10.53500,-1.6981,1.2266,-1.1643,0.8410,19.9012,,
2229.50195,-10.52805,0.5867,1.2252,0.4023,0.8401,19.8261,2.2672,
2229.50889,-10.52111,0.8806,1.2262,0.6038,0.8408,19.3852,1.5118,
2229.51583,-10.51417,2.4257,1.2269,1.6632,0.8412,18.2851,0.5491,
2229.52278,-10.50722,1.8950,1.2237,1.2994,0.8391,18.5532,0.7011,
2229.52972,-10.50028,1.5403,1.2188,1.0561,0.8357,18.7782,0.8591,
2229.53667,-10.49333,-0.1611,1.2199,-0.1105,0.8365,19.9012,,
2229.54361,-10.48639,1.5089,1.2248,1.0346,0.8398,18.8005,0.8813,
2229.55056,-10.47944,1.6601,1.2269,1.1383,0.8413,18.6968,0.8024,
2229.55750,-10.47250,1.6699,1.2253,1.1450,0.8401,18.6905,0.7967,
2229.56445,-10.46555,-0.2136,1.2250,-0.1465,0.8399,19.9012,,
2229.57139,-10.45861,0.2689,1.2225,0.1844,0.8382,19.9012,,
2229.57834,-10.45166,0.4851,1.2191,0.3326,0.8359,19.9012,,
2229.58528,-10.44472,-1.2741,1.2207,-0.8736,0.8370,19.9012,,
2229.59222,-10.43778,1.1053,1.2220,0.7579,0.8379,19.1385,1.2003,
2229.59917,-10.43083,0.0250,1.2239,0.0171,0.8392,19.9012,,
2229.60611,-10.42389,0.2941,1.2249,0.2016,0.8399,19.9012,,
2229.61306,-10.41694,0.4399,1.2228,0.3016,0.8384,19.9012,,
2229.62000,-10.41000,0.4308,1.2219,0.2954,0.8378,19.9012,,
2229.62695,-10.40305,0.4522,1.2216,0.3101,0.8376,19.9012,,
2229.63389,-10.39611,1.1025,1.2242,0.7559,0.8394,19.1413,1.2056,
