BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2229.05743,-16.21257,1.3158,1.3337,1.2297,1.2464,18.9492,1.1005,
2229.06438,-16.20562,-2.1088,1.3092,-1.9707,1.2235,20.1992,,
2229.07827,-16.19173,0.3685,1.2759,0.3443,1.1924,20.1992,,
2229.11994,-16.15006,-0.4128,1.1936,-0.3858,1.1154,20.1992,,
2229.12688,-16.14312,-0.8751,1.1801,-0.8178,1.1029,20.1992,,
2229.13383,-16.13617,0.3591,1.1937,0.3355,1.1156,20.1992,,
2229.14077,-16.12923,-0.9616,1.1598,-0.8986,1.0839,20.1992,,
2229.14772,-16.12228,1.0634,1.1214,0.9938,1.0480,19.1804,1.1449,
2229.15466,-16.11534,0.4835,1.1523,0.4519,1.0769,20.0361,2.5875,
2229.16161,-16.10839,1.6152,1.1501,1.5094,1.0748,18.7267,0.7731,
2229.16855,-16.10145,1.1847,1.1150,1.1071,1.0420,19.0632,1.0218,
2229.17549,-16.09451,-0.4398,1.1076,-0.4110,1.0351,20.1992,,
2229.18244,-16.08756,1.6737,1.1027,1.5642,1.0305,18.6880,0.7153,
2229.18938,-16.08062,0.3188,1.0686,0.2979,0.9987,20.1992,,
2229.19633,-16.07367,0.8216,1.0132,0.7678,0.9469,19.4606,1.3390,
2229.20327,-16.06673,0.2049,1.0250,0.1915,0.9579,20.1992,,
2229.21022,-16.05978,0.1427,1.0176,0.1333,0.9510,20.1992,,
2229.21716,-16.05284,1.9265,1.0670,1.8004,0.9971,18.5353,0.6013,
2229.22411,-16.04589,0.3260,1.0425,0.3046,0.9743,20.1992,,
2229.23105,-16.03895,0.8959,1.0263,0.8373,0.9591,19.3665,1.2437,
2229.23800,-16.03200,-0.3982,1.0202,-0.3721,0.9535,20.1992,,
2229.24494,-16.02506,-1.3927,1.0253,-1.3015,0.9582,20.1992,,
2229.25189,-16.01811,-0.9336,1.0160,-0.8725,0.9495,20.1992,,
2229.25883,-16.01117,0.2102,1.0171,0.1964,0.9505,20.1992,,
2229.26578,-16.00422,0.7202,1.0085,0.6731,0.9424,19.6035,1.5202,
2229.27272,-15.99728,1.3065,1.0124,1.2210,0.9461,18.9569,0.8413,
2229.27966,-15.99034,0.3548,1.0219,0.3316,0.9550,20.1992,,
2229.28661,-15.98339,-0.2735,1.0313,-0.2556,0.9638,20.1992,,
2229.29355,-15.97645,-0.0418,1.0307,-0.0391,0.9632,20.1992,,
2229.30050,-15.96950,1.0984,1.0284,1.0265,0.9611,19.1453,1.0166,
2229.30744,-15.96256,-0.3753,1.0463,-0.3507,0.9778,20.1992,,
2229.31439,-15.95561,0.3744,1.0165,0.3499,0.9499,20.1992,,
2229.32133,-15.94867,2.0081,1.0227,1.8766,0.9558,18.4902,0.5530,
2229.32828,-15.94172,2.0135,1.0300,1.8817,0.9626,18.4873,0.5554,
2229.33522,-15.93478,-0.7024,1.0146,-0.6564,0.9482,20.1992,,
2229.34217,-15.92783,0.3041,1.0217,0.2842,0.9548,20.1992,,
2229.34911,-15.92089,0.3302,0.9934,0.3085,0.9284,20.1992,,
2229.35606,-15.91394,-0.3748,1.0078,-0.3502,0.9418,20.1992,,
2229.36300,-15.90700,0.0161,0.9977,0.0151,0.9324,20.1992,,
2229.36995,-15.90005,1.1868,1.0008,1.1091,0.9353,19.0613,0.9156,
2229.37689,-15.89311,1.2332,0.9945,1.1525,0.9294,19.0196,0.8756,
2229.38383,-15.88617,1.2805,0.9962,1.1967,0.9310,18.9788,0.8447,
2229.39078,-15.87922,-0.2576,0.9923,-0.2407,0.9274,20.1992,,
2229.39772,-15.87228,-0.6464,0.9848,-0.6041,0.9203,20.1992,,
2229.40467,-15.86533,-0.1682,0.9963,-0.1572,0.9311,20.1992,,
2229.41161,-15.85839,1.6528,0.9931,1.5446,0.9280,18.7017,0.6524,
2229.41856,-15.85144,1.4084,1.0175,1.3162,0.9509,18.8754,0.7844,
2229.42550,-15.84450,0.3731,0.9890,0.3486,0.9242,20.1992,,
2229.43245,-15.83755,-1.2277,0.9773,-1.1473,0.9134,20.1992,,
2229.43939,-15.83061,0.7121,1.0031,0.6655,0.9374,19.6158,1.5293,
2229.44634,-15.82366,-0.5997,0.9982,-0.5605,0.9329,20.1992,,
2229.45328,-15.81672,0.6952,0.9942,0.6497,0.9291,19.6420,1.5527,
2229.46023,-15.80977,0.0628,1.0062,0.0587,0.9403,20.1992,,
2229.46717,-15.80283,0.1057,1.0230,0.0987,0.9560,20.1992,,
2229.47412,-15.79588,-0.4195,1.0078,-0.3920,0.9418,20.1992,,
2229.48106,-15.78894,-0.3501,1.0021,-0.3272,0.9365,20.1992,,
2229.48801,-15.78199,0.4825,1.0117,0.4509,0.9455,20.0384,2.2765,
2229.49495,-15.77505,-0.3072,1.0015,-0.2870,0.9359,20.1992,,
2229.50189,-15.76811,0.8536,1.0154,0.7978,0.9489,19.4190,1.2914,
2229.50884,-15.76116,-0.6569,1.0146,-0.6139,0.9481,20.1992,,
2229.51578,-15.75422,0.4331,1.0149,0.4048,0.9485,20.1556,2.5442,
2229.52273,-15.74727,1.5126,1.0035,1.4136,0.9379,18.7979,0.7203,
2229.52967,-15.74033,0.4497,1.0010,0.4203,0.9355,20.1149,2.4168,
2229.53662,-15.73338,-0.1387,1.0001,-0.1296,0.9346,20.1992,,
2229.54356,-15.72644,1.7659,1.0039,1.6503,0.9382,18.6298,0.6172,
2229.55051,-15.71949,0.5773,0.9956,0.5395,0.9304,19.8437,1.8724,
2229.55745,-15.71255,1.7068,1.0016,1.5950,0.9360,18.6668,0.6371,
2229.56440,-15.70560,0.0643,1.0122,0.0601,0.9459,20.1992,,
2229.57134,-15.69866,0.5264,1.0050,0.4919,0.9392,19.9439,2.0728,
2229.57829,-15.69171,0.1542,0.9719,0.1441,0.9082,20.1992,,
2229.58523,-15.68477,0.0880,1.0012,0.0822,0.9356,20.1992,,
2229.59217,-15.67783,-1.4281,0.9850,-1.3346,0.9206,20.1992,,
2229.59912,-15.67088,0.5650,0.9970,0.5280,0.9317,19.8671,1.9159,
2229.60606,-15.66394,0.4211,1.0037,0.3936,0.9380,20.1861,2.5875,
2229.61301,-15.65699,0.1404,1.0071,0.1312,0.9412,20.1992,,
2229.61995,-15.65005,-0.3281,1.0084,-0.3066,0.9424,20.1992,,
2229.62690,-15.64310,-0.6198,1.0198,-0.5793,0.9530,20.1992,,
2229.63384,-15.63616,0.0093,1.0178,0.0087,0.9511,20.1992,,
2229.64079,-15.62921,-1.0218,1.0186,-0.9549,0.9519,20.1992,,
2229.64773,-15.62227,-0.1930,0.9981,-0.1804,0.9328,20.1992,,
2229.65468,-15.61532,0.3438,1.0084,0.3213,0.9424,20.1992,,
2229.66162,-15.60838,2.4414,1.0019,2.2816,0.9363,18.2781,0.4456,
2229.66857,-15.60143,-0.7709,1.0296,-0.7205,0.9622,20.1992,,
2229.67551,-15.59449,2.0601,1.0277,1.9252,0.9605,18.4625,0.5417,
2229.68246,-15.58754,-0.0433,1.0067,-0.0404,0.9408,20.1992,,
2229.68940,-15.58060,0.6407,1.0260,0.5988,0.9589,19.7305,1.7386,
2229.69635,-15.57365,0.4721,1.0352,0.4412,0.9675,20.0620,2.3807,
2229.70329,-15.56671,0.5334,1.0149,0.4985,0.9484,19.9295,2.0656,
2229.71023,-15.55977,1.6667,1.0064,1.5576,0.9406,18.6926,0.6556,
2229.71718,-15.55282,-0.3660,1.0064,-0.3420,0.9405,20.1992,,
2229.72412,-15.54588,0.0552,1.0132,0.0516,0.9468,20.1992,,
2229.73107,-15.53893,1.2431,1.0152,1.1617,0.9488,19.0110,0.8867,
2229.73801,-15.53199,0.5342,1.0752,0.4992,1.0049,19.9279,2.1854,
2229.74496,-15.52504,-0.3949,0.9951,-0.3690,0.9300,20.1992,,
2229.75190,-15.51810,0.6350,1.0054,0.5934,0.9396,19.7403,1.7192,
2229.75885,-15.51115,0.2612,0.9630,0.2441,0.9000,20.1992,,
2229.76579,-15.50421,1.9134,0.9556,1.7882,0.8931,18.5427,0.5423,
2229.77274,-15.49726,1.0455,0.9879,0.9771,0.9232,19.1989,1.0259,
2229.77968,-15.49032,-0.4549,0.9874,-0.4251,0.9228,20.1992,,
2229.78663,-15.48337,0.1840,0.9749,0.1720,0.9111,20.1992,,
2229.79357,-15.47643,0.9335,0.9924,0.8724,0.9275,19.3219,1.1542,
2229.80052,-15.46948,0.4789,0.9460,0.4476,0.8841,20.0466,2.1447,
2229.80746,-15.46254,-0.4302,0.9949,-0.4021,0.9298,20.1992,,
2229.81440,-15.45560,-0.9279,0.9984,-0.8671,0.9330,20.1992,,
2229.82135,-15.44865,0.9151,0.9558,0.8552,0.8933,19.3435,1.1340,
2229.82829,-15.44171,0.1654,0.9622,0.1546,0.8992,20.1992,,
2229.83524,-15.43476,0.5988,1.0092,0.5596,0.9431,19.8040,1.8298,
2229.84218,-15.42782,0.5569,1.0075,0.5205,0.9415,19.8827,1.9641,
2229.84913,-15.42087,0.5043,1.0304,0.4713,0.9630,19.9905,2.2185,
