BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2255.69609,-12.29391,2.4477,1.3413,0.2008,0.1100,18.2753,0.5950,
2255.70303,-12.28697,2.2513,1.3300,0.1847,0.1091,18.3661,0.6414,
2255.75859,-12.23141,1.1273,1.3760,0.0925,0.1129,19.1171,1.3252,
2255.76554,-12.22446,1.1958,1.3411,0.0981,0.1100,19.0530,1.2177,
2255.77248,-12.21752,1.9952,1.3305,0.1637,0.1092,18.4972,0.7240,
2255.77943,-12.21057,-1.0738,1.3057,-0.0881,0.1071,19.7962,,
2255.78637,-12.20363,-1.4961,1.3019,-0.1227,0.1068,19.7962,,
2255.79332,-12.19668,2.0631,1.2905,0.1693,0.1059,18.4609,0.6791,
2255.80026,-12.18974,1.2657,1.2239,0.1038,0.1004,18.9914,1.0498,
2255.80721,-12.18279,-0.2181,1.2488,-0.0179,0.1024,19.7962,,
2255.81415,-12.17585,0.5040,1.2296,0.0413,0.1009,19.7962,,
2255.82109,-12.16891,-0.7431,1.2170,-0.0610,0.0998,19.7962,,
2255.82804,-12.16196,-0.9467,1.2390,-0.0777,0.1016,19.7962,,
2255.86971,-12.12029,0.6463,1.1808,0.0530,0.0969,19.7211,1.9836,
2255.90443,-12.08557,0.1354,1.2407,0.0111,0.1018,19.7962,,
2255.93221,-12.05779,-0.4788,1.2356,-0.0393,0.1014,19.7962,,
2255.95304,-12.03696,-0.4429,1.2025,-0.0363,0.0987,19.7962,,
2255.97388,-12.01612,-0.9704,1.2566,-0.0796,0.1031,19.7962,,
2255.98082,-12.00918,1.0841,1.1800,0.0889,0.0968,19.1595,1.1818,
2255.98777,-12.00223,0.1983,1.1783,0.0163,0.0967,19.7962,,
2255.99471,-11.99529,-0.4528,1.1638,-0.0372,0.0955,19.7962,,
2256.00166,-11.98834,-0.2855,1.1166,-0.0234,0.0916,19.7962,,
2256.00860,-11.98140,-0.6342,1.1361,-0.0520,0.0932,19.7962,,
2256.01555,-11.97445,0.4821,1.0631,0.0396,0.0872,19.7962,,
2256.02249,-11.96751,-0.5795,1.1243,-0.0475,0.0922,19.7962,,
2256.02944,-11.96056,-1.3505,1.1207,-0.1108,0.0919,19.7962,,
2256.03638,-11.95362,0.0984,1.0746,0.0081,0.0882,19.7962,,
2256.04333,-11.94667,-1.0458,1.1297,-0.0858,0.0927,19.7962,,
2256.05027,-11.93973,-0.5247,1.1365,-0.0430,0.0932,19.7962,,
2256.05722,-11.93278,-1.2603,1.1031,-0.1034,0.0905,19.7962,,
2256.06416,-11.92584,0.3126,1.1005,0.0256,0.0903,19.7962,,
2256.07110,-11.91890,0.7202,0.9456,0.0591,0.0776,19.6036,1.4255,
2256.07805,-11.91195,-0.9860,1.0987,-0.0809,0.0901,19.7962,,
2256.08499,-11.90501,0.4374,1.0257,0.0359,0.0841,19.7962,,
2256.09194,-11.89806,0.9192,1.0269,0.0754,0.0842,19.3387,1.2129,
2256.09888,-11.89112,-0.9501,0.9379,-0.0779,0.0769,19.7962,,
2256.10583,-11.88417,-0.9831,1.0068,-0.0807,0.0826,19.7962,,
2256.11277,-11.87723,1.5808,1.0140,0.1297,0.0832,18.7500,0.6965,
2256.11972,-11.87028,0.4299,1.0121,0.0353,0.0830,19.7962,,
2256.12666,-11.86334,-0.1563,1.0065,-0.0128,0.0826,19.7962,,
2256.13361,-11.85639,1.6131,0.9994,0.1323,0.0820,18.7281,0.6727,
2256.14055,-11.84945,-0.7842,1.0091,-0.0643,0.0828,19.7962,,
2256.14750,-11.84250,-0.7969,1.0237,-0.0654,0.0840,19.7962,,
2256.15444,-11.83556,1.0090,1.0237,0.0828,0.0840,19.2374,1.1015,
2256.16139,-11.82861,-0.5208,1.0104,-0.0427,0.0829,19.7962,,
2256.16833,-11.82167,0.8095,0.9853,0.0664,0.0808,19.4766,1.3214,
2256.17527,-11.81473,-0.4478,1.0176,-0.0367,0.0835,19.7962,,
2256.18222,-11.80778,-0.2380,1.0168,-0.0195,0.0834,19.7962,,
2256.18916,-11.80084,-0.2072,1.0186,-0.0170,0.0836,19.7962,,
2256.19611,-11.79389,0.4664,1.0152,0.0383,0.0833,19.7962,,
2256.20305,-11.78695,-0.6375,1.0157,-0.0523,0.0833,19.7962,,
2256.21000,-11.78000,0.9371,1.0314,0.0769,0.0846,19.3177,1.1950,
2256.21694,-11.77306,-0.7098,1.0277,-0.0582,0.0843,19.7962,,
2256.22389,-11.76611,-0.1764,1.0015,-0.0145,0.0822,19.7962,,
2256.23083,-11.75917,0.1494,0.9986,0.0123,0.0819,19.7962,,
2256.23778,-11.75222,-0.7332,1.0171,-0.0602,0.0834,19.7962,,
2256.24472,-11.74528,-0.6979,0.9995,-0.0573,0.0820,19.7962,,
2256.25167,-11.73833,-0.2683,1.0284,-0.0220,0.0844,19.7962,,
2256.25861,-11.73139,-0.6682,1.0130,-0.0548,0.0831,19.7962,,
2256.26556,-11.72444,0.7897,1.0158,0.0648,0.0833,19.5035,1.3966,
2256.27250,-11.71750,-1.5891,1.0243,-0.1304,0.0840,19.7962,,
2256.27945,-11.71055,-1.1062,1.0017,-0.0908,0.0822,19.7962,,
2256.28639,-11.70361,-0.4423,1.0226,-0.0363,0.0839,19.7962,,
2256.29334,-11.69666,-0.0831,1.0057,-0.0068,0.0825,19.7962,,
2256.30028,-11.68972,-1.2206,0.9932,-0.1001,0.0815,19.7962,,
2256.30723,-11.68277,-0.5645,1.0081,-0.0463,0.0827,19.7962,,
2256.31417,-11.67583,-0.4133,1.0084,-0.0339,0.0827,19.7962,,
2256.32111,-11.66889,-1.0003,0.9874,-0.0821,0.0810,19.7962,,
2256.32806,-11.66194,0.5315,0.9947,0.0436,0.0816,19.7962,,
2256.33500,-11.65500,-0.6877,1.0039,-0.0564,0.0824,19.7962,,
2256.34195,-11.64805,-0.2313,0.9847,-0.0190,0.0808,19.7962,,
2256.34889,-11.64111,1.2971,0.9847,0.1064,0.0808,18.9647,0.8242,
2256.35584,-11.63416,0.0940,0.9834,0.0077,0.0807,19.7962,,
2256.36278,-11.62722,-1.5356,0.9743,-0.1260,0.0799,19.7962,,
2256.36973,-11.62027,-0.6023,0.9944,-0.0494,0.0816,19.7962,,
2256.37667,-11.61333,-0.1394,0.9944,-0.0114,0.0816,19.7962,,
