BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2272.15834,4.16834,3.76817,0.16280,0.30913,0.01336,17.82779,0.04995,
2272.40834,4.41834,3.93963,0.16234,0.32320,0.01332,17.78722,0.04889,
2272.65834,4.66834,4.46824,0.16423,0.36656,0.01347,17.64578,0.04293,
2272.90835,4.91835,4.72178,0.16475,0.38736,0.01352,17.58047,0.04005,
2273.15835,5.16835,5.91419,0.16707,0.48518,0.01371,17.34195,0.03285,
2273.40835,5.41835,5.33054,0.16657,0.43731,0.01367,17.44905,0.03621,
2273.65489,5.66489,5.76658,0.16716,0.47307,0.01371,17.35479,0.03239,
2273.90632,5.91632,5.94453,0.17206,0.48768,0.01411,17.32202,0.03227,
2274.13740,6.14740,6.61182,0.20031,0.54242,0.01643,17.20452,0.03359,
2274.40837,6.41837,6.74351,0.16888,0.55321,0.01386,17.18314,0.02781,
2274.65837,6.66837,7.00824,0.17178,0.57494,0.01409,17.14079,0.02718,
2274.90837,6.91837,7.50245,0.16368,0.61548,0.01343,17.06689,0.02417,
2275.15837,7.16837,7.70433,0.16567,0.63204,0.01359,17.03683,0.02377,
2275.40838,7.41838,8.00150,0.16892,0.65642,0.01386,16.99739,0.02346,
2275.65838,7.66838,8.46602,0.17019,0.69453,0.01396,16.93205,0.02207,
2275.90838,7.91838,8.92883,0.17035,0.73251,0.01397,16.87520,0.02100,
2276.15838,8.16838,8.94600,0.16902,0.73390,0.01387,16.87297,0.02080,
2276.40839,8.41839,9.35455,0.16496,0.76743,0.01353,16.82432,0.01940,
2276.65839,8.66839,9.71456,0.16025,0.79695,0.01315,16.78210,0.01809,
2276.90839,8.91839,9.99364,0.15674,0.81985,0.01286,16.75025,0.01715,
2277.15839,9.16839,10.08776,0.15973,0.82757,0.01310,16.74079,0.01735,
2277.40839,9.41839,10.56938,0.15945,0.86709,0.01308,16.69072,0.01654,
2277.65839,9.66839,10.26318,0.15651,0.84196,0.01284,16.72087,0.01663,
2277.90839,9.91839,10.91584,0.15879,0.89552,0.01303,16.65693,0.01599,
2278.15839,10.16839,10.81984,0.15759,0.88763,0.01293,16.66524,0.01596,
2278.40839,10.41839,11.08019,0.15908,0.90899,0.01305,16.63894,0.01573,
2278.65839,10.66839,11.23004,0.15858,0.92129,0.01301,16.62395,0.01544,
2278.90839,10.91839,11.53225,0.16485,0.94607,0.01352,16.59453,0.01561,
2279.15340,11.16340,11.51672,0.17125,0.94480,0.01405,16.59654,0.01626,
2279.39664,11.40664,11.53196,0.18871,0.94605,0.01548,16.59468,0.01787,
2279.60794,11.61794,12.05236,0.23149,0.98875,0.01899,16.54716,0.02100,
