BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2255.92514,-14.78486,-0.2824,0.8823,-0.1286,0.4018,20.7022,,
2255.94597,-14.76403,1.1885,0.8694,0.5413,0.3959,19.0597,0.7942,
2255.95292,-14.75708,1.1137,0.8661,0.5072,0.3945,19.1303,0.8444,
2255.95986,-14.75014,0.4590,0.8616,0.2090,0.3924,20.0927,2.0382,
2255.96680,-14.74320,3.4082,0.8577,1.5523,0.3907,17.9159,0.2732,
2255.98069,-14.72931,2.6841,0.8502,1.2225,0.3872,18.1752,0.3439,
2255.98764,-14.72236,1.9537,0.8462,0.8898,0.3854,18.5200,0.4703,
2255.99458,-14.71542,2.1001,0.8430,0.9565,0.3840,18.4416,0.4358,
2256.00153,-14.70847,1.7415,0.8393,0.7932,0.3823,18.6449,0.5233,
2256.00847,-14.70153,0.5016,0.8348,0.2284,0.3802,19.9964,1.8072,
2256.01542,-14.69458,1.6237,0.8324,0.7395,0.3791,18.7209,0.5566,
2256.02236,-14.68764,2.7599,0.8292,1.2570,0.3776,18.1449,0.3262,
2256.02931,-14.68069,-0.2253,0.8249,-0.1026,0.3757,20.7022,,
2256.03625,-14.67375,1.0053,0.8226,0.4578,0.3747,19.2415,0.8885,
2256.04320,-14.66680,1.3789,0.8203,0.6280,0.3736,18.8984,0.6459,
2256.05014,-14.65986,-0.4513,0.8137,-0.2055,0.3706,20.7022,,
2256.05709,-14.65291,-0.5182,0.8164,-0.2360,0.3718,20.7022,,
2256.06403,-14.64597,1.1447,0.8142,0.5213,0.3708,19.1005,0.7723,
2256.07097,-14.63903,-1.6397,0.8085,-0.7468,0.3682,20.7022,,
2256.07792,-14.63208,1.4353,0.8047,0.6537,0.3665,18.8549,0.6087,
2256.08486,-14.62514,-0.4389,0.8042,-0.1999,0.3663,20.7022,,
2256.09181,-14.61819,1.8968,0.8034,0.8639,0.3659,18.5521,0.4598,
2256.09875,-14.61125,-1.0473,0.7994,-0.4770,0.3641,20.7022,,
2256.10570,-14.60430,-0.8415,0.7980,-0.3833,0.3635,20.7022,,
2256.11264,-14.59736,-0.1575,0.7972,-0.0717,0.3631,20.7022,,
2256.11959,-14.59041,0.6286,0.7980,0.2863,0.3635,19.7513,1.3784,
2256.12653,-14.58347,0.6409,0.7965,0.2919,0.3627,19.7302,1.3493,
2256.13348,-14.57652,-0.9910,0.7949,-0.4513,0.3620,20.7022,,
2256.14042,-14.56958,0.6955,0.7951,0.3168,0.3621,19.6414,1.2411,
2256.14737,-14.56263,1.2330,0.7968,0.5616,0.3629,19.0198,0.7016,
2256.15431,-14.55569,2.7212,0.7968,1.2394,0.3629,18.1603,0.3179,
2256.16125,-14.54875,0.2563,0.7953,0.1167,0.3622,20.7022,,
2256.16820,-14.54180,-0.7351,0.7938,-0.3348,0.3615,20.7022,,
2256.17514,-14.53486,1.8309,0.7953,0.8339,0.3622,18.5905,0.4716,
2256.18209,-14.52791,0.8565,0.7944,0.3901,0.3618,19.4154,1.0070,
2256.18903,-14.52097,-1.3059,0.7932,-0.5948,0.3613,20.7022,,
2256.19598,-14.51402,0.8343,0.7947,0.3800,0.3619,19.4439,1.0341,
2256.20292,-14.50708,0.6195,0.7958,0.2821,0.3624,19.7672,1.3948,
2256.20987,-14.50013,0.1056,0.7958,0.0481,0.3625,20.7022,,
2256.21681,-14.49319,1.1127,0.7966,0.5068,0.3628,19.1312,0.7773,
2256.22376,-14.48624,-1.1851,0.7949,-0.5397,0.3620,20.7022,,
2256.23070,-14.47930,1.3161,0.7965,0.5994,0.3628,18.9489,0.6571,
2256.23765,-14.47235,-1.7119,0.7945,-0.7797,0.3619,20.7022,,
2256.24459,-14.46541,-1.0129,0.7949,-0.4613,0.3620,20.7022,,
2256.25154,-14.45846,0.7852,0.7952,0.3576,0.3622,19.5097,1.0995,
2256.25848,-14.45152,-0.1469,0.7948,-0.0669,0.3620,20.7022,,
2256.26542,-14.44458,0.6647,0.7952,0.3027,0.3622,19.6907,1.2989,
2256.27237,-14.43763,-1.2955,0.7955,-0.5900,0.3623,20.7022,,
2256.27931,-14.43069,0.6675,0.7960,0.3040,0.3625,19.6861,1.2948,
2256.28626,-14.42374,0.6761,0.7960,0.3079,0.3625,19.6721,1.2781,
2256.29320,-14.41680,-0.9265,0.7949,-0.4220,0.3621,20.7022,,
2256.30015,-14.40985,0.0323,0.7945,0.0147,0.3619,20.7022,,
2256.30709,-14.40291,-1.5980,0.7937,-0.7278,0.3615,20.7022,,
2256.31404,-14.39596,0.4279,0.7951,0.1949,0.3621,20.1689,2.0174,
2256.32098,-14.38902,-1.5387,0.7957,-0.7008,0.3624,20.7022,,
2256.32793,-14.38207,0.0341,0.7974,0.0155,0.3632,20.7022,,
2256.33487,-14.37513,-0.1584,0.7972,-0.0722,0.3631,20.7022,,
2256.34182,-14.36818,-0.7230,0.7962,-0.3293,0.3626,20.7022,,
2256.34876,-14.36124,-0.0845,0.7941,-0.0385,0.3617,20.7022,,
2256.35571,-14.35429,-0.6215,0.7932,-0.2830,0.3613,20.7022,,
2256.36265,-14.34735,-1.7712,0.7928,-0.8067,0.3611,20.7022,,
2256.36959,-14.34041,1.4745,0.7945,0.6715,0.3619,18.8256,0.5850,
2256.37654,-14.33346,1.7842,0.7945,0.8126,0.3619,18.6186,0.4835,
2256.38348,-14.32652,0.3470,0.7936,0.1580,0.3615,20.3964,2.4833,
2256.39043,-14.31957,-0.2974,0.7937,-0.1354,0.3615,20.7022,,
2256.39737,-14.31263,1.9070,0.7937,0.8685,0.3615,18.5463,0.4519,
2256.40432,-14.30568,0.6730,0.7941,0.3065,0.3617,19.6771,1.2810,
2256.41126,-14.29874,-0.1512,0.7939,-0.0689,0.3616,20.7022,,
2256.41821,-14.29179,-0.9161,0.7949,-0.4173,0.3620,20.7022,,
2256.42515,-14.28485,-0.1477,0.7943,-0.0673,0.3618,20.7022,,
2256.43210,-14.27790,0.1154,0.7935,0.0526,0.3614,20.7022,,
2256.43904,-14.27096,-0.8222,0.7939,-0.3745,0.3616,20.7022,,
2256.44598,-14.26402,-1.9520,0.7928,-0.8890,0.3611,20.7022,,
2256.45293,-14.25707,-0.8472,0.7932,-0.3859,0.3612,20.7022,,
2256.45987,-14.25013,-0.9206,0.7925,-0.4193,0.3610,20.7022,,
2256.46682,-14.24318,1.0243,0.7939,0.4665,0.3616,19.2211,0.8415,
2256.47376,-14.23624,1.8629,0.7939,0.8485,0.3616,18.5717,0.4627,
2256.48071,-14.22929,0.0745,0.7934,0.0339,0.3614,20.7022,,
2256.48765,-14.22235,-0.9033,0.7946,-0.4114,0.3619,20.7022,,
2256.49460,-14.21540,0.3676,0.7937,0.1674,0.3615,20.3339,2.3444,
2256.50154,-14.20846,-0.1649,0.7939,-0.0751,0.3616,20.7022,,
2256.50849,-14.20151,-1.0723,0.7934,-0.4884,0.3613,20.7022,,
2256.51543,-14.19457,0.2347,0.7955,0.1069,0.3623,20.7022,,
2256.52238,-14.18762,0.4412,0.7960,0.2010,0.3625,20.1355,1.9588,
2256.52932,-14.18068,0.7178,0.7958,0.3269,0.3624,19.6072,1.2037,
