BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2272.15801,1.44801,0.05941,0.13249,0.02706,0.06034,20.24187,0.39457,
2272.40801,1.69801,0.37647,0.13249,0.17146,0.06034,19.97503,0.30668,
2272.65801,1.94801,0.12551,0.13252,0.05717,0.06035,20.14237,0.31414,
2272.90801,2.19802,0.48104,0.13252,0.21909,0.06035,19.87652,0.25510,
2273.15801,2.44801,0.68232,0.13246,0.31077,0.06033,19.74749,0.24291,
2273.40802,2.69802,0.70091,0.13239,0.31923,0.06029,19.71056,0.21579,
2273.65454,2.94454,0.61622,0.13432,0.28065,0.06117,19.82384,0.28283,
2273.90597,3.19597,1.01791,0.13638,0.46360,0.06211,19.38527,0.17248,
2274.13619,3.42619,0.77156,0.15027,0.35141,0.06844,19.72216,0.27983,
2274.40802,3.69802,0.39393,0.13228,0.17941,0.06024,20.00592,0.31868,
2274.65802,3.94802,0.58390,0.13236,0.26594,0.06028,19.88091,0.28440,
2274.90802,4.19802,0.60557,0.13235,0.27580,0.06028,19.72738,0.24112,
2275.15802,4.44802,1.02126,0.13243,0.46512,0.06031,19.40691,0.19402,
2275.40801,4.69801,1.25603,0.13255,0.57206,0.06037,19.16850,0.15113,
2275.65801,4.94801,1.10807,0.13247,0.50467,0.06033,19.30829,0.18984,
2275.90801,5.19801,1.09334,0.13239,0.49796,0.06030,19.36479,0.18326,
2276.15801,5.44801,1.42743,0.13229,0.65012,0.06025,19.04630,0.16962,
2276.40801,5.69801,1.39648,0.13240,0.63602,0.06030,19.10584,0.19629,
2276.65801,5.94801,1.27695,0.13221,0.58159,0.06021,19.09627,0.15332,
2276.90801,6.19801,1.44636,0.13208,0.65875,0.06016,19.04265,0.12091,
2277.15801,6.44801,1.53641,0.13209,0.69976,0.06016,19.02334,0.18637,
2277.40801,6.69801,1.73642,0.13213,0.79085,0.06018,18.81198,0.13105,
2277.65800,6.94800,1.94896,0.13215,0.88765,0.06019,18.68753,0.12850,
2277.91148,7.20148,1.73586,0.13050,0.79060,0.05944,18.75599,0.10552,
2278.16494,7.45494,1.95601,0.13204,0.89087,0.06014,18.58504,0.08800,
2278.41494,7.70494,1.85729,0.13200,0.84591,0.06012,18.69015,0.12327,
2278.66494,7.95494,1.68234,0.13201,0.76621,0.06012,18.84930,0.15262,
2278.91494,8.20494,1.99332,0.13226,0.90786,0.06024,18.55570,0.08874,
2279.16081,8.45081,2.00053,0.14040,0.91113,0.06395,18.69323,0.10775,
2279.36516,8.65516,2.11432,0.18732,0.96297,0.08532,18.52582,0.10013,
