BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2282.33533,-0.97467,-0.5991,0.9682,-0.5958,0.9629,20.3404,,
2282.41867,-0.89133,1.9855,0.9594,1.9745,0.9541,18.5025,0.5247,
2282.44645,-0.86355,-1.8643,0.9518,-1.8539,0.9465,20.3404,,
2282.47423,-0.83577,0.1891,0.9451,0.1880,0.9399,20.3404,,
2282.48117,-0.82883,-0.3780,0.9434,-0.3759,0.9382,20.3404,,
2282.49506,-0.81494,-0.5097,0.9398,-0.5069,0.9346,20.3404,,
2282.50200,-0.80800,-0.3642,0.9411,-0.3621,0.9359,20.3404,,
2282.50895,-0.80105,-1.4612,0.9393,-1.4531,0.9340,20.3404,,
2282.51589,-0.79411,0.3865,0.9414,0.3843,0.9362,20.2794,2.6447,
2282.52284,-0.78716,0.6313,0.9349,0.6278,0.9297,19.7465,1.6078,
2282.52978,-0.78022,0.3688,0.9332,0.3668,0.9281,20.3302,2.7473,
2282.53673,-0.77327,-1.6750,0.9314,-1.6657,0.9262,20.3404,,
2282.54367,-0.76633,-0.9585,0.9287,-0.9532,0.9236,20.3404,,
2282.55756,-0.75244,-0.5828,0.9279,-0.5795,0.9227,20.3404,,
2282.56451,-0.74549,0.8783,0.9268,0.8734,0.9216,19.3881,1.1457,
2282.57145,-0.73855,-0.6860,0.9253,-0.6822,0.9201,20.3404,,
2282.57840,-0.73160,-0.7918,0.9242,-0.7874,0.9191,20.3404,,
2282.58534,-0.72466,-0.1723,0.9234,-0.1713,0.9183,20.3404,,
2282.59229,-0.71771,0.0873,0.9231,0.0868,0.9180,20.3404,,
2282.59923,-0.71077,-0.4719,0.9208,-0.4693,0.9157,20.3404,,
2282.60618,-0.70382,0.7595,0.9204,0.7553,0.9153,19.5458,1.3157,
2282.61312,-0.69688,-0.2744,0.9226,-0.2728,0.9175,20.3404,,
2282.62007,-0.68993,2.8922,0.9195,2.8762,0.9144,18.0941,0.3452,
2282.62701,-0.68299,0.6984,0.9158,0.6945,0.9108,19.6369,1.4237,
2282.63395,-0.67605,-3.0137,0.9140,-2.9970,0.9089,20.3404,,
2282.64090,-0.66910,-0.2275,0.9180,-0.2262,0.9129,20.3404,,
2282.64784,-0.66216,0.3259,0.9139,0.3241,0.9089,20.3404,,
2282.65479,-0.65521,-1.3209,0.9124,-1.3136,0.9073,20.3404,,
2282.66173,-0.64827,-0.5242,0.9139,-0.5213,0.9088,20.3404,,
2282.66868,-0.64132,1.3970,0.9106,1.3893,0.9055,18.8842,0.7077,
2282.67562,-0.63438,0.4844,0.9123,0.4817,0.9073,20.0342,2.0450,
2282.68257,-0.62743,1.1002,0.9108,1.0941,0.9057,19.1435,0.8988,
2282.68951,-0.62049,0.0367,0.9083,0.0365,0.9033,20.3404,,
2282.69646,-0.61354,-0.9888,0.9104,-0.9833,0.9054,20.3404,,
2282.70340,-0.60660,-0.5346,0.9101,-0.5316,0.9051,20.3404,,
2282.71035,-0.59965,-0.0762,0.9057,-0.0758,0.9007,20.3404,,
2282.71729,-0.59271,-1.0646,0.9059,-1.0587,0.9009,20.3404,,
2282.72424,-0.58576,-0.8122,0.9053,-0.8077,0.9003,20.3404,,
2282.73118,-0.57882,-0.6082,0.9045,-0.6049,0.8995,20.3404,,
2282.73812,-0.57188,0.8562,0.9016,0.8515,0.8966,19.4158,1.1434,
2282.74507,-0.56493,0.3398,0.9052,0.3379,0.9002,20.3404,,
2282.75201,-0.55799,-0.4128,0.9046,-0.4105,0.8996,20.3404,,
2282.75896,-0.55104,-0.5241,0.9049,-0.5212,0.8999,20.3404,,
2282.76590,-0.54410,-1.1768,0.9031,-1.1702,0.8981,20.3404,,
2282.77285,-0.53715,-0.6274,0.9037,-0.6239,0.8987,20.3404,,
2282.77979,-0.53021,-1.4827,0.9027,-1.4744,0.8977,20.3404,,
2282.78674,-0.52326,-0.5748,0.9028,-0.5716,0.8978,20.3404,,
2282.79368,-0.51632,1.4909,0.9046,1.4826,0.8996,18.8136,0.6588,
2282.80063,-0.50937,-0.6282,0.9016,-0.6247,0.8966,20.3404,,
2282.80757,-0.50243,-0.2492,0.9005,-0.2478,0.8955,20.3404,,
2282.81452,-0.49548,-0.9221,0.8987,-0.9170,0.8937,20.3404,,
2282.82146,-0.48854,-1.6090,0.9006,-1.6001,0.8956,20.3404,,
2282.82841,-0.48159,-2.5795,0.8970,-2.5652,0.8921,20.3404,,
2282.83535,-0.47465,-0.5372,0.9046,-0.5342,0.8996,20.3404,,
2282.84230,-0.46770,0.6940,0.9032,0.6901,0.8982,19.6438,1.4131,
2282.84924,-0.46076,-1.1140,0.8996,-1.1078,0.8946,20.3404,,
2282.85618,-0.45382,-0.8171,0.9014,-0.8126,0.8964,20.3404,,
2282.86313,-0.44687,-1.0275,0.9003,-1.0218,0.8954,20.3404,,
2282.87007,-0.43993,1.1267,0.8986,1.1204,0.8936,19.1177,0.8660,
2282.87702,-0.43298,0.6704,0.9018,0.6667,0.8968,19.6814,1.4605,
2282.88396,-0.42604,-2.1056,0.8977,-2.0939,0.8927,20.3404,,
2282.89091,-0.41909,1.9383,0.8997,1.9276,0.8947,18.5286,0.5040,
2282.89785,-0.41215,-0.5998,0.9023,-0.5965,0.8973,20.3404,,
2282.90480,-0.40520,0.9658,0.9020,0.9604,0.8970,19.2850,1.0141,
2282.91174,-0.39826,0.0477,0.8992,0.0474,0.8942,20.3404,,
2282.91869,-0.39131,-0.7021,0.9003,-0.6982,0.8954,20.3404,,
2282.92563,-0.38437,0.0214,0.9004,0.0213,0.8955,20.3404,,
2282.93258,-0.37742,-0.5480,0.8986,-0.5449,0.8936,20.3404,,
2282.93952,-0.37048,0.5729,0.9015,0.5697,0.8965,19.8521,1.7087,
2282.94647,-0.36353,-1.7179,0.8967,-1.7084,0.8917,20.3404,,
2282.95341,-0.35659,0.6908,0.8990,0.6870,0.8940,19.6488,1.4129,
2282.96036,-0.34964,-1.0143,0.8977,-1.0086,0.8927,20.3404,,
2282.96730,-0.34270,-0.6590,0.9014,-0.6553,0.8964,20.3404,,
2282.97424,-0.33576,-0.6748,0.8961,-0.6711,0.8911,20.3404,,
2282.98119,-0.32881,-0.8311,0.8961,-0.8264,0.8911,20.3404,,
2282.98813,-0.32187,-0.9856,0.8973,-0.9801,0.8924,20.3404,,
2282.99508,-0.31492,-0.7699,0.9002,-0.7656,0.8952,20.3404,,
