BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2282.71051,-7.54949,0.8261,0.7971,0.2339,0.2257,19.2501,,
2282.71746,-7.54254,0.5697,0.8034,0.1613,0.2274,19.2501,,
2282.72440,-7.53560,-0.6051,0.8025,-0.1713,0.2272,19.2501,,
2282.73135,-7.52865,-0.0202,0.8043,-0.0057,0.2277,19.2501,,
2282.73829,-7.52171,-1.4803,0.8034,-0.4191,0.2274,19.2501,,
2282.74524,-7.51476,-0.3658,0.7974,-0.1036,0.2257,19.2501,,
2282.75218,-7.50782,-0.9048,0.8002,-0.2561,0.2265,19.2501,,
2282.75912,-7.50088,-1.0973,0.8028,-0.3106,0.2273,19.2501,,
2282.76607,-7.49393,-0.9020,0.8012,-0.2554,0.2268,19.2501,,
2282.77301,-7.48699,-1.2159,0.8129,-0.3442,0.2301,19.2501,,
2282.77996,-7.48004,0.1569,0.7997,0.0444,0.2264,19.2501,,
2282.78690,-7.47310,-0.8744,0.8173,-0.2475,0.2314,19.2501,,
2282.79385,-7.46615,-0.6776,0.7988,-0.1918,0.2261,19.2501,,
2282.80079,-7.45921,-0.6980,0.7925,-0.1976,0.2243,19.2501,,
2282.80774,-7.45226,-0.0436,0.8096,-0.0124,0.2292,19.2501,,
2282.81468,-7.44532,0.9611,0.8748,0.2721,0.2477,19.2501,,
2282.82162,-7.43838,-0.7486,0.8115,-0.2119,0.2297,19.2501,,
2282.82857,-7.43143,-0.8465,0.7921,-0.2396,0.2242,19.2501,,
2282.83551,-7.42449,-0.4677,0.7791,-0.1324,0.2206,19.2501,,
2282.84246,-7.41754,-0.0930,0.7767,-0.0263,0.2199,19.2501,,
2282.84940,-7.41060,-0.2551,0.7746,-0.0722,0.2193,19.2501,,
2282.85635,-7.40365,-0.2446,0.7891,-0.0692,0.2234,19.2501,,
2282.86329,-7.39671,1.1813,0.7787,0.3344,0.2205,19.0663,0.7158,
2282.87024,-7.38976,0.2211,0.7726,0.0626,0.2187,19.2501,,
2282.87718,-7.38282,-0.1304,0.8551,-0.0369,0.2421,19.2501,,
2282.88413,-7.37587,-1.3345,0.7831,-0.3778,0.2217,19.2501,,
2282.89107,-7.36893,-0.2064,0.7865,-0.0584,0.2226,19.2501,,
2282.89801,-7.36199,-1.3612,0.7888,-0.3853,0.2233,19.2501,,
2282.90496,-7.35504,-0.8507,0.7832,-0.2408,0.2217,19.2501,,
2282.91190,-7.34810,-0.7555,0.7799,-0.2139,0.2208,19.2501,,
2282.91885,-7.34115,-1.6257,0.7927,-0.4602,0.2244,19.2501,,
2282.92579,-7.33421,-0.2197,0.7806,-0.0622,0.2210,19.2501,,
2282.93274,-7.32726,1.3330,0.7987,0.3774,0.2261,18.9351,0.6506,
2282.93968,-7.32032,0.6541,0.7887,0.1852,0.2233,19.2501,,
2282.94663,-7.31337,-1.2001,0.7881,-0.3397,0.2231,19.2501,,
2282.95357,-7.30643,-1.0933,0.7943,-0.3095,0.2249,19.2501,,
2282.96051,-7.29949,0.0356,0.7834,0.0101,0.2218,19.2501,,
2282.96746,-7.29254,-0.8174,0.7875,-0.2314,0.2229,19.2501,,
2282.97440,-7.28560,-1.1679,0.8032,-0.3306,0.2274,19.2501,,
2282.98135,-7.27865,0.2154,0.7984,0.0610,0.2260,19.2501,,
2282.98829,-7.27171,0.4430,0.8029,0.1254,0.2273,19.2501,,
2282.99524,-7.26476,-0.5901,0.7961,-0.1671,0.2254,19.2501,,
2283.00218,-7.25782,-0.2032,0.7883,-0.0575,0.2232,19.2501,,
2283.00913,-7.25087,-0.4868,0.7898,-0.1378,0.2236,19.2501,,
2283.01607,-7.24393,-1.6064,0.7942,-0.4548,0.2248,19.2501,,
2283.02302,-7.23698,-0.1743,0.7946,-0.0493,0.2249,19.2501,,
2283.02996,-7.23004,0.5560,0.7961,0.1574,0.2254,19.2501,,
2283.03690,-7.22310,-1.2513,0.7930,-0.3542,0.2245,19.2501,,
2283.04385,-7.21615,0.2458,0.8004,0.0696,0.2266,19.2501,,
2283.05079,-7.20921,-0.5147,0.7856,-0.1457,0.2224,19.2501,,
2283.05774,-7.20226,-0.8625,0.8007,-0.2442,0.2267,19.2501,,
2283.06468,-7.19532,-1.2537,0.7953,-0.3549,0.2251,19.2501,,
2283.07163,-7.18837,-0.9512,0.7813,-0.2693,0.2212,19.2501,,
2283.07857,-7.18143,-1.9452,0.7932,-0.5507,0.2245,19.2501,,
2283.08552,-7.17448,-0.1341,0.7758,-0.0379,0.2196,19.2501,,
2283.09246,-7.16754,-1.0490,0.7852,-0.2969,0.2223,19.2501,,
2283.09940,-7.16060,-0.0697,0.8115,-0.0197,0.2297,19.2501,,
2283.10635,-7.15365,-1.7331,0.7777,-0.4906,0.2202,19.2501,,
2283.11329,-7.14671,-0.0150,0.7806,-0.0042,0.2210,19.2501,,
2283.12024,-7.13976,-1.0071,0.7922,-0.2851,0.2243,19.2501,,
