BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2290.39107,0.13107,0.30520,0.15035,0.08640,0.04256,19.16256,0.26075,
2290.64455,0.38454,0.81580,0.15369,0.23095,0.04351,19.00245,0.16150,
2290.89454,0.63454,0.91591,0.15801,0.25928,0.04473,18.96747,0.15982,
2291.14186,0.88186,1.14606,0.16265,0.32443,0.04605,18.90596,0.14513,
2291.39454,1.13454,1.30509,0.15925,0.36946,0.04508,18.84821,0.13407,
2291.64305,1.38305,1.64338,0.16129,0.46523,0.04566,18.70362,0.11417,
2291.89453,1.63453,2.03242,0.15978,0.57536,0.04523,18.54887,0.09700,
2292.14453,1.88453,2.07878,0.15921,0.58849,0.04507,18.49980,0.09173,
2292.38035,2.12035,1.98319,0.19534,0.56142,0.05530,18.56003,0.12487,
2292.66162,2.40162,2.13262,0.19011,0.60374,0.05382,18.49659,0.11591,
2292.81119,2.55119,2.67188,0.28072,0.75638,0.07947,18.26165,0.12587,
2295.96739,5.70739,3.35738,0.23926,0.95045,0.06773,17.96018,0.08348,
2296.14447,5.88447,3.35169,0.15382,0.94883,0.04354,17.97397,0.05598,
2296.39446,6.13446,3.43068,0.15477,0.97119,0.04381,17.94320,0.05493,
2296.64446,6.38446,3.05037,0.15730,0.86353,0.04453,18.08485,0.06173,
2296.89446,6.63446,2.83472,0.15680,0.80249,0.04439,18.18572,0.07134,
2297.14445,6.88445,3.12747,0.15874,0.88536,0.04494,18.06824,0.06626,
2297.39445,7.13445,3.20851,0.16027,0.90830,0.04537,18.03251,0.06011,
2297.60625,7.34625,3.39540,0.19220,0.96122,0.05441,17.96108,0.06926,
