BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2285.12621,0.12621,-0.58156,0.17316,-0.46489,0.13842,19.34484,0.76000,
2285.37621,0.37621,0.69382,0.17457,0.55463,0.13955,19.13675,0.21280,
2285.62750,0.62750,-0.13395,0.17830,-0.10707,0.14253,19.30770,0.43775,
2285.87621,0.87621,0.51820,0.17554,0.41423,0.14032,19.17632,0.23656,
2286.12622,1.12622,-0.21796,0.17498,-0.17423,0.13988,19.31102,0.42775,
2286.37612,1.37612,0.64346,0.17800,0.51437,0.14229,19.05150,0.18625,
2286.62622,1.62622,0.24747,0.17652,0.19782,0.14111,19.28500,0.36488,
2286.89047,1.89047,0.40328,0.19406,0.32238,0.15512,19.13876,0.23225,
2287.12623,2.12623,0.58885,0.17311,0.47072,0.13838,19.24280,0.27922,
2287.37335,2.37335,0.18477,0.17486,0.14770,0.13978,19.25949,0.30733,
2287.62623,2.62623,1.02821,0.17498,0.82194,0.13987,18.98418,0.16191,
2287.87623,2.87623,-0.02180,0.17422,-0.01744,0.13926,19.30160,0.40157,
2288.12623,3.12623,1.11504,0.17425,0.89133,0.13929,18.96066,0.16118,
2288.37624,3.37624,0.19076,0.17325,0.15249,0.13849,19.24678,0.29969,
2288.62624,3.62624,0.99392,0.17443,0.79452,0.13943,18.95969,0.15926,
2288.87624,3.87624,0.38939,0.17411,0.31127,0.13918,19.23737,0.29720,
2289.12624,4.12624,0.86020,0.17513,0.68762,0.13999,19.04799,0.18500,
2289.37624,4.37624,0.47498,0.17383,0.37968,0.13896,19.24086,0.28263,
2289.62625,4.62625,0.84954,0.17367,0.67909,0.13883,19.00434,0.17453,
2289.87625,4.87625,0.77051,0.17468,0.61593,0.13963,19.10198,0.19901,
2290.12625,5.12625,0.63785,0.17407,0.50989,0.13915,19.10768,0.20725,
2290.37625,5.37625,1.20053,0.17432,0.95967,0.13934,18.97219,0.17110,
2290.62625,5.62625,0.21054,0.17466,0.16831,0.13962,19.26608,0.33332,
2290.87625,5.87625,1.26775,0.17501,1.01341,0.13990,18.87300,0.14838,
2291.12318,6.12318,0.10247,0.17724,0.08192,0.14169,19.27041,0.32510,
2291.37626,6.37626,1.19907,0.17629,0.95851,0.14092,18.91681,0.15425,
2291.62437,6.62437,0.63500,0.17764,0.50762,0.14200,19.23335,0.27091,
2291.87626,6.87626,1.30750,0.17542,1.04519,0.14023,18.83732,0.13518,
2292.11353,7.11353,0.67490,0.19220,0.53950,0.15364,19.15439,0.24875,
2292.33483,7.33483,0.61198,0.27159,0.48921,0.21710,19.13360,0.31806,
2292.67927,7.67927,0.77495,0.27162,0.61947,0.21712,19.14705,0.34164,
2292.79988,7.79988,0.17003,0.28119,0.13591,0.22478,19.24919,0.52010,
2294.68661,9.68661,1.24101,0.49059,0.99204,0.39217,18.84067,0.39463,
2294.91795,9.91795,0.29618,0.34292,0.23675,0.27412,19.07162,0.33518,
2295.12628,10.12628,1.18573,0.23851,0.94786,0.19066,18.91723,0.21695,
2295.37628,10.37628,0.63300,0.20431,0.50601,0.16332,19.13270,0.24530,
2295.62628,10.62628,1.31455,0.18864,1.05082,0.15080,18.84001,0.15686,
2295.87629,10.87629,1.36857,0.17777,1.09401,0.14210,18.88618,0.14872,
2296.12629,11.12629,1.34196,0.17389,1.07274,0.13900,18.85802,0.15090,
2296.37629,11.37629,1.71791,0.17490,1.37325,0.13981,18.72764,0.13086,
2296.62629,11.62629,1.01444,0.17524,0.81091,0.14008,19.10565,0.20752,
2296.87629,11.87629,2.15788,0.17497,1.72496,0.13986,18.47471,0.09674,
2297.12630,12.12630,0.80678,0.17489,0.64492,0.13980,19.14050,0.21899,
2297.37630,12.37630,1.84986,0.17542,1.47874,0.14023,18.64180,0.11748,
2297.62630,12.62630,0.82033,0.17546,0.65576,0.14026,19.14143,0.21506,
2297.87630,12.87630,1.76461,0.17622,1.41059,0.14087,18.68148,0.12647,
2298.12630,13.12630,0.86954,0.17523,0.69509,0.14008,19.08681,0.19120,
2298.37630,13.37630,1.46385,0.17515,1.17017,0.14001,18.80181,0.14360,
2298.62630,13.62630,1.15395,0.17486,0.92244,0.13978,18.96872,0.16173,
2298.87131,13.87131,1.06712,0.18586,0.85302,0.14857,18.87588,0.15229,
2299.09737,14.09737,1.29394,0.23176,1.03435,0.18527,18.92064,0.21311,
