BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2281.78006,-14.22994,0.3628,1.4491,0.2186,0.8731,20.3480,4.3366,
2281.78701,-14.22299,-2.1725,1.4998,-1.3091,0.9037,20.5091,,
2281.79395,-14.21605,0.4040,1.5085,0.2434,0.9090,20.2314,4.0546,
2281.80090,-14.20910,-0.8008,1.4742,-0.4825,0.8883,20.5091,,
2281.80784,-14.20216,-0.0994,1.4590,-0.0599,0.8791,20.5091,,
2281.81479,-14.19521,-1.4933,1.4570,-0.8998,0.8779,20.5091,,
2281.84951,-14.16049,0.3915,1.4934,0.2359,0.8999,20.2655,4.1421,
2281.85645,-14.15355,0.5158,1.4060,0.3108,0.8472,19.9660,2.9598,
2281.87034,-14.13966,0.8702,1.4534,0.5243,0.8757,19.3982,1.8134,
2281.87729,-14.13271,0.0132,1.4295,0.0080,0.8614,20.5091,,
2281.88423,-14.12577,1.8120,1.4233,1.0918,0.8576,18.6018,0.8528,
2281.89118,-14.11882,0.6198,1.3816,0.3735,0.8325,19.7665,2.4201,
2281.89812,-14.11188,-0.5941,1.3953,-0.3580,0.8407,20.5091,,
2281.90507,-14.10493,-0.8166,1.3714,-0.4921,0.8263,20.5091,,
2281.91201,-14.09799,-1.7757,1.3659,-1.0699,0.8230,20.5091,,
2281.91896,-14.09104,1.0574,1.3440,0.6371,0.8098,19.1866,1.3801,
2281.92590,-14.08410,-0.1755,1.2645,-0.1057,0.7619,20.5091,,
2281.93284,-14.07716,-1.1464,1.3142,-0.6907,0.7919,20.5091,,
2281.93979,-14.07021,-1.3512,1.2746,-0.8142,0.7680,20.5091,,
2281.94673,-14.06327,0.4786,1.3024,0.2884,0.7847,20.0472,2.9543,
2281.95368,-14.05632,1.6989,1.2916,1.0237,0.7783,18.6718,0.8254,
2281.96062,-14.04938,-0.5176,1.2727,-0.3119,0.7668,20.5091,,
2281.96757,-14.04243,-1.4026,1.2728,-0.8451,0.7669,20.5091,,
2281.97451,-14.03549,0.7414,1.2332,0.4468,0.7430,19.5720,1.8058,
2281.98146,-14.02854,-0.4878,1.2481,-0.2939,0.7520,20.5091,,
2281.98840,-14.02160,2.0923,1.2473,1.2607,0.7516,18.4457,0.6473,
2281.99535,-14.01465,0.7020,1.2361,0.4230,0.7448,19.6314,1.9118,
2282.00229,-14.00771,-0.7789,1.2297,-0.4693,0.7409,20.5091,,
2282.00924,-14.00076,-2.6309,1.2283,-1.5852,0.7401,20.5091,,
2282.01618,-13.99382,-2.0373,1.2157,-1.2276,0.7325,20.5091,,
2282.02312,-13.98688,0.9181,1.2106,0.5532,0.7294,19.3400,1.4316,
2282.03007,-13.97993,2.3095,1.1991,1.3916,0.7225,18.3384,0.5637,
2282.03701,-13.97299,-0.7571,1.1895,-0.4562,0.7167,20.5091,,
2282.04396,-13.96604,-0.0585,1.1719,-0.0352,0.7061,20.5091,,
2282.05090,-13.95910,-0.2288,1.1763,-0.1379,0.7088,20.5091,,
2282.05785,-13.95215,1.0648,1.1781,0.6416,0.7098,19.1791,1.2013,
2282.06479,-13.94521,-0.4996,1.1740,-0.3011,0.7074,20.5091,,
2282.07174,-13.93826,-0.3865,1.1629,-0.2329,0.7007,20.5091,,
2282.07868,-13.93132,0.6422,1.1520,0.3870,0.6941,19.7280,1.9475,
2282.08563,-13.92437,0.9004,1.1493,0.5425,0.6925,19.3611,1.3859,
2282.09257,-13.91743,1.4661,1.1487,0.8834,0.6921,18.8318,0.8507,
2282.09952,-13.91048,-0.0261,1.1396,-0.0157,0.6867,20.5091,,
2282.10646,-13.90354,0.5850,1.1568,0.3525,0.6970,19.8292,2.1469,
2282.11340,-13.89660,-0.6195,1.0654,-0.3733,0.6419,20.5091,,
2282.12035,-13.88965,0.7135,1.1328,0.4299,0.6826,19.6137,1.7237,
2282.12729,-13.88271,-0.0677,1.0675,-0.0408,0.6432,20.5091,,
2282.13424,-13.87576,-0.7738,1.1414,-0.4662,0.6878,20.5091,,
2282.14118,-13.86882,0.4742,1.0487,0.2857,0.6319,20.0573,2.4012,
2282.14813,-13.86187,0.1451,1.0418,0.0874,0.6277,20.5091,,
2282.15507,-13.85493,0.0150,1.1118,0.0091,0.6699,20.5091,,
2282.16202,-13.84798,1.3127,1.0288,0.7909,0.6199,18.9518,0.8509,
2282.16896,-13.84104,0.5519,1.0300,0.3325,0.6206,19.8925,2.0262,
2282.17591,-13.83409,-1.7167,1.0185,-1.0344,0.6137,20.5091,,
2282.18285,-13.82715,1.3777,1.0218,0.8301,0.6157,18.8993,0.8053,
2282.18980,-13.82020,0.1279,1.0859,0.0771,0.6543,20.5091,,
2282.19674,-13.81326,0.7284,1.0842,0.4389,0.6533,19.5913,1.6161,
2282.20368,-13.80632,2.2987,1.0714,1.3851,0.6456,18.3435,0.5061,
2282.21063,-13.79937,0.3794,1.0704,0.2286,0.6450,20.2995,3.0634,
2282.21757,-13.79243,-0.1981,1.0665,-0.1194,0.6426,20.5091,,
2282.22452,-13.78548,-0.2163,0.9964,-0.1303,0.6004,20.5091,,
2282.23146,-13.77854,-0.6350,1.0599,-0.3826,0.6386,20.5091,,
2282.23841,-13.77159,0.5602,1.0527,0.3375,0.6343,19.8764,2.0405,
