BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2296.13788,0.12788,0.26797,0.15987,0.16146,0.09633,20.01490,0.40172,
2296.39135,0.38135,-0.10987,0.15665,-0.06620,0.09439,20.17790,0.36809,
2296.64135,0.63135,0.17497,0.16364,0.10543,0.09860,20.00279,0.37955,
2296.88788,0.87788,0.16102,0.16147,0.09702,0.09730,20.04630,0.44212,
2297.13788,1.12788,-0.01466,0.16300,-0.00884,0.09821,20.12579,0.45641,
2297.38788,1.37788,0.33383,0.16387,0.20114,0.09874,19.80457,0.29864,
2297.63788,1.62788,0.55209,0.16297,0.33267,0.09820,19.73934,0.29048,
2297.89135,1.88135,0.20239,0.15720,0.12195,0.09472,19.94841,0.36956,
2298.14135,2.13135,0.34426,0.16039,0.20743,0.09664,19.82825,0.29832,
2298.38788,2.37788,0.01509,0.16073,0.00910,0.09684,20.10014,0.32550,
2298.63788,2.62788,0.48543,0.16237,0.29249,0.09783,19.82504,0.34043,
2298.88375,2.87375,0.16132,0.16678,0.09719,0.10049,20.16047,0.50457,
2299.12607,3.11607,0.29803,0.19160,0.17957,0.11545,19.93987,0.42756,
2299.39504,3.38504,0.23167,0.16866,0.13960,0.10162,20.05180,0.42347,
2299.51635,3.50635,2.60370,0.97500,1.56880,0.58750,18.20820,0.40660,
2299.93996,3.92996,0.21281,0.20610,0.12822,0.12418,20.02675,0.52365,
2300.14135,4.13135,0.52366,0.15811,0.31553,0.09527,19.83940,0.32982,
2300.39482,4.38482,0.42441,0.15775,0.25573,0.09505,19.89784,0.36515,
2300.64481,4.63481,0.63191,0.15799,0.38076,0.09519,19.61278,0.23801,
2300.89481,4.88481,0.68250,0.15802,0.41124,0.09521,19.68107,0.27712,
2301.14481,5.13481,0.49097,0.15548,0.29583,0.09369,19.81178,0.30973,
2301.39481,5.38481,0.68674,0.15927,0.41379,0.09596,19.69171,0.31874,
2301.64481,5.63481,0.71391,0.15460,0.43016,0.09315,19.64264,0.28203,
2301.89481,5.88481,0.62370,0.15691,0.37581,0.09455,19.71820,0.30530,
2302.14480,6.13480,0.75561,0.16092,0.45529,0.09696,19.57952,0.25572,
2302.39480,6.38480,0.88033,0.15748,0.53044,0.09489,19.51862,0.25759,
2302.64480,6.63480,0.86963,0.15487,0.52400,0.09331,19.45792,0.25290,
2302.89480,6.88480,1.16385,0.15375,0.70127,0.09264,19.25053,0.17076,
2303.14479,7.13479,1.04553,0.15481,0.62998,0.09328,19.33944,0.21852,
2303.39648,7.38648,1.12118,0.16157,0.67556,0.09735,19.27552,0.21676,
2303.64479,7.63479,1.30379,0.15965,0.78560,0.09619,19.05293,0.16113,
2303.88952,7.87952,1.23732,0.17022,0.74554,0.10257,19.13155,0.19872,
2304.14478,8.13478,1.33669,0.15541,0.80542,0.09365,19.18412,0.22258,
2304.38983,8.37983,1.41037,0.15650,0.84981,0.09430,19.02766,0.15999,
2304.65639,8.64639,1.62846,0.16481,0.98121,0.09930,18.84352,0.15087,
2304.87949,8.86949,1.46266,0.19962,0.88132,0.12028,18.99758,0.18676,
2305.06630,9.05630,0.84642,0.39659,0.50998,0.23896,19.26402,0.40017,
