BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2281.80714,-17.34286,-1.4509,1.3422,-2.7924,2.5831,20.3560,,
2281.82797,-17.32203,0.4216,1.3087,0.8114,2.5187,20.1850,3.3704,
2281.84186,-17.30814,-0.3899,1.2711,-0.7504,2.4464,20.3560,,
2281.84881,-17.30119,-0.3766,1.2744,-0.7247,2.4526,20.3560,,
2281.86269,-17.28731,0.2731,1.2717,0.5256,2.4475,20.3560,,
2281.86964,-17.28036,1.1575,1.2676,2.2277,2.4396,19.0884,1.1890,
2281.87658,-17.27342,0.4674,1.2708,0.8995,2.4459,20.0730,2.9522,
2281.88353,-17.26647,0.7138,1.2606,1.3738,2.4262,19.6132,1.9174,
2281.89047,-17.25953,-0.0663,1.2408,-0.1275,2.3880,20.3560,,
2281.89742,-17.25258,0.6556,1.2324,1.2617,2.3718,19.7057,2.0411,
2281.90436,-17.24564,-2.5803,1.2283,-4.9660,2.3639,20.3560,,
2281.91131,-17.23869,-0.5486,1.2065,-1.0558,2.3220,20.3560,,
2281.91825,-17.23175,-1.3170,1.1886,-2.5347,2.2876,20.3560,,
2281.93214,-17.21786,-0.2185,1.1771,-0.4206,2.2654,20.3560,,
2281.94603,-17.20397,-0.4971,1.1626,-0.9567,2.2375,20.3560,,
2281.95297,-17.19703,0.2255,1.1613,0.4339,2.2350,20.3560,,
2281.95992,-17.19008,-0.0807,1.1433,-0.1553,2.2004,20.3560,,
2281.96686,-17.18314,0.1733,1.1476,0.3335,2.2087,20.3560,,
2281.97381,-17.17619,1.0966,1.1465,2.1105,2.2064,19.1471,1.1351,
2281.98075,-17.16925,0.1606,1.1424,0.3092,2.1987,20.3560,,
2281.98769,-17.16231,0.7412,1.1278,1.4265,2.1705,19.5724,1.6520,
2281.99464,-17.15536,0.9642,1.1174,1.8556,2.1505,19.2868,1.2583,
2282.00158,-17.14842,1.0580,1.1115,2.0362,2.1392,19.1860,1.1407,
2282.00853,-17.14147,0.2668,1.0905,0.5135,2.0987,20.3560,,
2282.01547,-17.13453,1.0718,1.0910,2.0628,2.0997,19.1719,1.1052,
2282.02242,-17.12758,0.2878,1.0843,0.5538,2.0868,20.3560,,
2282.02936,-17.12064,1.7069,1.0847,3.2852,2.0875,18.6666,0.6899,
2282.03631,-17.11369,0.2902,1.0731,0.5586,2.0653,20.3560,,
2282.04325,-17.10675,0.4610,1.0653,0.8872,2.0503,20.0880,2.5091,
2282.05019,-17.09981,0.6921,1.0641,1.3320,2.0480,19.6468,1.6694,
2282.05714,-17.09286,0.7466,1.0453,1.4370,2.0117,19.5644,1.5200,
2282.06408,-17.08592,-0.6335,1.0484,-1.2192,2.0178,20.3560,,
2282.07103,-17.07897,-0.0341,1.0482,-0.0657,2.0173,20.3560,,
2282.07797,-17.07203,-2.0643,1.0385,-3.9729,1.9986,20.3560,,
2282.08492,-17.06508,0.8515,0.9882,1.6388,1.9020,19.4217,1.2601,
2282.09186,-17.05814,-1.6149,1.0189,-3.1080,1.9609,20.3560,,
2282.09881,-17.05119,-0.6264,0.9772,-1.2056,1.8808,20.3560,,
2282.10575,-17.04425,-0.6868,0.9970,-1.3218,1.9188,20.3560,,
2282.11269,-17.03731,-1.2668,0.9647,-2.4381,1.8567,20.3560,,
2282.11964,-17.03036,-0.9033,0.9914,-1.7384,1.9081,20.3560,,
2282.12658,-17.02342,-0.4905,0.9609,-0.9439,1.8493,20.3560,,
2282.13353,-17.01647,0.6953,0.9520,1.3382,1.8322,19.6417,1.4865,
2282.14047,-17.00953,0.0721,0.9424,0.1389,1.8138,20.3560,,
2282.14742,-17.00258,0.0280,0.9367,0.0539,1.8027,20.3560,,
2282.15436,-16.99564,1.7003,0.9291,3.2724,1.7882,18.6709,0.5933,
2282.16131,-16.98869,-0.1566,0.9512,-0.3014,1.8306,20.3560,,
2282.16825,-16.98175,0.1739,0.9263,0.3347,1.7827,20.3560,,
2282.17519,-16.97481,0.4332,0.9196,0.8338,1.7698,20.1554,2.3046,
2282.18214,-16.96786,0.1593,0.9103,0.3066,1.7519,20.3560,,
2282.18908,-16.96092,-0.8425,0.9031,-1.6216,1.7380,20.3560,,
2282.19603,-16.95397,0.5580,0.9086,1.0739,1.7487,19.8806,1.7680,
2282.20297,-16.94703,1.4436,0.9100,2.7783,1.7513,18.8486,0.6844,
2282.20992,-16.94008,-1.7070,0.9048,-3.2853,1.7414,20.3560,,
2282.22381,-16.92619,-0.2871,0.8952,-0.5525,1.7229,20.3560,,
2282.23075,-16.91925,0.5094,0.8982,0.9804,1.7287,19.9795,1.9143,
2282.23769,-16.91231,0.8619,0.9066,1.6588,1.7449,19.4086,1.1421,
2282.24464,-16.90536,1.2201,0.8951,2.3482,1.7226,19.0312,0.7965,
2282.25158,-16.89842,0.4308,0.8906,0.8290,1.7140,20.1616,2.2447,
2282.25853,-16.89147,-0.1143,0.9213,-0.2200,1.7731,20.3560,,
2282.26547,-16.88453,1.4769,0.9253,2.8425,1.7807,18.8238,0.6802,
2282.27242,-16.87758,0.7859,0.9164,1.5126,1.7637,19.5087,1.2660,
2282.27936,-16.87064,-0.1484,0.9148,-0.2856,1.7606,20.3560,,
2282.28631,-16.86369,0.6638,0.9188,1.2776,1.7684,19.6921,1.5029,
