BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2285.70726,0.12726,0.17931,0.16630,0.07338,0.06806,19.59129,0.32998,
2285.95726,0.37726,0.57221,0.16651,0.23419,0.06815,19.36597,0.20834,
2286.20726,0.62726,0.50644,0.16654,0.20727,0.06816,19.41255,0.23361,
2286.45935,0.87935,0.60236,0.16912,0.24652,0.06921,19.43443,0.24309,
2286.68991,1.10991,0.64937,0.17994,0.26577,0.07364,19.36633,0.24113,
2286.96422,1.38422,0.98979,0.17200,0.40509,0.07039,19.11163,0.17537,
2287.20728,1.62728,0.91454,0.16711,0.37429,0.06839,19.21969,0.18598,
2287.45728,1.87728,0.97800,0.16702,0.40026,0.06836,19.19153,0.17041,
2287.70728,2.12728,1.00375,0.16706,0.41080,0.06837,19.15205,0.18472,
2287.95728,2.37728,0.48708,0.16713,0.19934,0.06840,19.38767,0.22940,
2288.20729,2.62729,0.61607,0.16716,0.25214,0.06841,19.39997,0.23394,
2288.45729,2.87729,0.59207,0.16721,0.24232,0.06844,19.40292,0.24209,
2288.70729,3.12729,0.83096,0.16723,0.34008,0.06844,19.23324,0.19137,
2288.95729,3.37729,1.08065,0.16729,0.44228,0.06847,19.10062,0.16793,
2289.20729,3.62729,1.18330,0.16747,0.48429,0.06854,19.08557,0.16673,
2289.45729,3.87730,1.12158,0.16756,0.45903,0.06858,19.05205,0.15563,
2289.70730,4.12730,1.49775,0.16760,0.61299,0.06859,18.88555,0.13228,
2289.95730,4.37730,1.26776,0.16755,0.51886,0.06857,19.03942,0.16831,
2290.20730,4.62730,1.25057,0.16760,0.51182,0.06859,19.08074,0.17980,
2290.45730,4.87730,1.29579,0.16758,0.53033,0.06858,19.00317,0.15589,
2290.70730,5.12730,1.39574,0.16760,0.57123,0.06859,18.96793,0.15574,
2290.95730,5.37730,1.47307,0.16764,0.60288,0.06861,18.84810,0.12430,
2291.20641,5.62641,1.68073,0.17011,0.68787,0.06962,18.79509,0.14903,
2291.45730,5.87730,1.59491,0.16790,0.65274,0.06872,18.81270,0.12964,
2291.70760,6.12760,1.76679,0.17037,0.72309,0.06973,18.73841,0.12952,
2291.95730,6.37730,1.81594,0.16808,0.74320,0.06879,18.70948,0.12909,
2292.20531,6.62531,1.83569,0.17560,0.75129,0.07187,18.68935,0.12196,
2292.42018,6.84018,1.75918,0.27988,0.71998,0.11454,18.67160,0.17224,
2292.74579,7.16579,1.65678,0.20571,0.67807,0.08419,18.81680,0.17717,
2292.84272,7.26272,2.24300,0.58164,0.91797,0.23806,18.61337,0.48546,
2295.48481,9.90482,5.39706,0.21056,2.20885,0.08617,17.42753,0.04365,
2295.70728,10.12728,4.52032,0.17710,1.85003,0.07248,17.65664,0.04911,
2295.95728,10.37728,2.15978,0.16864,0.88393,0.06902,18.48035,0.10366,
2296.20728,10.62728,2.18298,0.16772,0.89343,0.06864,18.47409,0.10191,
2296.45728,10.87728,2.29766,0.16776,0.94036,0.06866,18.50061,0.10572,
2296.70728,11.12728,2.47064,0.16770,1.01115,0.06863,18.35437,0.09285,
2296.95728,11.37728,2.52470,0.16760,1.03327,0.06859,18.32925,0.09388,
2297.20728,11.62728,1.91557,0.16744,0.78398,0.06853,18.64949,0.11914,
2297.45728,11.87728,2.11714,0.16738,0.86648,0.06851,18.57155,0.10348,
2297.70727,12.12727,2.41727,0.16736,0.98931,0.06850,18.35324,0.09204,
2297.95727,12.37727,2.59168,0.16732,1.06070,0.06848,18.31271,0.10458,
2298.20727,12.62727,1.96818,0.16718,0.80551,0.06842,18.64131,0.12683,
2298.45727,12.87727,2.06677,0.16703,0.84586,0.06836,18.55869,0.10998,
2298.70727,13.12727,2.27749,0.16694,0.93211,0.06833,18.45269,0.10426,
2298.95548,13.37548,1.91148,0.17429,0.78230,0.07133,18.64587,0.12535,
2299.21639,13.63639,2.07640,0.19264,0.84980,0.07884,18.56691,0.14382,
2299.44706,13.86706,2.21645,0.17692,0.90712,0.07241,18.47927,0.10825,
2299.60309,14.02309,1.81095,0.70774,0.74115,0.28967,18.60580,0.42826,
