BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2308.01602,-3.86398,-1.0311,1.3318,-0.8564,1.1060,19.2681,,
2308.05074,-3.82926,-0.5788,1.4529,-0.4807,1.2066,19.2681,,
2308.06463,-3.81537,-1.1640,1.3051,-0.9667,1.0838,19.2681,,
2308.07852,-3.80148,3.7534,1.3278,3.1172,1.1027,17.8111,0.3841,
2308.09241,-3.78759,-0.2176,1.2663,-0.1807,1.0517,19.2681,,
2308.12019,-3.75981,-1.0570,1.2741,-0.8779,1.0581,19.2681,,
2308.12713,-3.75287,-0.1772,1.5201,-0.1472,1.2625,19.2681,,
2308.14102,-3.73898,0.5015,1.2612,0.4165,1.0474,19.2681,,
2308.15491,-3.72509,-0.1617,1.4517,-0.1343,1.2056,19.2681,,
2308.16185,-3.71815,-1.2577,1.4295,-1.0445,1.1872,19.2681,,
2308.16880,-3.71120,-0.1458,1.4290,-0.1211,1.1868,19.2681,,
2308.17574,-3.70426,-3.1556,1.4472,-2.6207,1.2019,19.2681,,
2308.20352,-3.67648,-1.5627,1.3850,-1.2978,1.1503,19.2681,,
2308.21047,-3.66953,0.0970,1.3838,0.0806,1.1493,19.2681,,
2308.23130,-3.64870,-0.3208,1.3849,-0.2665,1.1502,19.2681,,
2308.23824,-3.64176,-0.7356,1.3753,-0.6109,1.1421,19.2681,,
2308.24519,-3.63481,-1.1240,1.3880,-0.9334,1.1528,19.2681,,
2308.25213,-3.62787,-1.3073,1.3706,-1.0857,1.1383,19.2681,,
2308.25908,-3.62092,2.1440,1.3833,1.7806,1.1488,18.4191,0.7005,
2308.27297,-3.60703,1.5903,1.3366,1.3208,1.1100,18.7435,0.9125,
2308.27991,-3.60009,0.1542,1.3608,0.1281,1.1302,19.2681,,
2308.28686,-3.59314,-1.9122,1.3487,-1.5880,1.1201,19.2681,,
2308.29380,-3.58620,-1.6273,1.3323,-1.3514,1.1065,19.2681,,
2308.30769,-3.57231,-2.0124,1.3243,-1.6713,1.0998,19.2681,,
2308.31464,-3.56536,-0.2688,1.3141,-0.2232,1.0913,19.2681,,
2308.32158,-3.55842,-1.9222,1.3274,-1.5963,1.1024,19.2681,,
2308.32853,-3.55147,-3.6766,1.2839,-3.0534,1.0663,19.2681,,
2308.33547,-3.54453,0.8236,1.2422,0.6840,1.0317,19.2681,,
2308.34241,-3.53759,-0.7660,1.3007,-0.6361,1.0802,19.2681,,
2308.35630,-3.52370,1.7069,1.2298,1.4176,1.0214,18.6667,0.7823,
2308.37019,-3.50981,0.7009,1.2134,0.5821,1.0077,19.2681,,
2308.37714,-3.50286,-1.8488,1.2155,-1.5354,1.0095,19.2681,,
2308.38408,-3.49592,2.6582,1.2160,2.2076,1.0099,18.1857,0.4967,
2308.39103,-3.48897,-1.1373,1.2224,-0.9445,1.0152,19.2681,,
2308.39797,-3.48203,-0.8921,1.1849,-0.7409,0.9840,19.2681,,
2308.40492,-3.47508,0.1310,1.2210,0.1088,1.0140,19.2681,,
2308.41880,-3.46120,-0.7090,1.1872,-0.5888,0.9859,19.2681,,
2308.48131,-3.39869,0.3644,1.1758,0.3027,0.9765,19.2681,,
2308.50214,-3.37786,1.2263,1.1701,1.0184,0.9717,19.0257,1.0360,
2308.50908,-3.37092,-2.3154,1.1737,-1.9229,0.9748,19.2681,,
2308.52992,-3.35008,0.2162,1.1232,0.1796,0.9328,19.2681,,
2308.53686,-3.34314,0.6796,1.1293,0.5644,0.9379,19.2681,,
2308.55075,-3.32925,0.2695,1.1392,0.2238,0.9461,19.2681,,
2308.58548,-3.29452,1.6475,1.1245,1.3682,0.9339,18.7051,0.7411,
2308.59242,-3.28758,0.7094,1.1222,0.5891,0.9319,19.2681,,
2308.60631,-3.27369,2.8987,1.1335,2.4073,0.9414,18.0917,0.4246,
2308.61325,-3.26675,2.2845,1.1022,1.8972,0.9154,18.3502,0.5239,
2308.64103,-3.23897,-0.0505,1.0949,-0.0419,0.9093,19.2681,,
2308.65492,-3.22508,0.8849,1.1286,0.7349,0.9373,19.2681,,
2308.66881,-3.21119,0.9292,1.1252,0.7717,0.9345,19.2681,,
2308.68270,-3.19730,0.8498,1.1230,0.7058,0.9326,19.2681,,
2308.68965,-3.19035,1.5295,1.1369,1.2703,0.9442,18.7858,0.8070,
2308.69659,-3.18341,2.3208,1.1087,1.9274,0.9208,18.3331,0.5187,
2308.71048,-3.16952,-1.4746,1.1094,-1.2246,0.9214,19.2681,,
2308.72437,-3.15563,1.9376,1.1240,1.6092,0.9334,18.5290,0.6298,
2308.73131,-3.14869,2.6405,1.1134,2.1929,0.9247,18.1930,0.4578,
2308.73826,-3.14174,0.2423,1.1065,0.2012,0.9189,19.2681,,
2308.75215,-3.12785,1.1373,1.1193,0.9445,0.9296,19.1075,1.0685,
2308.75909,-3.12091,1.0307,1.1125,0.8560,0.9240,19.2144,1.1720,
2308.76604,-3.11396,0.9999,1.1078,0.8304,0.9200,19.2473,1.2030,
2308.78687,-3.09313,0.8826,1.0337,0.7330,0.8584,19.2681,,
2308.79381,-3.08619,1.9340,1.0714,1.6062,0.8898,18.5310,0.6015,
2308.80076,-3.07924,0.8194,1.0799,0.6805,0.8968,19.2681,,
2308.80770,-3.07230,0.2575,1.0891,0.2138,0.9045,19.2681,,
2308.81465,-3.06535,-3.1654,1.0823,-2.6289,0.8988,19.2681,,
2308.82159,-3.05841,-1.1321,1.0691,-0.9402,0.8879,19.2681,,
2308.82854,-3.05146,1.0901,1.0752,0.9053,0.8930,19.1535,1.0709,
2308.83548,-3.04452,0.7056,1.0706,0.5860,0.8891,19.2681,,
2308.84243,-3.03757,0.2151,1.0666,0.1786,0.8858,19.2681,,
2308.84937,-3.03063,-0.7419,1.0724,-0.6161,0.8906,19.2681,,
2308.85632,-3.02368,0.6023,1.0594,0.5002,0.8798,19.2681,,
2308.86326,-3.01674,0.3428,1.0653,0.2847,0.8847,19.2681,,
2308.87020,-3.00980,0.9256,1.0509,0.7687,0.8728,19.2681,,
2308.87715,-3.00285,-1.2039,1.0604,-0.9998,0.8807,19.2681,,
2308.88409,-2.99591,0.2811,1.0601,0.2335,0.8804,19.2681,,
2308.89104,-2.98896,-0.8976,1.0468,-0.7455,0.8693,19.2681,,
2308.89798,-2.98202,0.7904,1.0227,0.6565,0.8493,19.2681,,
2308.90493,-2.97507,-0.6636,1.0636,-0.5511,0.8833,19.2681,,
2308.91187,-2.96813,-1.1255,1.0545,-0.9347,0.8757,19.2681,,
2308.91882,-2.96118,-0.7232,1.0553,-0.6006,0.8764,19.2681,,
2308.92576,-2.95424,0.6156,1.0538,0.5112,0.8752,19.2681,,
2308.93271,-2.94729,0.4323,1.0528,0.3590,0.8744,19.2681,,
2308.93965,-2.94035,1.0605,1.0624,0.8807,0.8824,19.1835,1.0878,
2308.94660,-2.93340,-0.3928,1.0435,-0.3262,0.8666,19.2681,,
2308.95354,-2.92646,1.3642,1.0334,1.1330,0.8582,18.9100,0.8225,
2308.96048,-2.91952,-0.6177,1.0481,-0.5130,0.8704,19.2681,,
2308.96743,-2.91257,-1.2975,1.0032,-1.0775,0.8331,19.2681,,
2308.97437,-2.90563,-0.4479,1.0478,-0.3720,0.8702,19.2681,,
2308.98132,-2.89868,-0.5422,1.0496,-0.4503,0.8717,19.2681,,
2308.98826,-2.89174,-1.3548,1.0453,-1.1251,0.8681,19.2681,,
