BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2312.00569,0.12569,0.25711,0.14364,0.21353,0.11929,19.12825,0.19909,
2312.25570,0.37570,0.53727,0.14338,0.44620,0.11908,19.14417,0.20787,
2312.50570,0.62570,0.80388,0.14335,0.66760,0.11905,19.06047,0.16098,
2312.75571,0.87571,0.74713,0.14208,0.62047,0.11799,19.07964,0.17002,
2312.99985,1.11985,0.70810,0.16041,0.58806,0.13322,19.05776,0.18994,
2313.25572,1.37572,0.49050,0.14569,0.40735,0.12100,19.11316,0.20145,
2313.50572,1.62572,0.34106,0.14526,0.28325,0.12064,19.17729,0.24535,
2313.75573,1.87573,0.89132,0.14391,0.74024,0.11951,19.01207,0.14908,
2314.00573,2.12573,0.92236,0.14528,0.76601,0.12066,19.03249,0.16250,
2314.25574,2.37574,0.69128,0.14456,0.57410,0.12005,19.08753,0.18077,
2314.50574,2.62574,1.01251,0.14472,0.84089,0.12019,18.98828,0.14669,
2314.75575,2.87575,0.69977,0.14362,0.58116,0.11928,19.09466,0.18556,
2315.00575,3.12575,0.83855,0.14557,0.69641,0.12090,19.07529,0.17336,
2315.25575,3.37575,1.08237,0.14715,0.89889,0.12221,18.94129,0.13562,
2315.50576,3.62576,0.97116,0.14792,0.80655,0.12285,19.00959,0.15630,
2315.75576,3.87576,1.03992,0.14719,0.86364,0.12224,18.94961,0.14512,
2316.00577,4.12577,0.88876,0.14875,0.73811,0.12353,19.00463,0.15466,
2316.25577,4.37577,0.51676,0.14781,0.42916,0.12275,19.15623,0.23513,
2316.50577,4.62577,1.25215,0.15056,1.03989,0.12504,18.85335,0.12045,
2316.75578,4.87578,1.00751,0.14965,0.83672,0.12429,19.02321,0.15760,
2317.00578,5.12578,0.78072,0.14752,0.64839,0.12252,19.10174,0.20214,
2317.25578,5.37578,0.98773,0.14490,0.82031,0.12034,19.00022,0.15104,
2317.50579,5.62579,0.90303,0.14575,0.74995,0.12105,19.00811,0.15080,
2317.75579,5.87579,0.87060,0.15186,0.72302,0.12612,19.02399,0.16315,
2318.00579,6.12579,1.27555,0.15152,1.05932,0.12584,18.88339,0.12950,
2318.25580,6.37580,1.17516,0.15223,0.97595,0.12642,18.91865,0.13655,
2318.50580,6.62580,0.86565,0.15225,0.71892,0.12644,19.02904,0.16031,
2318.75580,6.87580,1.28454,0.15392,1.06681,0.12783,18.90439,0.14003,
2318.95719,7.07719,1.36664,0.19438,1.13499,0.16143,18.84192,0.15463,
