BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2285.08816,0.12816,0.24249,0.16931,0.12078,0.08433,19.84265,0.36302,
2285.33816,0.37816,0.24719,0.16686,0.12313,0.08311,19.81412,0.35804,
2285.58816,0.62816,0.40501,0.16756,0.20175,0.08346,19.65754,0.30818,
2285.83817,0.87817,0.47619,0.17126,0.23719,0.08531,19.71979,0.30151,
2286.08817,1.12817,0.49511,0.17170,0.24661,0.08552,19.65031,0.29760,
2286.33688,1.37688,0.58092,0.17129,0.28937,0.08532,19.68733,0.32232,
2286.58817,1.62817,0.57843,0.16949,0.28812,0.08442,19.56666,0.25953,
2286.84236,1.88236,0.47866,0.18898,0.23841,0.09414,19.77298,0.39686,
2287.08817,2.12817,0.70724,0.16822,0.35228,0.08379,19.55494,0.25003,
2287.33817,2.37817,0.58226,0.16791,0.29002,0.08364,19.65348,0.27769,
2287.58817,2.62817,0.78623,0.16963,0.39162,0.08450,19.50681,0.23836,
2287.83817,2.87817,0.78047,0.16975,0.38876,0.08455,19.52073,0.25682,
2288.08817,3.12817,1.19537,0.17014,0.59543,0.08475,19.21167,0.21195,
2288.33816,3.37816,0.88296,0.17091,0.43982,0.08513,19.42134,0.25744,
2288.58816,3.62816,1.34858,0.17143,0.67173,0.08539,19.07976,0.18267,
2288.83816,3.87816,1.70466,0.17012,0.84909,0.08474,18.88533,0.17738,
2289.08816,4.12816,1.31233,0.17131,0.65368,0.08533,19.07193,0.18702,
2289.33816,4.37816,1.28142,0.17030,0.63828,0.08483,19.12583,0.19229,
2289.58816,4.62816,1.41859,0.17027,0.70661,0.08481,18.98597,0.17258,
2289.83816,4.87816,1.37659,0.16980,0.68569,0.08458,19.03917,0.17714,
2290.08816,5.12816,1.37115,0.17019,0.68298,0.08477,19.06761,0.19380,
2290.33816,5.37816,1.76427,0.17129,0.87880,0.08532,18.75983,0.13940,
2290.58815,5.62815,1.75902,0.17104,0.87618,0.08520,18.75284,0.13345,
2290.84162,5.88162,1.51985,0.16853,0.75704,0.08394,18.95716,0.18107,
2291.09509,6.13509,1.99807,0.17055,0.99525,0.08495,18.78038,0.13545,
2291.34817,6.38817,1.95527,0.17323,0.97393,0.08629,18.64650,0.13018,
2291.59221,6.63221,1.75183,0.17273,0.87259,0.08604,18.83877,0.16620,
2291.84509,6.88509,2.07463,0.17078,1.03338,0.08507,18.58514,0.11336,
2292.09419,7.13419,2.17645,0.17343,1.08410,0.08639,18.47640,0.10774,
2292.32531,7.36531,2.16768,0.21337,1.07973,0.10628,18.47692,0.13988,
2292.65549,7.69550,1.48937,0.32017,0.74187,0.15948,18.98308,0.35728,
2292.78605,7.82605,1.79595,0.23381,0.89458,0.11646,18.77715,0.16930,
