BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2390.65953,-2.69047,-0.7282,0.9772,-0.0554,0.0744,18.2447,,
2390.67342,-2.67658,-0.2823,0.9783,-0.0215,0.0745,18.2447,,
2390.68037,-2.66963,-0.3056,0.9779,-0.0233,0.0745,18.2447,,
2390.68731,-2.66269,-0.9000,0.9765,-0.0685,0.0744,18.2447,,
2390.69425,-2.65575,-0.8243,0.9782,-0.0628,0.0745,18.2447,,
2390.70120,-2.64880,-0.3521,0.9805,-0.0268,0.0747,18.2447,,
2390.70814,-2.64186,0.2985,0.9811,0.0227,0.0747,18.2447,,
2390.71509,-2.63491,-0.9922,0.9805,-0.0755,0.0747,18.2447,,
2390.72203,-2.62797,0.1656,0.9833,0.0126,0.0749,18.2447,,
2390.72898,-2.62102,-2.1904,0.9848,-0.1668,0.0750,18.2447,,
2390.73592,-2.61408,-0.5920,0.9857,-0.0451,0.0750,18.2447,,
2390.74287,-2.60713,-1.1711,0.9867,-0.0892,0.0751,18.2447,,
2390.74981,-2.60019,-0.7315,0.9898,-0.0557,0.0754,18.2447,,
2390.75675,-2.59325,-0.7436,0.9908,-0.0566,0.0754,18.2447,,
2390.76370,-2.58630,-0.4647,0.9947,-0.0354,0.0757,18.2447,,
2390.77064,-2.57936,-1.2035,0.9970,-0.0916,0.0759,18.2447,,
2390.77759,-2.57241,-1.8665,0.9998,-0.1421,0.0761,18.2447,,
2390.78453,-2.56547,-0.4109,1.0021,-0.0313,0.0763,18.2447,,
2390.79148,-2.55852,-1.5306,1.0039,-0.1165,0.0764,18.2447,,
2390.79842,-2.55158,-0.1418,1.0099,-0.0108,0.0769,18.2447,,
2390.80537,-2.54463,-1.5543,1.0114,-0.1183,0.0770,18.2447,,
2390.81231,-2.53769,-0.9849,1.0160,-0.0750,0.0774,18.2447,,
2390.81925,-2.53075,-1.3307,1.0181,-0.1013,0.0775,18.2447,,
2390.82620,-2.52380,-0.2247,1.0209,-0.0171,0.0777,18.2447,,
2390.83314,-2.51686,-1.2153,1.0247,-0.0925,0.0780,18.2447,,
2390.84009,-2.50991,0.3151,1.0284,0.0240,0.0783,18.2447,,
2390.84703,-2.50297,-0.0549,1.0314,-0.0042,0.0785,18.2447,,
2390.85398,-2.49602,-1.2117,1.0336,-0.0923,0.0787,18.2447,,
2390.86092,-2.48908,-1.5534,1.0369,-0.1183,0.0790,18.2447,,
2390.86787,-2.48213,-1.3288,1.0407,-0.1012,0.0792,18.2447,,
2390.87481,-2.47519,-1.5684,1.0422,-0.1194,0.0794,18.2447,,
2390.88176,-2.46824,-0.3945,1.0442,-0.0300,0.0795,18.2447,,
2390.88870,-2.46130,-1.1099,1.0456,-0.0845,0.0796,18.2447,,
2390.89564,-2.45436,-1.2140,1.0471,-0.0924,0.0797,18.2447,,
2390.90259,-2.44741,-0.0836,1.0504,-0.0064,0.0800,18.2447,,
2390.90953,-2.44047,-0.0443,1.0511,-0.0034,0.0800,18.2447,,
2390.91648,-2.43352,-0.7985,1.0515,-0.0608,0.0801,18.2447,,
2390.92342,-2.42658,-1.7325,1.0524,-0.1319,0.0801,18.2447,,
2390.93037,-2.41963,-0.2255,1.0516,-0.0172,0.0801,18.2447,,
2390.93731,-2.41269,-3.0118,1.0541,-0.2293,0.0803,18.2447,,
2390.94426,-2.40574,-3.1767,1.0540,-0.2419,0.0803,18.2447,,
2390.95120,-2.39880,-1.3207,1.0567,-0.1006,0.0805,18.2447,,
2390.95814,-2.39186,-0.8935,1.0534,-0.0680,0.0802,18.2447,,
2390.96509,-2.38491,-2.0362,1.0553,-0.1550,0.0803,18.2447,,
2390.97203,-2.37797,0.1946,1.0564,0.0148,0.0804,18.2447,,
2390.97898,-2.37102,0.2573,1.0582,0.0196,0.0806,18.2447,,
2390.98592,-2.36408,-2.4342,1.0583,-0.1853,0.0806,18.2447,,
2390.99287,-2.35713,0.2324,1.0628,0.0177,0.0809,18.2447,,
2390.99981,-2.35019,-2.1182,1.0616,-0.1613,0.0808,18.2447,,
2391.00676,-2.34324,-0.6930,1.0622,-0.0528,0.0809,18.2447,,
2391.01370,-2.33630,-0.1723,1.0677,-0.0131,0.0813,18.2447,,
2391.02064,-2.32936,0.6397,1.0681,0.0487,0.0813,18.2447,,
2391.02759,-2.32241,-1.7177,1.0716,-0.1308,0.0816,18.2447,,
2391.03453,-2.31547,-2.8954,1.0744,-0.2205,0.0818,18.2447,,
2391.04148,-2.30852,-4.5325,1.0762,-0.3451,0.0819,18.2447,,
2391.04842,-2.30158,-2.0749,1.0793,-0.1580,0.0822,18.2447,,
2391.05537,-2.29463,-0.8435,1.0832,-0.0642,0.0825,18.2447,,
2391.06231,-2.28769,-1.4472,1.0862,-0.1102,0.0827,18.2447,,
2391.06926,-2.28074,-1.9658,1.0881,-0.1497,0.0829,18.2447,,
2391.07620,-2.27380,-0.4770,1.0925,-0.0363,0.0832,18.2447,,
2391.08315,-2.26685,0.5588,1.0951,0.0425,0.0834,18.2447,,
2391.09009,-2.25991,-2.2202,1.0967,-0.1690,0.0835,18.2447,,
2391.09703,-2.25297,0.9405,1.1002,0.0716,0.0838,18.2447,,
2391.10398,-2.24602,0.7639,1.1026,0.0582,0.0839,18.2447,,
2391.11092,-2.23908,-0.3001,1.1035,-0.0228,0.0840,18.2447,,
2391.11787,-2.23213,0.0218,1.1056,0.0017,0.0842,18.2447,,
2391.12481,-2.22519,0.5664,1.1077,0.0431,0.0843,18.2447,,
2391.13176,-2.21824,-1.6208,1.1079,-0.1234,0.0844,18.2447,,
2391.13870,-2.21130,3.4198,1.1113,0.2604,0.0846,17.9122,0.3528,
2391.14565,-2.20435,-0.0601,1.1107,-0.0046,0.0846,18.2447,,
2391.15259,-2.19741,0.9819,1.1132,0.0748,0.0848,18.2447,,
2391.15953,-2.19047,1.0461,1.1132,0.0797,0.0848,18.2447,,
2391.16648,-2.18352,-1.3182,1.1132,-0.1004,0.0848,18.2447,,
2391.17342,-2.17658,0.7723,1.1138,0.0588,0.0848,18.2447,,
2391.18037,-2.16963,1.5450,1.1143,0.1176,0.0848,18.2447,,
2391.18731,-2.16269,-0.1457,1.1103,-0.0111,0.0845,18.2447,,
2391.19426,-2.15574,-0.3970,1.1119,-0.0302,0.0847,18.2447,,
2391.20120,-2.14880,-0.9651,1.1098,-0.0735,0.0845,18.2447,,
2391.20815,-2.14185,0.0122,1.1127,0.0009,0.0847,18.2447,,
2391.21509,-2.13491,-1.6483,1.1096,-0.1255,0.0845,18.2447,,
2391.22203,-2.12797,0.3436,1.1099,0.0262,0.0845,18.2447,,
2391.22898,-2.12102,0.7881,1.1115,0.0600,0.0846,18.2447,,
2391.23592,-2.11408,-1.3270,1.1104,-0.1010,0.0845,18.2447,,
2391.24287,-2.10713,-3.1945,1.1101,-0.2432,0.0845,18.2447,,
2391.24981,-2.10019,-1.1159,1.1072,-0.0850,0.0843,18.2447,,
2391.25676,-2.09324,-0.5744,1.1097,-0.0437,0.0845,18.2447,,
2391.26370,-2.08630,-0.0145,1.1121,-0.0011,0.0847,18.2447,,
2391.27065,-2.07935,-0.2158,1.1105,-0.0164,0.0846,18.2447,,
2391.27759,-2.07241,-2.8035,1.1082,-0.2135,0.0844,18.2447,,
2391.28454,-2.06546,-0.3064,1.1101,-0.0233,0.0845,18.2447,,
2391.29148,-2.05852,1.4293,1.1081,0.1088,0.0844,18.2447,,
2391.29842,-2.05158,1.0811,1.1107,0.0823,0.0846,18.2447,,
2391.30537,-2.04463,-0.5903,1.1107,-0.0449,0.0846,18.2447,,
2391.31231,-2.03769,0.6259,1.1117,0.0477,0.0846,18.2447,,
2391.31926,-2.03074,1.0640,1.1138,0.0810,0.0848,18.2447,,
2391.32620,-2.02380,-2.2919,1.1122,-0.1745,0.0847,18.2447,,
2391.33315,-2.01685,0.0271,1.1175,0.0021,0.0851,18.2447,,
2391.34009,-2.00991,-2.6791,1.1163,-0.2040,0.0850,18.2447,,
2391.34704,-2.00296,0.4604,1.1197,0.0351,0.0853,18.2447,,
2391.35398,-1.99602,-0.2875,1.1210,-0.0219,0.0854,18.2447,,
2391.36092,-1.98908,0.1269,1.1240,0.0097,0.0856,18.2447,,
2391.36787,-1.98213,2.2503,1.1259,0.1713,0.0857,18.2447,,
2391.37481,-1.97519,0.1513,1.1272,0.0115,0.0858,18.2447,,
2391.38176,-1.96824,-0.6334,1.1296,-0.0482,0.0860,18.2447,,
2391.38870,-1.96130,-0.4833,1.1323,-0.0368,0.0862,18.2447,,
2391.39565,-1.95435,-0.2167,1.1351,-0.0165,0.0864,18.2447,,
2391.40259,-1.94741,0.9563,1.1359,0.0728,0.0865,18.2447,,
2391.40954,-1.94046,-1.6832,1.1373,-0.1282,0.0866,18.2447,,
2391.41648,-1.93352,-0.2315,1.1413,-0.0176,0.0869,18.2447,,
2391.42342,-1.92658,-0.2409,1.1427,-0.0183,0.0870,18.2447,,
2391.43037,-1.91963,-0.9274,1.1464,-0.0706,0.0873,18.2447,,
2391.43731,-1.91269,1.4048,1.1488,0.1070,0.0875,18.2447,,
2391.44426,-1.90574,0.3201,1.1517,0.0244,0.0877,18.2447,,
2391.45120,-1.89880,0.0352,1.1533,0.0027,0.0878,18.2447,,
