BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2395.85654,0.12654,1.02131,0.43446,0.10593,0.04506,19.65796,0.26765,
2396.11001,0.38001,1.81850,0.44651,0.18862,0.04631,19.48952,0.20491,
2396.36000,0.63000,1.66964,0.43271,0.17317,0.04488,19.51102,0.22192,
2396.60347,0.87346,1.00997,0.46194,0.10475,0.04791,19.58840,0.25122,
2396.85804,1.12804,0.94573,0.48179,0.09808,0.04997,19.60364,0.26655,
2397.09935,1.36935,0.26494,0.50697,0.02749,0.05258,19.65680,0.29858,
2397.35941,1.62941,-0.49778,0.56206,-0.05163,0.05830,19.90589,0.56350,
2397.63985,1.90985,1.41469,0.55573,0.14674,0.05764,19.51162,0.25117,
2397.85998,2.12998,0.51468,0.47649,0.05339,0.04942,19.65524,0.27636,
2398.10998,2.37998,1.75484,0.48349,0.18202,0.05015,19.42011,0.21213,
2398.35998,2.62998,3.12851,0.47027,0.32449,0.04878,19.14578,0.16351,
2398.60998,2.87998,3.16546,0.48991,0.32833,0.05082,19.26239,0.18294,
2398.85997,3.12997,2.12342,0.49332,0.22025,0.05117,19.37911,0.19491,
2399.10997,3.37997,3.07791,0.48358,0.31925,0.05016,19.21387,0.19305,
2399.35997,3.62997,1.26667,0.47419,0.13138,0.04918,19.56879,0.27025,
2399.60996,3.87996,2.58254,0.48380,0.26787,0.05018,19.22175,0.18090,
2399.85996,4.12996,2.42267,0.48336,0.25129,0.05014,19.32836,0.20034,
2400.10996,4.37996,3.18455,0.46668,0.33031,0.04841,19.17076,0.16441,
2400.35995,4.62995,2.38132,0.47522,0.24699,0.04929,19.33772,0.20248,
2400.60995,4.87995,2.29521,0.47755,0.23806,0.04953,19.38318,0.19741,
2400.85995,5.12995,1.96877,0.47838,0.20421,0.04962,19.48875,0.26187,
2401.10995,5.37995,3.01191,0.45602,0.31241,0.04730,19.25357,0.18285,
2401.35994,5.62994,2.31953,0.44533,0.24059,0.04619,19.41721,0.18738,
2401.60994,5.87994,2.89712,0.43442,0.30051,0.04506,19.29149,0.19563,
2401.85994,6.12994,3.20005,0.43737,0.33192,0.04537,19.22122,0.17586,
2402.10993,6.37993,2.93619,0.42543,0.30455,0.04413,19.27771,0.17171,
2402.35993,6.62993,3.47151,0.40419,0.36008,0.04192,19.18301,0.14835,
2402.60993,6.87993,2.81092,0.36868,0.29156,0.03824,19.27175,0.13647,
2402.86062,7.13062,3.30031,0.37403,0.34232,0.03880,19.17457,0.13139,
2403.10992,7.37992,2.65509,0.36211,0.27539,0.03756,19.34604,0.15046,
2403.35992,7.62992,3.73745,0.35839,0.38766,0.03717,19.12556,0.14114,
2403.60992,7.87992,3.83828,0.36846,0.39811,0.03822,19.10287,0.12084,
2403.85991,8.12991,3.51485,0.37099,0.36458,0.03848,19.14959,0.13206,
2404.10991,8.37991,3.79379,0.37122,0.39350,0.03850,19.08755,0.12033,
2404.31130,8.58130,4.88739,0.47992,0.50693,0.04978,18.78249,0.12936,
2405.40850,9.67850,5.34104,0.49150,0.55399,0.05098,18.77224,0.14598,
2405.60989,9.87989,7.08312,0.41676,0.73467,0.04323,18.40459,0.07178,
2405.85989,10.12989,5.87319,0.40671,0.60918,0.04218,18.63615,0.09837,
2406.10988,10.37988,6.99386,0.42297,0.72542,0.04387,18.42166,0.09266,
2406.35988,10.62988,7.66180,0.41044,0.79471,0.04257,18.32385,0.07632,
2406.60988,10.87988,6.52437,0.43121,0.67672,0.04473,18.48334,0.08933,
2406.85987,11.12987,7.21508,0.41267,0.74837,0.04280,18.41894,0.07118,
2407.10987,11.37987,7.05899,0.40545,0.73217,0.04205,18.43762,0.07671,
2407.35987,11.62987,7.56965,0.40434,0.78514,0.04194,18.30769,0.07609,
2407.60987,11.87987,7.75830,0.41694,0.80471,0.04325,18.30646,0.07073,
2407.85986,12.12986,7.44377,0.41136,0.77209,0.04267,18.38017,0.09560,
2408.10986,12.37986,7.71920,0.41749,0.80066,0.04330,18.29281,0.07259,
2408.35986,12.62986,8.31789,0.40257,0.86275,0.04176,18.20768,0.06572,
2408.60986,12.87986,8.08606,0.40916,0.83871,0.04244,18.26861,0.07265,
2408.85985,13.12985,7.04482,0.42362,0.73072,0.04394,18.42260,0.09470,
2409.10985,13.37985,7.67894,0.41055,0.79648,0.04258,18.30352,0.07470,
2409.35985,13.62985,9.50418,0.41115,0.98580,0.04264,18.04149,0.05584,
2409.60985,13.87985,7.18905,0.43788,0.74567,0.04542,18.39762,0.08637,
2409.85985,14.12985,8.27291,0.44198,0.85808,0.04584,18.20143,0.06726,
2410.10984,14.37984,7.80487,0.42341,0.80954,0.04392,18.28258,0.07771,
2410.35984,14.62984,8.19398,0.42542,0.84990,0.04413,18.20906,0.06546,
2410.60984,14.87984,8.97947,0.45119,0.93137,0.04680,18.11595,0.06897,
2410.85984,15.12984,8.59818,0.44687,0.89183,0.04635,18.22542,0.08355,
2411.10983,15.37983,8.78654,0.45367,0.91136,0.04706,18.16070,0.07875,
2411.35983,15.62983,8.85566,0.44186,0.91853,0.04583,18.16977,0.07711,
2411.60983,15.87983,9.15351,0.44712,0.94943,0.04638,18.12012,0.07161,
2411.85983,16.12983,8.88655,0.46532,0.92174,0.04826,18.16013,0.08900,
