BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2390.65940,-14.67060,-3.8394,0.7340,-0.1852,0.0354,18.3402,0.0,
2390.67328,-14.65672,-3.6916,0.7425,-0.1780,0.0358,18.3402,0.0,
2390.68023,-14.64977,-1.0745,0.7451,-0.0518,0.0359,18.3402,0.0,
2390.68717,-14.64283,-3.1991,0.7433,-0.1543,0.0358,18.3402,0.0,
2390.69412,-14.63588,-1.9163,0.7492,-0.0924,0.0361,18.3402,0.0,
2390.70106,-14.62894,-3.1632,0.7464,-0.1526,0.0360,18.3402,0.0,
2390.70801,-14.62199,-2.0451,0.7463,-0.0986,0.0360,18.3402,0.0,
2390.71495,-14.61505,-4.2923,0.7481,-0.2070,0.0361,18.3402,0.0,
2390.72190,-14.60810,-2.2646,0.7488,-0.1092,0.0361,18.3402,0.0,
2390.72884,-14.60116,-3.0726,0.7497,-0.1482,0.0362,18.3402,0.0,
2390.73579,-14.59421,-2.1201,0.7532,-0.1022,0.0363,18.3402,0.0,
2390.74273,-14.58727,-3.1637,0.7543,-0.1526,0.0364,18.3402,0.0,
2390.74967,-14.58033,-2.0229,0.7580,-0.0976,0.0366,18.3402,0.0,
2390.75662,-14.57338,-0.9221,0.7598,-0.0445,0.0366,18.3402,0.0,
2390.76356,-14.56644,-2.0930,0.7648,-0.1009,0.0369,18.3402,0.0,
2390.77051,-14.55949,-1.6931,0.7671,-0.0817,0.0370,18.3402,0.0,
2390.77745,-14.55255,-1.1348,0.7724,-0.0547,0.0373,18.3402,0.0,
2390.78440,-14.54560,-0.3371,0.7705,-0.0163,0.0372,18.3402,0.0,
2390.79134,-14.53866,-3.2124,0.7765,-0.1549,0.0374,18.3402,0.0,
2390.79829,-14.53171,-0.9039,0.7760,-0.0436,0.0374,18.3402,0.0,
2390.80523,-14.52477,-1.0375,0.7705,-0.0500,0.0372,18.3402,0.0,
2390.81218,-14.51782,-2.3913,0.7687,-0.1153,0.0371,18.3402,0.0,
2390.81912,-14.51088,-1.2247,0.7835,-0.0591,0.0378,18.3402,0.0,
2390.82607,-14.50393,-0.1207,0.7825,-0.0058,0.0377,18.3402,0.0,
2390.83301,-14.49699,-1.3126,0.8318,-0.0633,0.0401,18.3402,0.0,
2390.83995,-14.49005,-1.8174,0.8319,-0.0876,0.0401,18.3402,0.0,
2390.84690,-14.48310,-2.1387,0.8319,-0.1031,0.0401,18.3402,0.0,
2390.85384,-14.47616,-1.9205,0.8361,-0.0926,0.0403,18.3402,0.0,
2390.86079,-14.46921,-1.4206,0.8382,-0.0685,0.0404,18.3402,0.0,
2390.86773,-14.46227,0.8008,0.8412,0.0386,0.0406,18.3402,0.0,
2390.87468,-14.45532,-1.8917,0.8458,-0.0912,0.0408,18.3402,0.0,
2390.88162,-14.44838,-0.0155,0.8473,-0.0007,0.0409,18.3402,0.0,
2390.88857,-14.44143,-1.8569,0.8539,-0.0896,0.0412,18.3402,0.0,
2390.89551,-14.43449,-2.0249,0.8477,-0.0977,0.0409,18.3402,0.0,
2390.90245,-14.42755,-3.4732,0.8565,-0.1675,0.0413,18.3402,0.0,
2390.90940,-14.42060,-0.3258,0.8518,-0.0157,0.0411,18.3402,0.0,
2390.91634,-14.41366,-1.5665,0.8275,-0.0755,0.0399,18.3402,0.0,
2390.92329,-14.40671,-0.4928,0.8149,-0.0238,0.0393,18.3402,0.0,
2390.93023,-14.39977,0.5737,0.8165,0.0277,0.0394,18.3402,0.0,
2390.93718,-14.39282,-2.8798,0.8205,-0.1389,0.0396,18.3402,0.0,
2390.94412,-14.38588,-0.5704,0.8207,-0.0275,0.0396,18.3402,0.0,
2390.95107,-14.37893,2.2678,0.8221,0.1094,0.0396,18.3402,0.0,
