BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2405.46514,0.13514,1.31564,0.13206,0.06345,0.00637,18.31574,0.01735,0.00000
2405.71514,0.38514,2.88555,0.14597,0.13916,0.00704,18.07145,0.04379,0.00000
2405.96167,0.63167,3.00579,0.14850,0.14496,0.00716,18.03584,0.03645,0.00000
2406.21167,0.88167,3.06780,0.15485,0.14795,0.00747,18.02671,0.04360,0.00000
2406.46167,1.13167,3.72003,0.15866,0.17940,0.00765,17.83630,0.04256,0.00000
2406.71167,1.38167,4.30994,0.17168,0.20786,0.00828,17.68862,0.04572,0.00000
2406.96167,1.63167,5.03120,0.16668,0.24264,0.00804,17.52299,0.03777,0.00000
2407.21514,1.88514,6.09560,0.17428,0.29396,0.00840,17.31008,0.03372,0.00000
2407.46514,2.13514,6.44077,0.17807,0.31062,0.00859,17.24575,0.03191,0.00000
2407.71167,2.38167,8.45941,0.19670,0.40797,0.00949,16.94209,0.02622,0.00000
2407.96167,2.63167,8.02808,0.19479,0.38717,0.00939,17.00064,0.02774,0.00000
2408.21167,2.88167,8.70208,0.19883,0.41967,0.00959,16.91369,0.02598,0.00000
2408.46167,3.13167,9.35314,0.20305,0.45107,0.00979,16.82821,0.02413,0.00000
2408.71167,3.38167,9.98686,0.22901,0.48163,0.01104,16.76600,0.02611,0.00000
2408.96167,3.63167,11.27541,0.22649,0.54377,0.01092,16.63871,0.02331,0.00000
2409.21167,3.88167,11.30071,0.22536,0.54498,0.01087,16.62680,0.02239,0.00000
2409.46167,4.13167,11.00753,0.22058,0.53085,0.01064,16.65739,0.02258,0.00000
2409.71167,4.38167,12.29093,0.25982,0.59276,0.01253,16.53544,0.02379,0.00000
2409.96167,4.63167,11.92926,0.24931,0.57529,0.01202,16.56867,0.02352,0.00000
2410.21167,4.88167,12.39632,0.27619,0.59783,0.01332,16.52943,0.02523,0.00000
2410.46167,5.13167,13.86244,0.26523,0.66854,0.01279,16.40155,0.02138,0.00000
