BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2392.75282,0.12282,0.50256,0.16893,0.11624,0.03908,19.37103,0.24686,
2393.00282,0.37282,0.28732,0.16862,0.06646,0.03900,19.43637,0.24492,
2393.25283,0.62283,1.14781,0.17009,0.26549,0.03934,19.04497,0.16956,
2393.50283,0.87283,0.44894,0.17142,0.10384,0.03965,19.37001,0.24554,
2393.75283,1.12283,0.38205,0.18172,0.08836,0.04203,19.38226,0.27937,
2394.00284,1.37284,0.37173,0.18387,0.08599,0.04253,19.30590,0.21783,
2394.25284,1.62284,0.34194,0.18593,0.07909,0.04301,19.41475,0.28278,
2394.50285,1.87285,0.48194,0.18584,0.11148,0.04299,19.27054,0.22611,
2394.75285,2.12285,0.88805,0.19607,0.20542,0.04535,19.15378,0.22226,
2395.00286,2.37286,1.17022,0.19823,0.27068,0.04585,19.02356,0.19386,
2395.25286,2.62286,1.22823,0.19754,0.28410,0.04569,19.03853,0.20402,
2395.50287,2.87287,1.14558,0.19616,0.26497,0.04537,19.01707,0.18533,
2395.75287,3.12287,1.32040,0.20881,0.30542,0.04830,18.90029,0.17269,
2396.00287,3.37287,0.88897,0.21300,0.20563,0.04927,19.16646,0.24249,
2396.25288,3.62288,1.43730,0.21189,0.33245,0.04901,18.88227,0.18643,
2396.50100,3.87100,1.52410,0.20760,0.35253,0.04802,18.88534,0.18232,
2396.75383,4.12383,0.93212,0.22603,0.21561,0.05228,19.15489,0.26059,
2397.01135,4.38135,1.18955,0.22862,0.27515,0.05288,18.97186,0.20011,
2397.24859,4.61859,1.44159,0.25404,0.33345,0.05876,18.88850,0.21571,
2397.50715,4.87714,1.76154,0.28426,0.40745,0.06575,18.75801,0.21802,
2397.75290,5.12290,1.45776,0.20954,0.33720,0.04847,18.91502,0.18212,
2398.00291,5.37291,2.07060,0.20392,0.47894,0.04717,18.57868,0.14650,
2398.25291,5.62291,2.03131,0.19741,0.46985,0.04566,18.59777,0.12814,
2398.50292,5.87292,1.17283,0.18936,0.27128,0.04380,18.98228,0.15947,
2398.75292,6.12292,1.73674,0.19906,0.40171,0.04604,18.80478,0.16514,
2399.00293,6.37293,1.68489,0.19272,0.38972,0.04458,18.78650,0.15667,
2399.25293,6.62293,1.32009,0.18273,0.30534,0.04227,18.99911,0.18542,
2399.50293,6.87293,1.30936,0.17529,0.30286,0.04054,18.97012,0.15994,
2399.75294,7.12294,1.36701,0.17990,0.31619,0.04161,18.95922,0.15049,
2400.00294,7.37294,1.33963,0.17222,0.30986,0.03984,18.94805,0.15203,
2400.25295,7.62295,0.83965,0.16132,0.19421,0.03731,19.22293,0.18235,
2400.50295,7.87295,1.16274,0.15346,0.26895,0.03550,19.07343,0.15547,
2400.75295,8.12296,1.37938,0.15328,0.31906,0.03546,18.92010,0.12179,
2401.00296,8.37296,1.47413,0.14633,0.34098,0.03385,18.90391,0.11729,
2401.25296,8.62296,1.79543,0.13963,0.41529,0.03230,18.70594,0.10829,
2401.50297,8.87297,1.82794,0.13483,0.42281,0.03119,18.67021,0.09967,
2401.75297,9.12297,1.73312,0.13279,0.40088,0.03072,18.72754,0.09791,
2402.00298,9.37298,1.05187,0.12984,0.24330,0.03003,19.13705,0.13276,
2402.25298,9.62298,0.86104,0.12610,0.19916,0.02917,19.25015,0.16095,
2402.50298,9.87298,0.93586,0.12324,0.21646,0.02851,19.21997,0.14773,
2402.75051,10.12051,1.44709,0.12510,0.33472,0.02894,18.91078,0.10229,
2403.00299,10.37299,1.44412,0.12374,0.33404,0.02862,18.90386,0.11000,
2403.25300,10.62300,1.32446,0.12353,0.30636,0.02857,18.98479,0.11752,
2403.50300,10.87300,1.20600,0.12386,0.27895,0.02865,19.04405,0.11920,
2403.75300,11.12300,1.49187,0.12363,0.34507,0.02860,18.89389,0.10835,
2404.00301,11.37301,1.63921,0.12330,0.37917,0.02852,18.82629,0.10655,
2404.25301,11.62301,1.43732,0.12297,0.33245,0.02844,18.92974,0.10858,
2404.38496,11.75496,1.67210,0.52142,0.38675,0.12060,18.70775,0.35643,
2405.35719,12.72719,2.65948,0.31110,0.61515,0.07195,18.21000,0.13570,
2405.50302,12.87302,2.34817,0.13242,0.54313,0.03063,18.40233,0.07124,
2405.75303,13.12303,3.05867,0.13809,0.70749,0.03194,18.07959,0.05598,
2406.00303,13.37303,3.06366,0.14172,0.70864,0.03278,18.06922,0.05745,
2406.25303,13.62303,2.82036,0.14376,0.65236,0.03325,18.16159,0.06353,
2406.50303,13.87303,2.70542,0.14937,0.62578,0.03455,18.21229,0.06866,
2406.75303,14.12303,2.38220,0.15401,0.55102,0.03563,18.36032,0.08366,
2407.00303,14.37303,2.36325,0.15172,0.54664,0.03509,18.42263,0.08890,
2407.25304,14.62304,2.34157,0.15257,0.54162,0.03529,18.40716,0.08645,
2407.50304,14.87304,2.42371,0.15563,0.56062,0.03600,18.36543,0.08824,
2407.75304,15.12304,3.53582,0.16586,0.81785,0.03836,17.95534,0.06611,
2408.00304,15.37304,3.27557,0.16471,0.75767,0.03810,18.01662,0.06519,
2408.25304,15.62304,3.26279,0.16374,0.75470,0.03787,18.00780,0.05822,
2408.50304,15.87304,3.49469,0.16692,0.80834,0.03861,17.91716,0.05622,
2408.75305,16.12305,3.56684,0.18027,0.82503,0.04170,17.90352,0.06213,
2409.00305,16.37305,3.88544,0.17777,0.89871,0.04112,17.81935,0.05768,
2409.25305,16.62305,4.18945,0.17725,0.96905,0.04100,17.71943,0.05013,
2409.50305,16.87305,4.04756,0.18015,0.93622,0.04167,17.76337,0.05339,
2409.75305,17.12305,4.16586,0.19679,0.96358,0.04552,17.73181,0.05737,
2410.00305,17.37305,4.11644,0.19463,0.95216,0.04502,17.74560,0.05662,
2410.25305,17.62305,4.64144,0.19629,1.07359,0.04540,17.62440,0.05317,
2410.50306,17.87306,4.24855,0.19587,0.98272,0.04531,17.74917,0.06345,
2410.75306,18.12306,4.24791,0.21354,0.98257,0.04939,17.71218,0.06108,
2411.00306,18.37306,4.10636,0.20590,0.94982,0.04763,17.75727,0.06195,
2411.21487,18.58487,4.81152,0.24536,1.11293,0.05675,17.57545,0.06139,
