BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2392.28222,-11.53778,-0.0904,0.9862,-0.0514,0.5605,19.8557,0.0,
2392.29611,-11.52389,0.7490,0.9647,0.4257,0.5483,19.5609,1.3984,0.0
2392.30305,-11.51695,-1.7455,0.9608,-0.9921,0.5461,19.8557,0.0,
2392.30999,-11.51001,-0.0451,0.9605,-0.0257,0.5459,19.8557,0.0,
2392.31694,-11.50306,0.3803,0.9631,0.2161,0.5474,19.8557,0.0,
2392.32388,-11.49612,0.6798,0.9794,0.3864,0.5567,19.6663,1.5643,0.0
2392.33083,-11.48917,-0.2030,0.9704,-0.1154,0.5515,19.8557,0.0,
2392.33777,-11.48223,0.3402,0.9715,0.1934,0.5522,19.8557,0.0,
2392.34472,-11.47528,-1.7174,0.9412,-0.9761,0.5350,19.8557,0.0,
2392.35166,-11.46834,0.4546,0.9294,0.2584,0.5283,19.8557,0.0,
2392.35860,-11.46140,-0.0859,0.9397,-0.0488,0.5341,19.8557,0.0,
2392.36555,-11.45445,0.9731,0.9588,0.5531,0.5449,19.2768,1.0697,0.0
2392.37249,-11.44751,-0.0368,0.9828,-0.0209,0.5586,19.8557,0.0,
2392.37944,-11.44056,-0.9237,0.9728,-0.5250,0.5529,19.8557,0.0,
2392.38638,-11.43362,-1.4079,0.9728,-0.8002,0.5529,19.8557,0.0,
2392.39333,-11.42667,1.0880,0.9763,0.6184,0.5549,19.1556,0.9742,0.0
2392.40027,-11.41973,0.7465,0.9599,0.4243,0.5456,19.5647,1.3961,0.0
2392.40722,-11.41278,-0.4429,0.9554,-0.2517,0.5430,19.8557,0.0,
2392.41416,-11.40584,-1.4853,0.9583,-0.8442,0.5446,19.8557,0.0,
2392.42110,-11.39890,1.0379,0.9773,0.5899,0.5554,19.2068,1.0223,0.0
2392.42805,-11.39195,0.1701,0.9832,0.0967,0.5588,19.8557,0.0,
2392.43499,-11.38501,-0.6217,0.9848,-0.3533,0.5597,19.8557,0.0,
2392.44888,-11.37112,-0.3785,0.9942,-0.2151,0.5650,19.8557,0.0,
2392.45583,-11.36417,0.3200,0.9701,0.1819,0.5514,19.8557,0.0,
2392.46277,-11.35723,-1.4447,0.9753,-0.8211,0.5543,19.8557,0.0,
2392.46971,-11.35029,1.2676,0.9791,0.7205,0.5565,18.9897,0.8386,0.0
2392.47666,-11.34334,-0.0709,0.9823,-0.0403,0.5583,19.8557,0.0,
2392.48360,-11.33640,-0.2149,0.9951,-0.1222,0.5656,19.8557,0.0,
2392.49055,-11.32945,-1.0302,1.0107,-0.5855,0.5744,19.8557,0.0,
2392.49749,-11.32251,1.9256,1.0108,1.0944,0.5745,18.5358,0.5699,0.0
2392.50444,-11.31556,-0.8414,0.9935,-0.4782,0.5646,19.8557,0.0,
2392.51138,-11.30862,0.6159,0.9962,0.3501,0.5662,19.7734,1.7560,0.0
2392.51832,-11.30168,1.9973,0.9972,1.1352,0.5668,18.4961,0.5421,0.0
2392.52527,-11.29473,-0.9580,1.0126,-0.5445,0.5755,19.8557,0.0,
2392.53221,-11.28779,0.5485,1.0165,0.3118,0.5778,19.8557,0.0,
