BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2390.65816,-21.68184,0.5932,0.6239,0.1889,0.1987,19.3983,0.0,
2390.67205,-21.66795,0.6904,0.6247,0.2199,0.1990,19.3983,0.0,
2390.67899,-21.66101,0.5292,0.6235,0.1686,0.1986,19.3983,0.0,
2390.68594,-21.65406,0.0850,0.6193,0.0271,0.1973,19.3983,0.0,
2390.69288,-21.64712,0.7507,0.6308,0.2391,0.2009,19.3983,0.0,
2390.69983,-21.64017,0.9329,0.6239,0.2971,0.1987,19.3226,0.7261,0.0
2390.70677,-21.63323,0.3369,0.6219,0.1073,0.1981,19.3983,0.0,
2390.71372,-21.62628,-1.2029,0.6325,-0.3832,0.2015,19.3983,0.0,
2390.72066,-21.61934,0.8113,0.6384,0.2584,0.2034,19.3983,0.0,
2390.72761,-21.61239,0.6689,0.6344,0.2131,0.2021,19.3983,0.0,
2390.73455,-21.60545,0.9224,0.6435,0.2938,0.2050,19.3349,0.7574,0.0
2390.74150,-21.59850,0.7299,0.6451,0.2325,0.2055,19.3983,0.0,
2390.74844,-21.59156,0.0122,0.6416,0.0039,0.2044,19.3983,0.0,
2390.75538,-21.58462,0.0890,0.6479,0.0283,0.2064,19.3983,0.0,
2390.76233,-21.57767,0.0795,0.6524,0.0253,0.2078,19.3983,0.0,
2390.76927,-21.57073,-0.6692,0.6601,-0.2132,0.2103,19.3983,0.0,
2390.77622,-21.56378,0.0200,0.6615,0.0064,0.2107,19.3983,0.0,
2390.78316,-21.55684,-1.9924,0.6687,-0.6346,0.2130,19.3983,0.0,
2390.79011,-21.54989,0.6697,0.6812,0.2133,0.2170,19.3983,0.0,
2390.79705,-21.54295,-1.3125,0.6998,-0.4181,0.2229,19.3983,0.0,
2390.80400,-21.53600,-1.5603,0.6869,-0.4970,0.2188,19.3983,0.0,
2390.81094,-21.52906,-0.9790,0.7042,-0.3118,0.2243,19.3983,0.0,
2390.81788,-21.52212,-0.4285,0.7026,-0.1365,0.2238,19.3983,0.0,
2390.82483,-21.51517,-1.6601,0.7149,-0.5288,0.2277,19.3983,0.0,
2390.83177,-21.50823,-0.2308,0.7288,-0.0735,0.2322,19.3983,0.0,
2390.83872,-21.50128,0.0298,0.7361,0.0095,0.2345,19.3983,0.0,
2390.84566,-21.49434,-0.0971,0.7454,-0.0309,0.2374,19.3983,0.0,
2390.85261,-21.48739,-0.6723,0.7297,-0.2142,0.2324,19.3983,0.0,
2390.85955,-21.48045,-0.9975,0.7494,-0.3177,0.2387,19.3983,0.0,
2390.86650,-21.47350,-0.3548,0.7456,-0.1130,0.2375,19.3983,0.0,
2390.87344,-21.46656,-0.3809,0.7488,-0.1213,0.2385,19.3983,0.0,
2390.88039,-21.45961,-2.1734,0.7561,-0.6923,0.2408,19.3983,0.0,
2390.88733,-21.45267,-1.5527,0.7789,-0.4946,0.2481,19.3983,0.0,
2390.89428,-21.44572,0.3438,0.7821,0.1095,0.2491,19.3983,0.0,
2390.90122,-21.43878,-0.8383,0.7887,-0.2670,0.2512,19.3983,0.0,
2390.90816,-21.43184,-1.2928,0.7988,-0.4118,0.2544,19.3983,0.0,
2390.91511,-21.42489,-3.4532,0.8221,-1.0999,0.2619,19.3983,0.0,
2390.92205,-21.41795,-1.1559,0.8207,-0.3682,0.2614,19.3983,0.0,
2390.92900,-21.41100,-2.0158,0.8170,-0.6421,0.2602,19.3983,0.0,
2390.93594,-21.40406,0.3355,0.8219,0.1069,0.2618,19.3983,0.0,
2390.94289,-21.39711,-0.6356,0.8152,-0.2025,0.2597,19.3983,0.0,
2390.94983,-21.39017,0.6508,0.8253,0.2073,0.2629,19.3983,0.0,
2390.95678,-21.38322,0.1110,0.8283,0.0353,0.2638,19.3983,0.0,
2390.96372,-21.37628,-1.4496,0.8352,-0.4617,0.2660,19.3983,0.0,
2390.97067,-21.36933,-1.4343,0.8471,-0.4568,0.2698,19.3983,0.0,
2390.97761,-21.36239,-2.3606,0.8387,-0.7519,0.2672,19.3983,0.0,
2390.98456,-21.35544,-1.4024,0.8532,-0.4467,0.2718,19.3983,0.0,
2390.99150,-21.34850,-1.7768,0.8622,-0.5659,0.2746,19.3983,0.0,
2390.99844,-21.34156,-0.4205,0.8590,-0.1339,0.2736,19.3983,0.0,
2391.00539,-21.33461,0.2712,0.8583,0.0864,0.2734,19.3983,0.0,
2391.01233,-21.32767,-2.1157,0.8762,-0.6739,0.2791,19.3983,0.0,
2391.01928,-21.32072,0.3187,0.8742,0.1015,0.2785,19.3983,0.0,
2391.02622,-21.31378,-0.6916,0.8866,-0.2203,0.2824,19.3983,0.0,
2391.03317,-21.30683,-1.4992,0.8935,-0.4775,0.2846,19.3983,0.0,
2391.04011,-21.29989,-1.5540,0.9469,-0.4950,0.3016,19.3983,0.0,
2391.04706,-21.29294,-2.6299,0.9273,-0.8377,0.2954,19.3983,0.0,
2391.05400,-21.28600,-3.7337,0.9515,-1.1893,0.3031,19.3983,0.0,
2391.06095,-21.27905,-2.1730,0.9835,-0.6922,0.3133,19.3983,0.0,
2391.06789,-21.27211,-0.5278,0.9755,-0.1681,0.3107,19.3983,0.0,
2391.07483,-21.26517,-1.4642,0.9823,-0.4664,0.3129,19.3983,0.0,
2391.08178,-21.25822,-2.4139,0.9800,-0.7689,0.3122,19.3983,0.0,
2391.08872,-21.25128,-0.8723,1.0039,-0.2778,0.3198,19.3983,0.0,
2391.09567,-21.24433,-2.1237,0.9773,-0.6765,0.3113,19.3983,0.0,
2391.10261,-21.23739,-0.9369,1.0050,-0.2984,0.3201,19.3983,0.0,
2391.10956,-21.23044,-2.6410,1.0169,-0.8412,0.3239,19.3983,0.0,
2391.11650,-21.22350,-0.7103,1.0250,-0.2262,0.3265,19.3983,0.0,
2391.12345,-21.21655,0.4913,1.0233,0.1565,0.3259,19.3983,0.0,
2391.13039,-21.20961,-0.7601,1.0332,-0.2421,0.3291,19.3983,0.0,
2391.13734,-21.20266,-0.3216,1.0426,-0.1024,0.3321,19.3983,0.0,
2391.14428,-21.19572,0.2667,1.0366,0.0849,0.3302,19.3983,0.0,
2391.15123,-21.18877,-2.7420,1.0599,-0.8734,0.3376,19.3983,0.0,
2391.15817,-21.18183,-3.9577,1.0396,-1.2606,0.3311,19.3983,0.0,
2391.16511,-21.17489,-1.4583,1.0512,-0.4645,0.3348,19.3983,0.0,
2391.17206,-21.16794,1.2036,0.8785,0.3834,0.2798,19.0460,0.7924,0.0
2391.17900,-21.16100,-0.7030,0.8691,-0.2239,0.2768,19.3983,0.0,
2391.18595,-21.15405,0.4308,1.0693,0.1372,0.3406,19.3983,0.0,
2391.19289,-21.14711,0.2927,1.0580,0.0932,0.3370,19.3983,0.0,
2391.19984,-21.14016,-1.3901,0.8755,-0.4428,0.2789,19.3983,0.0,
2391.20678,-21.13322,0.6369,0.8574,0.2029,0.2731,19.3983,0.0,
2391.21373,-21.12627,-2.0237,1.0453,-0.6446,0.3330,19.3983,0.0,
2391.22067,-21.11933,-1.8554,1.0465,-0.5910,0.3333,19.3983,0.0,
2391.22762,-21.11238,1.0061,1.0465,0.3205,0.3333,19.2406,1.1293,0.0
