BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2447.69686,-2.78314,-1.6158,0.9899,-1.0923,0.6692,19.9026,,
2447.70380,-2.77620,-1.3978,0.9882,-0.9449,0.6681,19.9026,,
2447.71074,-2.76926,1.0869,0.9894,0.7348,0.6689,19.1567,0.9884,
2447.72463,-2.75537,0.7414,0.9863,0.5012,0.6668,19.5720,1.4443,
2447.73158,-2.74842,0.6732,0.9863,0.4551,0.6667,19.6768,1.5907,
2447.75936,-2.72064,0.2980,0.9920,0.2014,0.6706,19.9026,,
2447.76630,-2.71370,1.1331,0.9894,0.7660,0.6688,19.1116,0.9481,
2447.77324,-2.70676,0.5510,0.9864,0.3725,0.6668,19.8944,1.9438,
2447.78019,-2.69981,-0.0830,0.9816,-0.0561,0.6636,19.9026,,
2447.79408,-2.68592,0.3021,0.9810,0.2042,0.6632,19.9026,,
2447.80102,-2.67898,-0.1681,0.9804,-0.1136,0.6627,19.9026,,
2447.80797,-2.67203,0.2219,0.9723,0.1500,0.6573,19.9026,,
2447.81491,-2.66509,-0.0732,0.9888,-0.0495,0.6684,19.9026,,
2447.82186,-2.65814,2.0088,0.9729,1.3580,0.6577,18.4899,0.5258,
2447.82880,-2.65120,-0.7962,0.9906,-0.5382,0.6696,19.9026,,
2447.83574,-2.64426,1.7171,1.0025,1.1608,0.6777,18.6602,0.6339,
2447.84269,-2.63731,-0.2666,0.9894,-0.1802,0.6688,19.9026,,
2447.84963,-2.63037,0.0983,0.9872,0.0665,0.6673,19.9026,,
2447.85658,-2.62342,1.4521,0.9910,0.9816,0.6699,18.8422,0.7410,
2447.86352,-2.61648,-0.2663,0.9904,-0.1800,0.6695,19.9026,,
2447.87047,-2.60953,1.0454,0.9890,0.7067,0.6686,19.1990,1.0272,
2447.87741,-2.60259,-0.1064,0.9891,-0.0719,0.6686,19.9026,,
2447.88436,-2.59564,-0.2399,0.9902,-0.1622,0.6694,19.9026,,
2447.89130,-2.58870,0.2315,0.9860,0.1565,0.6665,19.9026,,
2447.89824,-2.58176,0.0446,0.9890,0.0302,0.6686,19.9026,,
2447.90519,-2.57481,0.8429,0.9933,0.5698,0.6715,19.4327,1.2794,
2447.91213,-2.56787,1.5191,0.9942,1.0269,0.6721,18.7933,0.7106,
2447.91908,-2.56092,1.2558,0.9947,0.8490,0.6724,18.9999,0.8600,
2447.92602,-2.55398,-1.6585,0.9878,-1.1212,0.6678,19.9026,,
2447.93297,-2.54703,1.2663,0.9949,0.8561,0.6726,18.9908,0.8530,
2447.93991,-2.54009,0.7869,0.9959,0.5320,0.6732,19.5074,1.3741,
2447.94686,-2.53314,0.8661,0.9968,0.5855,0.6738,19.4033,1.2495,
2447.95380,-2.52620,-0.3525,0.9926,-0.2383,0.6710,19.9026,,
2447.96074,-2.51926,-0.2798,0.9938,-0.1891,0.6718,19.9026,,
2447.96769,-2.51231,0.0375,0.9930,0.0254,0.6713,19.9026,,
2447.97463,-2.50537,0.5728,0.9882,0.3872,0.6680,19.8521,1.8730,
2447.98158,-2.49842,-0.8743,0.9871,-0.5911,0.6673,19.9026,,
2447.98852,-2.49148,-0.6125,0.9882,-0.4140,0.6681,19.9026,,
2447.99547,-2.48453,-2.3217,0.9770,-1.5695,0.6605,19.9026,,
2448.00241,-2.47759,1.3776,0.9843,0.9313,0.6654,18.8994,0.7757,
2448.00935,-2.47065,-0.0946,0.9786,-0.0640,0.6615,19.9026,,
2448.01630,-2.46370,1.0499,0.9850,0.7098,0.6659,19.1943,1.0186,
2448.02324,-2.45676,0.7510,0.9853,0.5077,0.6660,19.5581,1.4243,
2448.03019,-2.44981,0.2367,0.9874,0.1600,0.6675,19.9026,,
2448.03713,-2.44287,-0.7648,0.9875,-0.5170,0.6676,19.9026,,
2448.04408,-2.43592,1.4001,0.9901,0.9465,0.6693,18.8818,0.7678,
2448.05102,-2.42898,-0.2572,0.9871,-0.1739,0.6673,19.9026,,
2448.05797,-2.42203,0.1047,0.9943,0.0708,0.6722,19.9026,,
2448.06491,-2.41509,-0.1076,0.9945,-0.0727,0.6723,19.9026,,
2448.07185,-2.40815,0.6098,0.9934,0.4123,0.6716,19.7841,1.7686,
2448.07880,-2.40120,1.4062,0.9879,0.9506,0.6678,18.8771,0.7628,
2448.08574,-2.39426,-0.9654,0.9859,-0.6526,0.6665,19.9026,,
2448.09269,-2.38731,-0.0990,0.9906,-0.0669,0.6697,19.9026,,
2448.09963,-2.38037,0.5963,1.0013,0.4031,0.6769,19.8086,1.8232,
2448.10658,-2.37342,-0.6506,0.9913,-0.4398,0.6701,19.9026,,
2448.11352,-2.36648,-1.6388,0.9849,-1.1079,0.6658,19.9026,,
2448.12047,-2.35953,1.0767,0.9879,0.7279,0.6679,19.1669,0.9962,
2448.12741,-2.35259,-0.6550,0.9900,-0.4428,0.6693,19.9026,,
2448.13435,-2.34565,-1.0048,0.9846,-0.6792,0.6656,19.9026,,
2448.14130,-2.33870,1.1243,0.9867,0.7600,0.6670,19.1200,0.9529,
2448.14824,-2.33176,-1.1090,0.9871,-0.7497,0.6673,19.9026,,
2448.15519,-2.32481,0.2377,0.9838,0.1607,0.6650,19.9026,,
2448.16213,-2.31787,-3.0229,0.9826,-2.0435,0.6642,19.9026,,
2448.16908,-2.31092,0.1494,0.9848,0.1010,0.6658,19.9026,,
2448.17602,-2.30398,-2.0047,0.9854,-1.3552,0.6661,19.9026,,
2448.18297,-2.29703,0.2042,0.9856,0.1380,0.6663,19.9026,,
2448.18991,-2.29009,-1.3798,0.9867,-0.9328,0.6670,19.9026,,
2448.19685,-2.28315,2.1367,0.9833,1.4445,0.6648,18.4228,0.4997,
2448.20380,-2.27620,-0.9784,0.9862,-0.6614,0.6667,19.9026,,
2448.21074,-2.26926,-0.3185,0.9854,-0.2153,0.6661,19.9026,,
2448.21769,-2.26231,0.6254,0.9893,0.4228,0.6688,19.7568,1.7176,
2448.22463,-2.25537,-0.4275,0.9813,-0.2890,0.6634,19.9026,,
2448.23158,-2.24842,0.3237,0.9939,0.2189,0.6719,19.9026,,
2448.23852,-2.24148,1.0289,0.9867,0.6955,0.6670,19.2163,1.0412,
2448.24546,-2.23454,0.4442,0.9817,0.3003,0.6636,19.9026,,
