BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2450.60656,0.12656,0.22078,0.16054,0.14925,0.10853,19.68025,0.36277,
2450.86003,0.38003,-0.00396,0.16724,-0.00268,0.11306,19.64613,0.31328,
2451.11002,0.63002,0.14827,0.16381,0.10024,0.11074,19.64648,0.30840,
2451.36002,0.88002,0.01028,0.16677,0.00694,0.11274,19.75142,0.40133,
2451.62130,1.14130,0.78680,0.19582,0.53187,0.13238,19.33185,0.24865,
2451.81010,1.33010,-0.01624,0.34578,-0.01099,0.23375,19.61827,0.71072,
2455.95370,5.47370,3.10695,0.93038,2.10035,0.62894,18.09520,0.39375,
2456.12731,5.64731,1.13940,0.22229,0.77025,0.15027,19.10149,0.24398,
2456.33688,5.85688,1.04288,0.20009,0.70500,0.13526,19.19687,0.22420,
2456.50694,6.02694,1.55623,0.60266,1.05203,0.40738,18.81160,0.48045,
2461.33729,10.85729,1.35499,0.23412,0.91602,0.15827,19.02324,0.24429,
