BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2450.17946,0.12946,-0.16114,0.14202,-0.05035,0.04437,19.96412,0.39443,
2450.42739,0.37739,-0.10024,0.14067,-0.03132,0.04395,19.91551,0.34418,
2450.67741,0.62741,-0.18425,0.14254,-0.05756,0.04453,20.08551,0.54801,
2450.92743,0.87743,-0.13015,0.14113,-0.04066,0.04410,19.93814,0.32336,
2451.17745,1.12745,-0.16864,0.14030,-0.05270,0.04383,19.88667,0.31970,
2451.42747,1.37746,0.35251,0.13835,0.11014,0.04323,19.69656,0.22729,
2451.67748,1.62749,0.35351,0.14046,0.11046,0.04388,19.72249,0.25130,
2451.92750,1.87750,0.37618,0.14041,0.11753,0.04387,19.70643,0.24406,
2452.17752,2.12752,0.10443,0.14072,0.03263,0.04397,19.84594,0.33166,
2452.43041,2.38041,-0.04810,0.14370,-0.01502,0.04490,19.88595,0.31929,
2452.67984,2.62984,0.27045,0.14301,0.08449,0.04468,19.77845,0.29183,
2452.92757,2.87757,0.12186,0.13995,0.03807,0.04373,19.76114,0.28370,
2453.17759,3.12759,0.43981,0.14133,0.13740,0.04416,19.61787,0.20402,
2453.43353,3.38353,0.66005,0.14528,0.20622,0.04539,19.51815,0.21929,
2453.67169,3.62169,0.66011,0.15164,0.20625,0.04738,19.52948,0.22509,
2453.92070,3.87070,0.69212,0.17946,0.21624,0.05607,19.52996,0.29205,
2454.17766,4.12766,0.62002,0.14155,0.19371,0.04423,19.56051,0.23370,
2454.42768,4.37768,1.11204,0.14103,0.34745,0.04406,19.21215,0.16520,
2454.67769,4.62769,0.71951,0.14118,0.22481,0.04411,19.46174,0.19381,
2454.92771,4.87771,0.84584,0.14165,0.26426,0.04426,19.40492,0.18480,
2455.17773,5.12773,1.10202,0.14359,0.34431,0.04486,19.25619,0.17534,
2455.36794,5.31794,0.50413,0.21855,0.15752,0.06829,19.61732,0.32652,
2458.25085,8.20085,4.09340,2.25970,1.27890,0.70600,17.71700,0.59940,
2458.43182,8.38182,0.33171,0.36108,0.10364,0.11282,19.30594,0.32181,
2458.69277,8.64277,1.29384,0.27503,0.40425,0.08593,19.15953,0.32139,
2458.93055,8.88055,1.94912,0.30591,0.60897,0.09558,18.71958,0.21652,
2459.15754,9.10754,2.67831,0.43163,0.83681,0.13485,18.46700,0.38771,
2459.38981,9.33981,3.04108,0.63230,0.95014,0.19756,18.21308,0.32356,
2461.26841,11.21841,3.00552,0.26607,0.93905,0.08312,18.09500,0.10787,
2461.44051,11.39051,3.06684,0.13371,0.95819,0.04178,18.07492,0.05485,
2461.67816,11.62816,2.71966,0.12609,0.84971,0.03940,18.19862,0.05696,
2461.92817,11.87817,2.98914,0.12586,0.93392,0.03932,18.09984,0.05205,
2462.17819,12.12819,3.05181,0.12553,0.95350,0.03922,18.08821,0.05262,
2462.42821,12.37821,2.95830,0.12729,0.92428,0.03977,18.12038,0.05500,
2462.67822,12.62822,3.19012,0.12798,0.99671,0.03998,18.01581,0.04730,
2462.92824,12.87824,3.23180,0.12856,1.00973,0.04017,18.02115,0.04974,
2463.17825,13.12825,3.24503,0.13137,1.01387,0.04105,17.99388,0.04694,
2463.42827,13.37827,3.28202,0.13056,1.02543,0.04079,18.00129,0.04911,
2463.67828,13.62828,3.21009,0.13142,1.00294,0.04106,18.02021,0.04994,
2463.92830,13.87830,3.25505,0.13183,1.01699,0.04119,18.00024,0.04839,
2464.17831,14.12831,3.17856,0.13185,0.99311,0.04119,18.04099,0.05168,
2464.42832,14.37832,3.21922,0.13129,1.00580,0.04102,18.00685,0.04864,
2464.67834,14.62834,3.54654,0.13167,1.10807,0.04114,17.89816,0.04363,
2464.89710,14.84710,3.05422,0.15430,0.95425,0.04821,18.10567,0.07203,
