BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2447.69575,-9.80425,-0.7199,0.9529,-0.2659,0.3519,19.5164,0.0,
2447.70270,-9.79730,1.0736,0.9139,0.3965,0.3375,19.1701,0.9243,0.0
2447.70964,-9.79036,0.5345,0.9215,0.1974,0.3403,19.5164,0.0,
2447.72353,-9.77647,-0.0605,0.9312,-0.0224,0.3439,19.5164,0.0,
2447.73048,-9.76952,-0.7059,0.9331,-0.2607,0.3446,19.5164,0.0,
2447.75825,-9.74175,-0.1231,0.9537,-0.0455,0.3522,19.5164,0.0,
2447.76520,-9.73480,-0.4821,0.9306,-0.1780,0.3437,19.5164,0.0,
2447.77214,-9.72786,1.1379,0.9162,0.4202,0.3383,19.1070,0.8743,0.0
2447.77909,-9.72091,-0.9494,0.9341,-0.3506,0.3449,19.5164,0.0,
2447.79298,-9.70702,-1.7292,0.9195,-0.6386,0.3395,19.5164,0.0,
2447.79992,-9.70008,-0.4240,0.9152,-0.1566,0.3380,19.5164,0.0,
2447.80687,-9.69313,1.6527,0.9288,0.6103,0.3430,18.7017,0.6102,0.0
2447.81381,-9.68619,2.0031,0.9217,0.7397,0.3404,18.4930,0.4996,0.0
2447.82076,-9.67924,-0.7151,0.9258,-0.2641,0.3419,19.5164,0.0,
2447.82770,-9.67230,0.3629,0.9335,0.1340,0.3447,19.5164,0.0,
2447.83465,-9.66535,0.9860,0.9376,0.3641,0.3462,19.2626,1.0325,0.0
2447.84159,-9.65841,-1.3696,0.9211,-0.5058,0.3401,19.5164,0.0,
2447.84854,-9.65146,2.3842,0.9428,0.8804,0.3482,18.3039,0.4293,0.0
2447.85548,-9.64452,1.4173,0.9389,0.5234,0.3467,18.8686,0.7193,0.0
2447.86243,-9.63757,-0.1946,0.9163,-0.0719,0.3384,19.5164,0.0,
2447.86937,-9.63063,-0.3729,0.9306,-0.1377,0.3437,19.5164,0.0,
2447.87632,-9.62368,0.6708,0.9330,0.2477,0.3445,19.5164,0.0,
2447.88326,-9.61674,0.0223,0.9281,0.0083,0.3427,19.5164,0.0,
2447.89021,-9.60979,-2.9017,0.9346,-1.0716,0.3451,19.5164,0.0,
2447.89715,-9.60285,-1.5159,0.9152,-0.5598,0.3380,19.5164,0.0,
2447.90410,-9.59590,-1.1957,0.9244,-0.4416,0.3414,19.5164,0.0,
2447.91104,-9.58896,0.7476,0.9348,0.2761,0.3452,19.5164,0.0,
2447.91799,-9.58201,1.2667,0.9231,0.4678,0.3409,18.9906,0.7912,0.0
2447.92493,-9.57507,0.8159,0.9372,0.3013,0.3461,19.4681,1.2471,0.0
2447.93188,-9.56812,0.9792,0.9328,0.3616,0.3445,19.2700,1.0342,0.0
2447.93882,-9.56118,0.6043,0.9203,0.2232,0.3398,19.5164,0.0,
2447.94577,-9.55423,-1.0322,0.9301,-0.3812,0.3435,19.5164,0.0,
2447.95271,-9.54729,0.7065,0.9252,0.2609,0.3417,19.5164,0.0,
2447.95966,-9.54034,-0.7421,0.9388,-0.2741,0.3467,19.5164,0.0,
2447.96660,-9.53340,-1.2642,0.9280,-0.4669,0.3427,19.5164,0.0,
2447.97355,-9.52645,-0.1069,0.9358,-0.0395,0.3456,19.5164,0.0,
2447.98049,-9.51951,-1.1246,0.9335,-0.4153,0.3447,19.5164,0.0,
2447.98744,-9.51256,-0.4722,0.9477,-0.1744,0.3500,19.5164,0.0,
2447.99438,-9.50562,-0.9838,0.9381,-0.3633,0.3464,19.5164,0.0,
2448.00132,-9.49868,-0.9971,0.9521,-0.3682,0.3516,19.5164,0.0,
2448.00827,-9.49173,-0.6174,0.9582,-0.2280,0.3539,19.5164,0.0,
2448.01521,-9.48479,-0.7357,0.9623,-0.2717,0.3554,19.5164,0.0,
2448.02216,-9.47784,1.7708,0.9459,0.6539,0.3493,18.6268,0.5800,0.0
2448.02910,-9.47090,0.3570,0.9493,0.1319,0.3506,19.5164,0.0,
2448.03605,-9.46395,-0.7925,0.9631,-0.2926,0.3556,19.5164,0.0,
2448.04299,-9.45701,-0.1238,0.9638,-0.0457,0.3559,19.5164,0.0,
2448.04994,-9.45006,0.1356,0.9802,0.0501,0.3620,19.5164,0.0,
2448.05688,-9.44312,0.1369,0.9625,0.0506,0.3554,19.5164,0.0,
2448.06383,-9.43617,1.0610,0.9613,0.3918,0.3550,19.1829,0.9837,0.0
2448.07077,-9.42923,0.3887,0.9711,0.1435,0.3586,19.5164,0.0,
2448.07772,-9.42228,-1.0119,0.9568,-0.3737,0.3533,19.5164,0.0,
2448.08466,-9.41534,-0.9976,0.9825,-0.3684,0.3628,19.5164,0.0,
