BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2447.69359,-3.43641,-0.2751,1.0386,-0.2450,0.9247,20.6249,,
2447.70053,-3.42947,-0.8435,1.0398,-0.7510,0.9259,20.6249,,
2447.70748,-3.42252,-0.1614,1.0278,-0.1437,0.9151,20.6249,,
2447.72137,-3.40863,-0.4797,1.0412,-0.4271,0.9271,20.6249,,
2447.72832,-3.40168,-0.9297,1.0379,-0.8278,0.9242,20.6249,,
2447.75609,-3.37391,-0.9808,1.0362,-0.8733,0.9226,20.6249,,
2447.76304,-3.36696,0.3709,1.0338,0.3302,0.9205,20.3241,3.0264,
2447.76999,-3.36001,-0.4996,1.0339,-0.4449,0.9205,20.6249,,
2447.77693,-3.35307,-0.6767,1.0315,-0.6025,0.9185,20.6249,,
2447.79082,-3.33918,-0.3750,1.0499,-0.3339,0.9348,20.6249,,
2447.79777,-3.33223,-0.9062,1.0573,-0.8068,0.9414,20.6249,,
2447.80471,-3.32529,-0.6885,1.0456,-0.6130,0.9310,20.6249,,
2447.81166,-3.31834,-1.9630,1.0507,-1.7478,0.9355,20.6249,,
2447.81860,-3.31140,-0.7297,1.0664,-0.6498,0.9495,20.6249,,
2447.82555,-3.30445,-0.9707,1.0418,-0.8643,0.9276,20.6249,,
2447.83249,-3.29751,0.0224,1.0395,0.0200,0.9255,20.6249,,
2447.83944,-3.29056,-0.7261,1.0350,-0.6465,0.9216,20.6249,,
2447.84638,-3.28362,-0.4762,1.0446,-0.4240,0.9301,20.6249,,
2447.85333,-3.27667,-0.0443,1.0477,-0.0395,0.9329,20.6249,,
2447.86027,-3.26973,0.2591,1.0354,0.2307,0.9219,20.6249,,
2447.86722,-3.26278,0.0757,1.0425,0.0674,0.9282,20.6249,,
2447.87416,-3.25584,-0.8578,1.0371,-0.7638,0.9235,20.6249,,
2447.88111,-3.24889,-0.7365,1.0438,-0.6558,0.9294,20.6249,,
2447.88805,-3.24195,-1.2037,1.0332,-1.0718,0.9200,20.6249,,
2447.89500,-3.23500,0.2527,1.0343,0.2250,0.9209,20.6249,,
2447.90194,-3.22806,-0.2935,1.0470,-0.2613,0.9323,20.6249,,
2447.90889,-3.22111,-0.0283,1.0741,-0.0252,0.9564,20.6249,,
2447.91583,-3.21417,0.7419,1.0591,0.6606,0.9431,19.5714,1.5500,
2447.92278,-3.20722,-0.1549,1.0556,-0.1379,0.9399,20.6249,,
2447.92972,-3.20028,-0.8822,1.0493,-0.7856,0.9343,20.6249,,
2447.93667,-3.19333,-2.3368,1.0251,-2.0807,0.9127,20.6249,,
2447.94361,-3.18639,-0.3529,1.0422,-0.3143,0.9280,20.6249,,
2447.95056,-3.17944,-0.4286,1.0656,-0.3816,0.9488,20.6249,,
2447.95750,-3.17250,0.2395,1.0747,0.2132,0.9569,20.6249,,
2447.96445,-3.16555,0.8411,1.0749,0.7490,0.9571,19.4350,1.3875,
2447.97139,-3.15861,0.8969,1.0715,0.7986,0.9541,19.3653,1.2971,
2447.97834,-3.15166,-1.4102,1.0681,-1.2556,0.9510,20.6249,,
2447.98528,-3.14472,2.1528,1.0720,1.9169,0.9545,18.4147,0.5407,
2447.99223,-3.13777,1.8677,1.0725,1.6630,0.9550,18.5689,0.6235,
2447.99917,-3.13083,0.2388,1.0633,0.2126,0.9468,20.6249,,
2448.00612,-3.12388,0.3836,1.0585,0.3416,0.9425,20.2875,2.9960,
2448.01306,-3.11694,-1.6004,1.0772,-1.4250,0.9591,20.6249,,
2448.02001,-3.10999,1.5604,1.0553,1.3894,0.9397,18.7641,0.7343,
2448.02695,-3.10305,1.8147,1.0665,1.6158,0.9496,18.6002,0.6381,
2448.03390,-3.09610,0.0615,1.0659,0.0548,0.9491,20.6249,,
2448.04084,-3.08916,-0.1416,1.0812,-0.1261,0.9627,20.6249,,
2448.04779,-3.08221,-2.3291,1.0535,-2.0738,0.9380,20.6249,,
2448.05473,-3.07527,1.5747,1.0604,1.4021,0.9442,18.7542,0.7312,
2448.06168,-3.06832,1.7399,1.0504,1.5492,0.9352,18.6459,0.6554,
2448.06862,-3.06138,1.0967,1.0565,0.9765,0.9407,19.1469,1.0459,
2448.07557,-3.05443,-0.7457,1.0573,-0.6639,0.9414,20.6249,,
2448.08251,-3.04749,-0.2318,1.0491,-0.2064,0.9342,20.6249,,
2448.08946,-3.04054,-1.9188,1.0456,-1.7085,0.9310,20.6249,,
2448.09640,-3.03360,-0.6570,1.0620,-0.5850,0.9456,20.6249,,
2448.10335,-3.02665,-0.1515,1.0414,-0.1349,0.9273,20.6249,,
2448.11029,-3.01971,-1.1879,1.0470,-1.0577,0.9323,20.6249,,
2448.11724,-3.01276,-0.6158,1.0596,-0.5483,0.9434,20.6249,,
2448.12418,-3.00582,-0.7456,1.0384,-0.6639,0.9246,20.6249,,
2448.13113,-2.99887,-1.0151,1.0484,-0.9038,0.9335,20.6249,,
2448.13807,-2.99193,0.3813,1.0452,0.3395,0.9307,20.2941,2.9763,
2448.14502,-2.98498,0.6275,1.0499,0.5587,0.9348,19.7531,1.8166,
2448.15196,-2.97804,2.0103,1.0387,1.7900,0.9248,18.4890,0.5610,
2448.15891,-2.97109,0.7029,1.0327,0.6259,0.9196,19.6300,1.5952,
2448.16585,-2.96415,-0.0281,1.0240,-0.0251,0.9118,20.6249,,
2448.17280,-2.95720,0.0395,1.0294,0.0351,0.9165,20.6249,,
