BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2447.69475,-11.67525,0.0721,0.8132,0.0322,0.3626,20.3064,0.0,
2447.70170,-11.66830,2.3130,0.8145,1.0315,0.3632,18.3367,0.3823,0.0
2447.70864,-11.66136,-0.4228,0.8130,-0.1886,0.3626,20.3064,0.0,
2447.72253,-11.64747,0.5613,0.8139,0.2503,0.3630,19.8742,1.5742,0.0
2447.72948,-11.64052,0.8567,0.8140,0.3821,0.3630,19.4151,1.0316,0.0
2447.75726,-11.61274,1.6523,0.8151,0.7368,0.3635,18.7020,0.5356,0.0
2447.76420,-11.60580,0.5103,0.8144,0.2276,0.3632,19.9777,1.7329,0.0
2447.77115,-11.59885,-1.0223,0.8132,-0.4559,0.3627,20.3064,0.0,
2447.77809,-11.59191,1.4994,0.8143,0.6687,0.3631,18.8074,0.5897,0.0
2447.79198,-11.57802,-0.7765,0.8133,-0.3463,0.3627,20.3064,0.0,
2447.79893,-11.57107,0.4160,0.8145,0.1855,0.3632,20.1994,2.1257,0.0
2447.80587,-11.56413,0.3121,0.8133,0.1392,0.3627,20.3064,0.0,
2447.81282,-11.55718,-0.0132,0.8125,-0.0059,0.3623,20.3064,0.0,
2447.81976,-11.55024,0.3726,0.8138,0.1662,0.3629,20.3064,0.0,
2447.82671,-11.54329,-0.8041,0.8125,-0.3586,0.3623,20.3064,0.0,
2447.83365,-11.53635,0.5047,0.8137,0.2251,0.3629,19.9897,1.7505,0.0
2447.84060,-11.52940,1.4825,0.8146,0.6611,0.3633,18.8197,0.5966,0.0
2447.84754,-11.52246,1.1725,0.8137,0.5229,0.3629,19.0745,0.7535,0.0
2447.85449,-11.51551,0.7652,0.8127,0.3412,0.3624,19.5378,1.1532,0.0
2447.86143,-11.50857,0.8707,0.8138,0.3883,0.3629,19.3975,1.0148,0.0
2447.86837,-11.50163,-0.6086,0.8121,-0.2714,0.3622,20.3064,0.0,
2447.87532,-11.49468,-0.7996,0.8123,-0.3566,0.3623,20.3064,0.0,
2447.88226,-11.48774,0.1266,0.8133,0.0565,0.3627,20.3064,0.0,
2447.88921,-11.48079,-0.4323,0.8128,-0.1928,0.3625,20.3064,0.0,
2447.89615,-11.47385,1.2477,0.8130,0.5564,0.3626,19.0070,0.7075,0.0
2447.90310,-11.46690,-0.4146,0.8119,-0.1849,0.3621,20.3064,0.0,
2447.91005,-11.45995,0.2770,0.8121,0.1235,0.3622,20.3064,0.0,
2447.91699,-11.45301,-0.3466,0.8124,-0.1546,0.3623,20.3064,0.0,
2447.92394,-11.44606,0.5385,0.8132,0.2402,0.3626,19.9192,1.6395,0.0
2447.93088,-11.43912,0.2785,0.8125,0.1242,0.3624,20.3064,0.0,
2447.93783,-11.43217,-0.5241,0.8124,-0.2337,0.3623,20.3064,0.0,
2447.94477,-11.42523,0.8678,0.8124,0.3870,0.3623,19.4012,1.0165,0.0
2447.95172,-11.41828,-0.6344,0.8112,-0.2829,0.3618,20.3064,0.0,
2447.95866,-11.41134,0.2818,0.8105,0.1257,0.3614,20.3064,0.0,
2447.96561,-11.40439,2.6859,0.8133,1.1978,0.3627,18.1745,0.3287,0.0
2447.97255,-11.39745,0.0855,0.8121,0.0381,0.3622,20.3064,0.0,
2447.97950,-11.39050,0.1096,0.8121,0.0489,0.3622,20.3064,0.0,
2447.98644,-11.38356,-0.1286,0.8123,-0.0574,0.3622,20.3064,0.0,
2447.99338,-11.37662,-0.4830,0.8122,-0.2154,0.3622,20.3064,0.0,
2448.00033,-11.36967,-0.2761,0.8111,-0.1231,0.3617,20.3064,0.0,
2448.00727,-11.36273,-0.6308,0.8110,-0.2813,0.3617,20.3064,0.0,
2448.01422,-11.35578,-0.2363,0.8119,-0.1054,0.3621,20.3064,0.0,
2448.02116,-11.34884,0.6153,0.8124,0.2744,0.3623,19.7745,1.4336,0.0
2448.02811,-11.34189,-0.7206,0.8111,-0.3214,0.3617,20.3064,0.0,
2448.03505,-11.33495,0.9985,0.8123,0.4453,0.3622,19.2488,0.8832,0.0
2448.04200,-11.32800,0.5219,0.8129,0.2327,0.3625,19.9532,1.6911,0.0
2448.04894,-11.32106,0.1526,0.8126,0.0680,0.3624,20.3064,0.0,
2448.05589,-11.31411,0.8510,0.8090,0.3795,0.3608,19.4223,1.0321,0.0
2448.06283,-11.30717,-0.1952,0.8089,-0.0870,0.3607,20.3064,0.0,
2448.06978,-11.30022,-0.4079,0.8117,-0.1819,0.3620,20.3064,0.0,
2448.07672,-11.29328,-0.0871,0.8113,-0.0388,0.3618,20.3064,0.0,
2448.08367,-11.28633,0.2647,0.8119,0.1180,0.3621,20.3064,0.0,
