BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2461.37644,2.00644,0.04903,0.14993,0.02186,0.06686,20.16019,0.15364,0.00000
2461.61580,2.24580,0.24129,0.13448,0.10761,0.05997,19.89553,0.13157,0.00000
2461.86581,2.49581,0.35180,0.13441,0.15689,0.05994,19.78553,0.09669,0.00000
2462.11583,2.74583,0.65016,0.13447,0.28994,0.05997,19.61061,0.13579,0.00000
2462.36584,2.99584,0.24820,0.13465,0.11069,0.06005,19.98479,0.15979,0.00000
2462.61586,3.24586,0.46403,0.13478,0.20693,0.06011,19.79158,0.13996,0.00000
2462.86587,3.49587,0.45889,0.13475,0.20464,0.06009,19.74958,0.11347,0.00000
2463.11588,3.74588,0.19991,0.13469,0.08914,0.06007,19.95125,0.13850,0.00000
2463.36590,3.99590,0.35552,0.13464,0.15854,0.06005,19.81369,0.13713,0.00000
2463.61591,4.24591,0.51056,0.13466,0.22770,0.06005,19.75691,0.15087,0.00000
2463.86592,4.49592,0.55152,0.13475,0.24596,0.06009,19.72592,0.14331,0.00000
2464.11594,4.74594,0.68204,0.13481,0.30416,0.06012,19.64445,0.16277,0.00000
2464.36595,4.99595,0.89780,0.13487,0.40038,0.06015,19.43668,0.13086,0.00000
2464.61596,5.24596,0.54497,0.13495,0.24302,0.06018,19.76903,0.12045,0.00000
2464.86598,5.49598,0.58529,0.13513,0.26101,0.06026,19.74090,0.15851,0.00000
2465.11599,5.74599,0.79024,0.13508,0.35242,0.06024,19.51811,0.11432,0.00000
2465.36600,5.99600,0.73771,0.13499,0.32898,0.06020,19.57726,0.12929,0.00000
2465.61601,6.24601,0.78247,0.13480,0.34895,0.06011,19.53915,0.16941,0.00000
2465.86494,6.49494,1.11509,0.13676,0.49728,0.06099,19.23651,0.13535,0.00000
2466.11604,6.74604,1.20884,0.13499,0.53908,0.06020,19.15867,0.14823,0.00000
2466.36605,6.99605,1.16643,0.13519,0.52017,0.06029,19.22376,0.11901,0.00000
2466.61606,7.24606,1.29179,0.13533,0.57608,0.06035,19.09681,0.15568,0.00000
2466.86607,7.49607,1.32309,0.13540,0.59004,0.06038,19.11036,0.11778,0.00000
2467.10687,7.73687,1.14591,0.15085,0.51102,0.06728,19.21614,0.14378,0.00000
2467.36610,7.99610,1.62731,0.13534,0.72570,0.06036,18.85581,0.10374,0.00000
2467.61611,8.24611,1.48707,0.13546,0.66317,0.06041,18.98148,0.12988,0.00000
2467.86612,8.49612,1.83095,0.13542,0.81652,0.06039,18.66796,0.10503,0.00000
2468.11613,8.74613,1.64729,0.13534,0.73461,0.06035,18.84006,0.12096,0.00000
2468.36614,8.99614,1.74911,0.13551,0.78002,0.06043,18.77783,0.12128,0.00000
2468.61616,9.24616,1.70494,0.13564,0.76032,0.06049,18.77866,0.11561,0.00000
2468.86617,9.49617,1.75299,0.13684,0.78175,0.06102,18.78708,0.10199,0.00000
2469.11618,9.74618,1.73489,0.13872,0.77368,0.06186,18.83996,0.14287,0.00000
2469.36619,9.99619,1.80180,0.13904,0.80352,0.06201,18.69753,0.09867,0.00000
2469.61620,10.24620,1.49374,0.14120,0.66614,0.06297,18.96738,0.13514,0.00000
2469.86621,10.49621,1.68458,0.14342,0.75124,0.06396,18.80548,0.09900,0.00000
2470.11622,10.74622,1.78811,0.14575,0.79742,0.06500,18.77713,0.12055,0.00000
2470.36623,10.99623,1.88667,0.14630,0.84137,0.06525,18.66992,0.12420,0.00000
2470.60971,11.23971,0.98886,0.15815,0.44099,0.07053,19.28709,0.16313,0.00000
2470.84567,11.47567,2.26365,0.18197,1.00949,0.08115,18.47392,0.09493,0.00000
2471.04508,11.67508,2.21756,0.35059,0.98893,0.15635,18.56035,0.16522,0.00000
2474.21362,14.84361,1.33082,0.42545,0.59350,0.18972,19.15423,0.64281,1.29100
2474.36987,14.99987,2.00997,0.12948,0.89636,0.05774,18.58581,0.09136,1.29100
2474.61651,15.24651,2.36067,0.13332,1.05275,0.05945,18.39749,0.08186,1.29100
2474.86642,15.49642,1.92155,0.13245,0.85693,0.05907,18.61252,0.09835,1.29100
2475.09212,15.72212,2.65504,0.14523,1.18402,0.06476,18.22460,0.06632,1.29100
