BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2448.75639,0.12639,0.12425,0.17402,0.05421,0.07592,19.60649,0.35902,
2449.00854,0.37854,0.04862,0.17706,0.02121,0.07724,19.51454,0.29577,
2449.25589,0.62589,0.21126,0.17198,0.09216,0.07502,19.55492,0.30451,
2449.50936,0.87936,0.12442,0.16905,0.05428,0.07374,19.55154,0.28794,
2449.75936,1.12936,0.34353,0.17506,0.14987,0.07637,19.48495,0.29823,
2450.00935,1.37935,0.20102,0.16956,0.08768,0.07397,19.55819,0.30601,
2450.26282,1.63282,0.16788,0.17322,0.07324,0.07557,19.52206,0.29310,
2450.51282,1.88282,0.17391,0.17072,0.07586,0.07447,19.51173,0.28121,
2450.76282,2.13282,0.23148,0.17511,0.10098,0.07639,19.54283,0.32732,
2451.01282,2.38282,0.19247,0.17482,0.08396,0.07626,19.54212,0.31161,
2451.26281,2.63281,0.32487,0.17278,0.14172,0.07537,19.56665,0.33301,
2451.51281,2.88281,0.22526,0.18585,0.09826,0.08107,19.47747,0.29083,
2451.68741,3.05741,0.44902,0.31238,0.19588,0.13627,19.43384,0.44235,
2457.07176,8.44176,1.15857,0.45987,0.50541,0.20061,19.18381,0.33560,
2457.30301,8.67301,1.51678,0.44767,0.66168,0.19529,18.95156,0.45609,
2457.47019,8.84019,1.45998,0.35468,0.63688,0.15472,18.96231,0.34933,
2461.30653,12.67653,1.15163,0.29142,0.50236,0.12712,19.06924,0.27246,
2461.51265,12.88265,1.32905,0.16184,0.57977,0.07060,19.02079,0.17117,
2461.76265,13.13265,1.45679,0.16114,0.63549,0.07029,18.93621,0.14447,
2462.01264,13.38264,1.16250,0.16093,0.50711,0.07020,19.12165,0.17104,
2462.26263,13.63263,1.53953,0.16357,0.67159,0.07135,18.86176,0.13217,
2462.51262,13.88262,1.45687,0.16469,0.63553,0.07184,18.91634,0.15401,
2462.76262,14.13262,1.39357,0.16276,0.60791,0.07100,18.95351,0.15102,
2463.01261,14.38261,1.42078,0.15942,0.61978,0.06955,18.93228,0.14310,
2463.26260,14.63260,1.72422,0.15695,0.75216,0.06846,18.77418,0.12461,
2463.51259,14.88259,1.82997,0.15556,0.79829,0.06786,18.69679,0.12277,
2463.76259,15.13259,1.58181,0.15479,0.69002,0.06753,18.87009,0.13069,
2464.01258,15.38258,1.86999,0.15612,0.81574,0.06810,18.63445,0.10699,
2464.26257,15.63257,2.00378,0.15619,0.87410,0.06813,18.58298,0.10889,
2464.51256,15.88256,1.85683,0.15604,0.81000,0.06807,18.64637,0.11297,
2464.76255,16.13255,1.68284,0.15247,0.73410,0.06651,18.76209,0.11793,
2465.01255,16.38255,1.95725,0.15613,0.85380,0.06811,18.63066,0.11126,
2465.26254,16.63254,1.99574,0.15671,0.87060,0.06836,18.56961,0.10240,
2465.51253,16.88253,1.89030,0.15818,0.82460,0.06900,18.65937,0.11367,
2465.76480,17.13480,2.10973,0.15974,0.92032,0.06968,18.55214,0.10972,
2466.01559,17.38559,1.98429,0.16413,0.86560,0.07160,18.57039,0.10045,
2466.26250,17.63250,1.93276,0.16000,0.84312,0.06980,18.66038,0.12172,
2466.51249,17.88249,2.27383,0.16414,0.99191,0.07160,18.43710,0.10084,
2466.76249,18.13249,2.32306,0.15940,1.01338,0.06953,18.40719,0.09168,
2466.92220,18.29220,2.52343,0.30388,1.10079,0.13256,18.27839,0.14443,
