BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2447.69676,-1.27324,0.9624,0.8192,0.5128,0.4365,19.2888,0.9241,
2447.70370,-1.26630,0.0683,0.8264,0.0364,0.4404,20.3889,,
2447.71064,-1.25936,1.0369,0.8903,0.5525,0.4744,19.2078,0.9322,
2447.72453,-1.24547,-0.6145,0.8812,-0.3274,0.4695,20.3889,,
2447.73148,-1.23852,0.3182,0.8817,0.1696,0.4698,20.3889,,
2447.75926,-1.21074,0.2680,0.8904,0.1428,0.4745,20.3889,,
2447.76620,-1.20380,-0.9009,0.9972,-0.4800,0.5313,20.3889,,
2447.77315,-1.19685,-1.0183,0.9789,-0.5426,0.5216,20.3889,,
2447.78009,-1.18991,-0.2923,0.9607,-0.1558,0.5119,20.3889,,
2447.79398,-1.17602,0.3309,0.8952,0.1763,0.4770,20.3889,,
2447.80787,-1.16213,-0.7192,0.8967,-0.3832,0.4778,20.3889,,
2447.81481,-1.15519,-0.0094,0.8711,-0.0050,0.4642,20.3889,,
2447.82176,-1.14824,-0.2954,0.8762,-0.1574,0.4669,20.3889,,
2447.82870,-1.14130,1.0829,0.8371,0.5770,0.4460,19.1607,0.8393,
2447.83565,-1.13435,-0.5661,0.8412,-0.3017,0.4482,20.3889,,
2447.84259,-1.12741,0.2828,1.0708,0.1507,0.5706,20.3889,,
2447.84953,-1.12047,-0.2004,0.8575,-0.1068,0.4569,20.3889,,
2447.85648,-1.11352,0.8188,0.8831,0.4363,0.4706,19.4643,1.1710,
2447.86342,-1.10658,-0.9051,1.0118,-0.4823,0.5392,20.3889,,
2447.87037,-1.09963,1.2160,0.8540,0.6479,0.4551,19.0349,0.7625,
2447.87731,-1.09269,0.4211,0.8270,0.2244,0.4407,20.1861,2.1320,
2447.88426,-1.08574,-1.7852,0.8419,-0.9513,0.4486,20.3889,,
2447.89120,-1.07880,-0.2613,0.8358,-0.1392,0.4454,20.3889,,
2447.89815,-1.07185,1.7858,0.8644,0.9516,0.4606,18.6176,0.5256,
2447.90509,-1.06491,0.6660,0.8898,0.3549,0.4741,19.6886,1.4506,
2447.91204,-1.05796,-0.4725,0.8673,-0.2518,0.4622,20.3889,,
2447.91898,-1.05102,-0.2291,0.9058,-0.1221,0.4827,20.3889,,
2447.92592,-1.04408,1.0477,0.8539,0.5583,0.4550,19.1966,0.8849,
2447.93287,-1.03713,-0.0961,0.8690,-0.0512,0.4631,20.3889,,
2447.93981,-1.03019,-1.2164,0.8646,-0.6482,0.4607,20.3889,,
2447.94676,-1.02324,-0.0559,0.8720,-0.0298,0.4647,20.3889,,
2447.95370,-1.01630,-0.1166,0.8523,-0.0621,0.4542,20.3889,,
2447.96065,-1.00935,-1.0478,0.9085,-0.5583,0.4841,20.3889,,
2447.96759,-1.00241,-0.7177,0.8440,-0.3824,0.4497,20.3889,,
2447.97454,-0.99546,0.3946,0.8767,0.2103,0.4672,20.2567,2.4120,
2447.98148,-0.98852,-2.4555,0.8698,-1.3084,0.4635,20.3889,,
2447.98843,-0.98157,-0.1379,0.8707,-0.0735,0.4640,20.3889,,
2447.99537,-0.97463,0.8222,0.8516,0.4381,0.4538,19.4598,1.1246,
2448.00231,-0.96769,0.9863,0.8867,0.5256,0.4725,19.2621,0.9760,
2448.00926,-0.96074,0.0736,0.9198,0.0392,0.4901,20.3889,,
2448.01620,-0.95380,-0.8972,0.8981,-0.4781,0.4786,20.3889,,
2448.02315,-0.94685,0.9034,0.8755,0.4814,0.4665,19.3575,1.0521,
2448.03009,-0.93991,0.7849,0.8964,0.4182,0.4777,19.5102,1.2400,
2448.03704,-0.93296,0.1995,0.8677,0.1063,0.4624,20.3889,,
2448.04398,-0.92602,0.3789,0.8717,0.2019,0.4645,20.3008,2.4976,
2448.05093,-0.91907,1.1623,0.9105,0.6193,0.4852,19.0839,0.8505,
2448.05787,-0.91213,-0.7167,0.8836,-0.3819,0.4709,20.3889,,
2448.06482,-0.90518,0.2257,0.8896,0.1203,0.4740,20.3889,,
2448.07176,-0.89824,0.1997,0.8908,0.1064,0.4747,20.3889,,
2448.07870,-0.89130,0.4631,0.9162,0.2468,0.4882,20.0829,2.1478,
2448.08565,-0.88435,-0.9902,0.9243,-0.5276,0.4925,20.3889,,
2448.09259,-0.87741,-0.5207,0.9052,-0.2775,0.4823,20.3889,,
2448.09954,-0.87046,1.2012,0.8693,0.6401,0.4632,19.0482,0.7858,
2448.10648,-0.86352,0.7162,0.8950,0.3816,0.4769,19.6096,1.3568,
2448.11343,-0.85657,-0.1260,0.9004,-0.0671,0.4798,20.3889,,
2448.12037,-0.84963,0.9909,0.9126,0.5280,0.4863,19.2571,1.0000,
2448.12732,-0.84268,-0.5215,0.8732,-0.2779,0.4653,20.3889,,
2448.13426,-0.83574,-1.5737,0.8759,-0.8385,0.4667,20.3889,,
2448.14121,-0.82879,0.9111,0.8657,0.4855,0.4613,19.3483,1.0317,
