BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.19548,-3.17452,2.7142,0.8531,0.1147,0.0361,18.1631,0.3413,
2474.20242,-3.16758,-0.4209,1.0584,-0.0178,0.0447,20.2554,,
2474.21631,-3.15369,0.3376,0.9440,0.0143,0.0399,20.2554,,
2474.23715,-3.13285,0.6058,0.8289,0.0256,0.0350,19.7914,1.4856,
2474.25104,-3.11896,-0.0916,0.8385,-0.0039,0.0354,20.2554,,
2474.25798,-3.11202,-1.5747,0.8460,-0.0666,0.0358,20.2554,,
2474.26493,-3.10507,-0.5583,0.8453,-0.0236,0.0357,20.2554,,
2474.27187,-3.09813,-1.9512,0.8463,-0.0825,0.0358,20.2554,,
2474.27882,-3.09118,-1.6161,0.8557,-0.0683,0.0362,20.2554,,
2474.28576,-3.08424,1.6413,0.8286,0.0694,0.0350,18.7092,0.5481,
2474.29271,-3.07729,1.9645,0.8171,0.0830,0.0345,18.5141,0.4516,
2474.29965,-3.07035,-0.5396,0.8267,-0.0228,0.0349,20.2554,,
2474.30660,-3.06340,0.1177,0.8278,0.0050,0.0350,20.2554,,
2474.31354,-3.05646,-0.0003,0.8439,-0.0000,0.0357,20.2554,,
2474.32049,-3.04951,-0.1983,0.8493,-0.0084,0.0359,20.2554,,
2474.32743,-3.04257,0.0896,0.8405,0.0038,0.0355,20.2554,,
2474.33438,-3.03562,0.0899,0.8382,0.0038,0.0354,20.2554,,
2474.34132,-3.02868,1.3165,0.8479,0.0557,0.0358,18.9486,0.6993,
2474.34827,-3.02173,-0.2497,0.8567,-0.0106,0.0362,20.2554,,
2474.35521,-3.01479,0.1862,0.8390,0.0079,0.0355,20.2554,,
2474.36216,-3.00784,-0.6790,0.8468,-0.0287,0.0358,20.2554,,
2474.36910,-3.00090,-0.2078,0.8543,-0.0088,0.0361,20.2554,,
2474.37605,-2.99395,0.0306,0.8371,0.0013,0.0354,20.2554,,
2474.38299,-2.98701,-0.2667,0.8440,-0.0113,0.0357,20.2554,,
2474.38994,-2.98006,-2.0456,0.8460,-0.0865,0.0358,20.2554,,
2474.39688,-2.97312,-1.0544,0.8484,-0.0446,0.0359,20.2554,,
2474.40383,-2.96617,-0.5219,0.8645,-0.0221,0.0365,20.2554,,
2474.41077,-2.95923,-0.0780,0.8547,-0.0033,0.0361,20.2554,,
2474.41772,-2.95228,-1.4171,0.8449,-0.0599,0.0357,20.2554,,
2474.42466,-2.94534,0.1373,0.8355,0.0058,0.0353,20.2554,,
2474.43161,-2.93839,1.3804,0.8186,0.0584,0.0346,18.8972,0.6439,
2474.43855,-2.93145,1.8714,0.8641,0.0791,0.0365,18.5668,0.5013,
2474.44550,-2.92450,1.1099,0.8600,0.0469,0.0364,19.1340,0.8413,
2474.45244,-2.91756,-0.6818,0.8377,-0.0288,0.0354,20.2554,,
2474.45939,-2.91061,-0.1951,0.8614,-0.0082,0.0364,20.2554,,
2474.46633,-2.90367,-0.7993,0.8326,-0.0338,0.0352,20.2554,,
2474.47328,-2.89672,-0.2894,0.8409,-0.0122,0.0355,20.2554,,
2474.48022,-2.88978,-2.0670,0.8719,-0.0874,0.0369,20.2554,,
2474.48717,-2.88283,0.1598,0.8529,0.0068,0.0361,20.2554,,
2474.49411,-2.87589,0.7325,0.8600,0.0310,0.0364,19.5851,1.2746,
2474.50105,-2.86895,-0.5661,0.8684,-0.0239,0.0367,20.2554,,
2474.50800,-2.86200,-1.4967,0.8573,-0.0633,0.0362,20.2554,,
2474.51494,-2.85506,-1.4364,0.8507,-0.0607,0.0360,20.2554,,
2474.52189,-2.84811,-0.9927,0.8660,-0.0420,0.0366,20.2554,,
2474.52883,-2.84117,-1.1527,0.8447,-0.0487,0.0357,20.2554,,
2474.53578,-2.83422,0.0007,0.8305,0.0000,0.0351,20.2554,,
2474.54272,-2.82728,0.8209,0.8389,0.0347,0.0355,19.4615,1.1096,
2474.54967,-2.82033,1.3041,0.8097,0.0551,0.0342,18.9589,0.6741,
2474.55661,-2.81339,1.3378,0.8393,0.0566,0.0355,18.9312,0.6811,
2474.56356,-2.80644,-0.0607,0.8451,-0.0026,0.0357,20.2554,,
2474.57050,-2.79950,-0.1822,0.8461,-0.0077,0.0358,20.2554,,
2474.57745,-2.79255,0.4968,0.8399,0.0210,0.0355,20.0067,1.8356,
2474.58439,-2.78561,1.0322,0.8192,0.0436,0.0346,19.2128,0.8618,
2474.59134,-2.77866,1.8535,0.8023,0.0784,0.0339,18.5772,0.4700,
2474.59828,-2.77172,-1.2054,0.8320,-0.0510,0.0352,20.2554,,
2474.60523,-2.76477,-0.1110,0.8310,-0.0047,0.0351,20.2554,,
2474.61217,-2.75783,-0.6306,0.8287,-0.0267,0.0350,20.2554,,
2474.61912,-2.75088,0.9560,0.8340,0.0404,0.0353,19.2961,0.9473,
2474.62606,-2.74394,0.0978,0.8509,0.0041,0.0360,20.2554,,
2474.63301,-2.73699,-1.2003,0.8577,-0.0507,0.0363,20.2554,,
2474.63995,-2.73005,-1.5109,0.8673,-0.0639,0.0367,20.2554,,
2474.64690,-2.72310,-0.5774,0.8554,-0.0244,0.0362,20.2554,,
2474.65384,-2.71616,-0.0051,0.8776,-0.0002,0.0371,20.2554,,
2474.66079,-2.70921,0.8475,0.8559,0.0358,0.0362,19.4268,1.0965,
