BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2477.49777,0.12777,0.74946,0.13995,0.03169,0.00592,19.51963,0.21350,
2477.74778,0.37778,0.47656,0.13977,0.02015,0.00591,19.70400,0.26199,
2477.99780,0.62780,0.11808,0.14010,0.00500,0.00592,19.91454,0.31552,
2478.25536,0.88536,0.32378,0.15580,0.01369,0.00659,19.75400,0.27303,
2478.49783,1.12783,0.42697,0.14108,0.01805,0.00596,19.85072,0.31521,
2478.74784,1.37784,0.46044,0.14131,0.01947,0.00597,19.69717,0.25192,
2478.99785,1.62785,1.06425,0.13935,0.04499,0.00589,19.21519,0.15592,
2479.24787,1.87787,0.74378,0.14148,0.03144,0.00598,19.55135,0.22414,
2479.49788,2.12788,1.01346,0.14312,0.04284,0.00605,19.29807,0.18760,
2479.74789,2.37789,1.35481,0.14288,0.05727,0.00604,19.10779,0.15473,
2479.99791,2.62791,1.78384,0.14189,0.07541,0.00600,18.84840,0.14098,
2480.24792,2.87792,2.19281,0.13973,0.09271,0.00591,18.53543,0.09887,
2480.49793,3.12793,2.15532,0.14135,0.09112,0.00598,18.55573,0.09696,
2480.74795,3.37795,2.18159,0.14524,0.09223,0.00614,18.52547,0.09533,
2480.99796,3.62796,2.85855,0.14312,0.12085,0.00605,18.24409,0.09271,
2481.24797,3.87797,2.84418,0.14538,0.12023,0.00615,18.18746,0.06903,
2481.49799,4.12799,3.39032,0.14457,0.14332,0.00611,17.96477,0.05416,
2481.74800,4.37800,4.25061,0.14233,0.17969,0.00602,17.71082,0.04011,
2481.99801,4.62801,4.39339,0.14062,0.18573,0.00595,17.68304,0.04189,
2482.25557,4.88557,4.89384,0.16324,0.20688,0.00690,17.54866,0.03883,
2482.49803,5.12803,4.92826,0.14709,0.20833,0.00622,17.54930,0.03544,
2482.74805,5.37805,5.26217,0.14953,0.22245,0.00632,17.46774,0.03302,
2482.99806,5.62806,5.80198,0.15178,0.24527,0.00642,17.37165,0.03186,
2483.23765,5.86765,6.16129,0.16085,0.26046,0.00680,17.28302,0.02913,
2487.29340,9.92340,13.90011,0.18667,0.58762,0.00789,16.39255,0.01470,
2487.49827,10.12827,14.09840,0.14272,0.59600,0.00603,16.37656,0.01106,
2487.74829,10.37829,14.32528,0.14367,0.60558,0.00607,16.35930,0.01096,
2487.99830,10.62830,14.61363,0.14630,0.61778,0.00618,16.33989,0.01101,
2488.24831,10.87831,14.95946,0.14486,0.63240,0.00612,16.31290,0.01060,
2488.49832,11.12832,14.15020,0.14376,0.59819,0.00608,16.37817,0.01127,
