BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.18271,-12.05729,6.0396,2.2043,1.0700,0.3905,17.2947,0.3963,
2474.21744,-12.02256,3.1696,1.5642,0.5615,0.2771,17.9947,0.5358,
2474.23827,-12.00173,-0.2568,1.4936,-0.0455,0.2646,18.9264,,
2474.25216,-11.98784,0.8579,1.4981,0.1520,0.2654,18.9264,,
2474.25911,-11.98089,-2.9295,1.4950,-0.5190,0.2649,18.9264,,
2474.26605,-11.97395,0.5254,1.4963,0.0931,0.2651,18.9264,,
2474.27299,-11.96701,-2.6387,1.4953,-0.4675,0.2649,18.9264,,
2474.27994,-11.96006,0.0651,1.4953,0.0115,0.2649,18.9264,,
2474.28688,-11.95312,0.5492,1.4957,0.0973,0.2650,18.9264,,
2474.29383,-11.94617,-1.0917,1.4929,-0.1934,0.2645,18.9264,,
2474.30077,-11.93923,-3.6562,1.4927,-0.6477,0.2645,18.9264,,
2474.30772,-11.93228,-0.5076,1.4899,-0.0899,0.2639,18.9264,,
2474.31466,-11.92534,-2.1048,1.4924,-0.3729,0.2644,18.9264,,
2474.32161,-11.91839,1.2380,1.4942,0.2193,0.2647,18.9264,,
2474.32855,-11.91145,-3.6899,1.4893,-0.6537,0.2639,18.9264,,
2474.33550,-11.90450,-0.6630,1.4935,-0.1175,0.2646,18.9264,,
2474.34244,-11.89756,0.0968,1.4897,0.0172,0.2639,18.9264,,
2474.34939,-11.89061,-3.0665,1.4951,-0.5433,0.2649,18.9264,,
2474.35633,-11.88367,0.1696,1.4909,0.0301,0.2641,18.9264,,
2474.36327,-11.87673,-0.7958,1.4901,-0.1410,0.2640,18.9264,,
2474.37022,-11.86978,0.1571,1.4890,0.0278,0.2638,18.9264,,
2474.37716,-11.86284,0.1086,1.4904,0.0192,0.2640,18.9264,,
2474.38411,-11.85589,-1.9424,1.4937,-0.3441,0.2646,18.9264,,
2474.39105,-11.84895,-1.0500,1.4970,-0.1860,0.2652,18.9264,,
2474.39800,-11.84200,0.7342,1.4956,0.1301,0.2650,18.9264,,
2474.40494,-11.83506,-1.2955,1.4941,-0.2295,0.2647,18.9264,,
2474.41189,-11.82811,-1.7337,1.4942,-0.3072,0.2647,18.9264,,
2474.41883,-11.82117,-0.1299,1.4982,-0.0230,0.2654,18.9264,,
2474.42578,-11.81422,-0.1275,1.4946,-0.0226,0.2648,18.9264,,
2474.43272,-11.80728,-1.8349,1.4987,-0.3251,0.2655,18.9264,,
2474.43967,-11.80033,-0.5273,1.4993,-0.0934,0.2656,18.9264,,
2474.44661,-11.79339,0.1438,1.4992,0.0255,0.2656,18.9264,,
2474.45356,-11.78644,-0.2805,1.5008,-0.0497,0.2659,18.9264,,
2474.46050,-11.77950,-0.2514,1.5036,-0.0445,0.2664,18.9264,,
2474.46744,-11.77256,-1.5797,1.4937,-0.2799,0.2646,18.9264,,
2474.47439,-11.76561,-0.4920,1.5016,-0.0872,0.2660,18.9264,,
2474.48133,-11.75867,-1.3180,1.5000,-0.2335,0.2657,18.9264,,
2474.48828,-11.75172,2.7123,1.5054,0.4805,0.2667,18.1638,0.6026,
2474.49522,-11.74478,1.6139,1.5031,0.2859,0.2663,18.7275,1.0112,
2474.50217,-11.73783,1.4662,1.5001,0.2598,0.2658,18.8317,1.1109,
2474.50911,-11.73089,-1.0929,1.4988,-0.1936,0.2655,18.9264,,
2474.51606,-11.72394,0.4524,1.5006,0.0801,0.2658,18.9264,,
2474.52300,-11.71700,-1.3224,1.4989,-0.2343,0.2655,18.9264,,
2474.52995,-11.71005,-1.2923,1.5012,-0.2290,0.2660,18.9264,,
2474.53689,-11.70311,0.1395,1.4987,0.0247,0.2655,18.9264,,
2474.54384,-11.69616,0.9230,1.4992,0.1635,0.2656,18.9264,,
2474.55078,-11.68922,-1.9557,1.4984,-0.3465,0.2655,18.9264,,
2474.55773,-11.68227,1.4656,1.4978,0.2597,0.2654,18.8321,1.1096,
2474.56467,-11.67533,1.4211,1.4989,0.2518,0.2655,18.8656,1.1451,
2474.57161,-11.66839,0.1470,1.4972,0.0260,0.2652,18.9264,,
2474.57856,-11.66144,-0.7964,1.4922,-0.1411,0.2644,18.9264,,
2474.58550,-11.65450,1.1464,1.4981,0.2031,0.2654,18.9264,,
2474.59245,-11.64755,-0.5713,1.4962,-0.1012,0.2651,18.9264,,
2474.59939,-11.64061,-0.2472,1.4923,-0.0438,0.2644,18.9264,,
2474.60634,-11.63366,0.5210,1.4992,0.0923,0.2656,18.9264,,
2474.61328,-11.62672,0.9500,1.4993,0.1683,0.2656,18.9264,,
2474.62023,-11.61977,-1.4599,1.4976,-0.2586,0.2653,18.9264,,
2474.62717,-11.61283,2.6217,1.4971,0.4645,0.2652,18.2008,0.6200,
2474.63412,-11.60588,0.0066,1.4932,0.0012,0.2646,18.9264,,
2474.64106,-11.59894,-1.7331,1.4953,-0.3070,0.2649,18.9264,,
2474.64801,-11.59199,0.3605,1.4925,0.0639,0.2644,18.9264,,
2474.65495,-11.58505,-2.6599,1.4937,-0.4712,0.2646,18.9264,,
2474.66189,-11.57811,-2.7721,1.4939,-0.4911,0.2647,18.9264,,
2474.66884,-11.57116,1.7930,1.4975,0.3177,0.2653,18.6133,0.9068,
2474.67578,-11.56422,2.1151,1.4939,0.3747,0.2647,18.4339,0.7669,
2474.68273,-11.55727,-0.9759,1.4904,-0.1729,0.2640,18.9264,,
2474.68967,-11.55033,0.4098,1.4934,0.0726,0.2646,18.9264,,
2474.69662,-11.54338,1.2311,1.4971,0.2181,0.2652,18.9264,,
2474.70356,-11.53644,-1.6824,1.4925,-0.2981,0.2644,18.9264,,
2474.71051,-11.52949,0.1793,1.4988,0.0318,0.2655,18.9264,,
2474.71745,-11.52255,0.5208,1.4916,0.0923,0.2643,18.9264,,
2474.72440,-11.51560,-2.5966,1.4954,-0.4600,0.2649,18.9264,,
2474.73134,-11.50866,-0.7972,1.4984,-0.1412,0.2655,18.9264,,
2474.73829,-11.50171,-0.8051,1.4988,-0.1426,0.2655,18.9264,,
2474.74523,-11.49477,1.5826,1.4978,0.2804,0.2654,18.7487,1.0275,
2474.75218,-11.48782,1.0688,1.4975,0.1894,0.2653,18.9264,,
2474.75912,-11.48088,-0.6326,1.4969,-0.1121,0.2652,18.9264,,
2474.76606,-11.47394,-2.1335,1.5014,-0.3780,0.2660,18.9264,,
2474.77301,-11.46699,-1.9910,1.4977,-0.3527,0.2653,18.9264,,
2474.77995,-11.46005,-1.5522,1.4972,-0.2750,0.2652,18.9264,,
2474.78690,-11.45310,-2.3604,1.4995,-0.4182,0.2657,18.9264,,
2474.79384,-11.44616,0.9779,1.4992,0.1733,0.2656,18.9264,,
2474.80079,-11.43921,1.0609,1.5003,0.1880,0.2658,18.9264,,
2474.80773,-11.43227,-1.3076,1.5024,-0.2317,0.2662,18.9264,,
