BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2487.33098,1.09098,0.48755,0.27733,0.08637,0.04913,18.79040,0.29835,
2487.56832,1.32832,1.17470,0.25795,0.20812,0.04570,18.61948,0.18297,
2487.81832,1.57832,0.43681,0.25849,0.07739,0.04580,18.79530,0.28069,
2488.06833,1.82833,0.88700,0.25824,0.15715,0.04575,18.74506,0.22986,
2488.31833,2.07833,1.00851,0.25812,0.17866,0.04573,18.68428,0.20108,
2488.56833,2.32833,0.62986,0.25749,0.11159,0.04562,18.79294,0.27802,
2488.81833,2.57833,1.22462,0.25819,0.21695,0.04574,18.63437,0.18825,
2489.06833,2.82833,1.31681,0.25843,0.23329,0.04578,18.61739,0.18256,
2489.31833,3.07833,1.19409,0.25791,0.21156,0.04569,18.67824,0.20349,
2489.56833,3.32833,1.46043,0.25851,0.25874,0.04580,18.57800,0.17509,
2489.81833,3.57833,1.87971,0.25892,0.33301,0.04587,18.48657,0.15521,
2490.06833,3.82833,2.23852,0.25907,0.39659,0.04590,18.36899,0.13864,
2490.31833,4.07833,2.41355,0.25955,0.42761,0.04598,18.31245,0.13063,
2490.56833,4.32833,2.42097,0.25946,0.42891,0.04597,18.33876,0.13471,
2490.81833,4.57833,2.62176,0.25917,0.46448,0.04592,18.24222,0.11798,
2491.06832,4.82832,2.19752,0.25848,0.38932,0.04579,18.37038,0.13915,
2491.31832,5.07832,2.92263,0.25981,0.51778,0.04603,18.13508,0.10847,
2491.56832,5.32832,2.81361,0.26076,0.49848,0.04620,18.18776,0.11912,
2491.81832,5.57832,3.02159,0.26049,0.53531,0.04615,18.16625,0.12525,
2492.06832,5.82832,3.10973,0.25901,0.55093,0.04589,18.05281,0.10254,
2492.31832,6.07832,3.59687,0.25872,0.63724,0.04584,17.95198,0.09908,
2492.56832,6.32832,3.73662,0.25907,0.66201,0.04590,17.89602,0.08959,
2492.81623,6.57623,4.15239,0.26350,0.73566,0.04668,17.75583,0.08111,
2493.09609,6.85609,4.14984,0.28390,0.73521,0.05030,17.78813,0.09676,
2493.32525,7.08525,4.05211,0.25842,0.71789,0.04578,17.79668,0.08217,
2493.57525,7.33525,5.01478,0.25730,0.88845,0.04558,17.55181,0.06465,
2493.82525,7.58525,4.39396,0.25919,0.77846,0.04592,17.73849,0.08285,
2494.07525,7.83525,4.09150,0.25857,0.72486,0.04581,17.80332,0.08450,
2494.32524,8.08524,5.15982,0.25853,0.91414,0.04580,17.50577,0.06358,
2494.57524,8.33524,5.39219,0.25880,0.95531,0.04585,17.47789,0.05898,
2494.82524,8.58524,5.98895,0.25762,1.06103,0.04564,17.37453,0.05351,
2495.07524,8.83524,5.29860,0.25734,0.93873,0.04559,17.47208,0.05839,
2495.32523,9.08523,4.99202,0.25798,0.88442,0.04570,17.57790,0.06973,
2495.57523,9.33523,5.59102,0.25855,0.99052,0.04581,17.42921,0.06010,
2495.82671,9.58671,5.96127,0.26130,1.05612,0.04629,17.34760,0.05356,
2496.07522,9.83522,5.51358,0.25662,0.97681,0.04547,17.42611,0.05564,
2496.32522,10.08522,5.90983,0.25787,1.04700,0.04569,17.36661,0.05684,
2496.49883,10.25883,5.28414,0.41598,0.93617,0.07370,17.45639,0.08961,
