BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2474.21499,-3.04501,0.0339,1.1542,0.0160,0.5450,20.5873,,
2474.23582,-3.02418,1.3099,1.1630,0.6185,0.5491,18.9541,0.9640,
2474.24971,-3.01029,-0.5755,1.1689,-0.2717,0.5519,20.5873,,
2474.25666,-3.00334,0.4027,1.1479,0.1901,0.5420,20.2348,3.0949,
2474.26360,-2.99640,1.4333,1.1509,0.6768,0.5434,18.8564,0.8719,
2474.27055,-2.98945,2.3250,1.1590,1.0978,0.5472,18.3312,0.5412,
2474.27749,-2.98251,0.1670,1.1362,0.0788,0.5365,20.5873,,
2474.28444,-2.97556,0.2553,1.1442,0.1205,0.5402,20.5873,,
2474.29138,-2.96862,-1.8523,1.1446,-0.8746,0.5404,20.5873,,
2474.29833,-2.96167,-0.4591,1.1504,-0.2168,0.5432,20.5873,,
2474.30527,-2.95473,0.8616,1.1626,0.4068,0.5490,19.4089,1.4651,
2474.31222,-2.94778,-0.5180,1.1485,-0.2446,0.5423,20.5873,,
2474.31916,-2.94084,0.8166,1.1515,0.3856,0.5437,19.4672,1.5310,
2474.32611,-2.93389,-1.1753,1.1475,-0.5549,0.5418,20.5873,,
2474.33305,-2.92695,0.7978,1.1369,0.3767,0.5368,19.4925,1.5474,
2474.34000,-2.92000,0.3272,1.1539,0.1545,0.5448,20.4600,3.8284,
2474.34694,-2.91306,-0.7000,1.1897,-0.3305,0.5617,20.5873,,
2474.35389,-2.90611,-1.1161,1.1346,-0.5270,0.5357,20.5873,,
2474.36083,-2.89917,-0.0733,1.1444,-0.0346,0.5403,20.5873,,
2474.36778,-2.89222,0.1394,1.1443,0.0658,0.5403,20.5873,,
2474.37472,-2.88528,-0.8804,1.1378,-0.4157,0.5373,20.5873,,
2474.38167,-2.87833,0.5374,1.1614,0.2538,0.5484,19.9214,2.3462,
2474.38861,-2.87139,-1.0128,1.1520,-0.4782,0.5440,20.5873,,
2474.39556,-2.86444,-1.6237,1.1335,-0.7667,0.5352,20.5873,,
2474.40250,-2.85750,-0.2444,1.1385,-0.1154,0.5375,20.5873,,
2474.40945,-2.85055,-0.8533,1.1756,-0.4029,0.5551,20.5873,,
2474.41639,-2.84361,-0.4385,1.1675,-0.2070,0.5513,20.5873,,
2474.42334,-2.83666,-1.3239,1.1436,-0.6251,0.5400,20.5873,,
2474.43028,-2.82972,-1.0790,1.1234,-0.5095,0.5304,20.5873,,
2474.43723,-2.82277,-1.0689,1.1392,-0.5047,0.5379,20.5873,,
2474.44417,-2.81583,-0.0119,1.1453,-0.0056,0.5408,20.5873,,
2474.45112,-2.80888,-2.4841,1.1368,-1.1729,0.5368,20.5873,,
2474.45806,-2.80194,0.6104,1.1389,0.2882,0.5378,19.7832,2.0260,
2474.46501,-2.79499,0.5501,1.1768,0.2597,0.5557,19.8961,2.3228,
2474.47195,-2.78805,0.4943,1.1676,0.2334,0.5513,20.0123,2.5647,
2474.47890,-2.78110,1.3591,1.1837,0.6417,0.5589,18.9141,0.9456,
2474.48585,-2.77415,1.3084,1.1835,0.6178,0.5588,18.9554,0.9821,
2474.49279,-2.76721,0.6501,1.1309,0.3070,0.5340,19.7147,1.8886,
2474.49973,-2.76027,-2.1601,1.1392,-1.0199,0.5379,20.5873,,
2474.50668,-2.75332,-1.3310,1.1387,-0.6284,0.5376,20.5873,,
2474.51362,-2.74638,-0.6274,1.1716,-0.2962,0.5532,20.5873,,
2474.52057,-2.73943,0.0238,1.1472,0.0112,0.5417,20.5873,,
2474.52751,-2.73249,0.1826,1.1410,0.0862,0.5387,20.5873,,
2474.53446,-2.72554,-0.4856,1.1321,-0.2293,0.5346,20.5873,,
2474.54140,-2.71860,1.7651,1.1467,0.8334,0.5414,18.6303,0.7054,
2474.54835,-2.71165,0.7172,1.1815,0.3387,0.5579,19.6080,1.7885,
2474.55530,-2.70470,-0.0323,1.1687,-0.0153,0.5518,20.5873,,
2474.56224,-2.69776,-1.0333,1.1572,-0.4879,0.5464,20.5873,,
2474.56919,-2.69081,-1.4695,1.1728,-0.6938,0.5538,20.5873,,
2474.57613,-2.68387,-1.2217,1.1562,-0.5769,0.5459,20.5873,,
2474.58308,-2.67692,2.0841,1.1782,0.9841,0.5563,18.4499,0.6138,
2474.59002,-2.66998,0.4642,1.1315,0.2192,0.5343,20.0804,2.6464,
2474.59697,-2.66303,0.1434,1.1295,0.0677,0.5333,20.5873,,
2474.60391,-2.65609,-1.9810,1.1468,-0.9354,0.5415,20.5873,,
2474.61780,-2.64220,-0.1184,1.1637,-0.0559,0.5494,20.5873,,
2474.62475,-2.63525,-1.0091,1.1658,-0.4765,0.5504,20.5873,,
2474.63169,-2.62831,-0.3291,1.1648,-0.1554,0.5500,20.5873,,
2474.63864,-2.62136,3.2648,1.1739,1.5415,0.5543,17.9626,0.3904,
2474.64558,-2.61442,0.5950,1.1755,0.2809,0.5550,19.8109,2.1449,
2474.65253,-2.60747,-0.5573,1.1697,-0.2631,0.5523,20.5873,,
2474.65947,-2.60053,-0.6371,1.1806,-0.3008,0.5574,20.5873,,
2474.66642,-2.59358,0.4095,1.1442,0.1934,0.5402,20.2166,3.0336,
2474.67336,-2.58664,0.1923,1.1574,0.0908,0.5465,20.5873,,
2474.68031,-2.57969,-0.9958,1.1902,-0.4702,0.5620,20.5873,,
2474.68725,-2.57275,-0.1471,1.1722,-0.0694,0.5535,20.5873,,
2474.69420,-2.56580,2.2627,1.1549,1.0684,0.5453,18.3606,0.5542,
2474.70114,-2.55886,0.0022,1.1694,0.0010,0.5521,20.5873,,
2474.70809,-2.55191,0.6905,1.1576,0.3260,0.5466,19.6493,1.8202,
2474.71503,-2.54497,0.3256,1.1652,0.1538,0.5502,20.4654,3.8851,
2474.72198,-2.53802,0.1572,1.1741,0.0742,0.5544,20.5873,,
2474.72892,-2.53108,0.9630,1.1322,0.4547,0.5346,19.2882,1.2765,
2474.73587,-2.52413,0.0731,1.1834,0.0345,0.5588,20.5873,,
2474.74281,-2.51719,-0.5397,1.1899,-0.2548,0.5619,20.5873,,
2474.74976,-2.51024,0.3408,1.1626,0.1609,0.5490,20.4160,3.7041,
2474.75670,-2.50330,0.0988,1.1682,0.0467,0.5516,20.5873,,
2474.76365,-2.49635,0.6132,1.1832,0.2895,0.5587,19.7782,2.0950,
2474.77059,-2.48941,0.4687,1.1529,0.2213,0.5444,20.0699,2.6704,
2474.77754,-2.48246,0.5220,1.1493,0.2465,0.5427,19.9531,2.3907,
2474.78448,-2.47552,0.6340,1.1650,0.2994,0.5501,19.7419,1.9950,
2474.79143,-2.46857,-0.7351,1.1525,-0.3471,0.5442,20.5873,,
2474.79837,-2.46163,0.3815,1.1629,0.1801,0.5491,20.2934,3.3095,
2474.80532,-2.45468,0.7271,1.1616,0.3433,0.5485,19.5932,1.7346,
2474.81226,-2.44774,1.6852,1.1260,0.7957,0.5316,18.6805,0.7254,
2474.81921,-2.44079,-1.1011,1.1503,-0.5199,0.5431,20.5873,,
2474.82615,-2.43385,-0.2016,1.1503,-0.0952,0.5431,20.5873,,
2474.83310,-2.42690,0.1336,1.1588,0.0631,0.5471,20.5873,,
