BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2477.38539,0.12539,0.14591,0.19213,0.06890,0.09072,19.97042,0.43285,
2477.63541,0.37541,-0.16030,0.19359,-0.07569,0.09141,20.20533,0.60341,
2477.88543,0.62543,0.39837,0.19521,0.18809,0.09217,19.91953,0.42639,
2478.11617,0.85617,0.02202,0.21655,0.01040,0.10225,20.04542,0.35591,
2478.38547,1.12547,0.43760,0.19301,0.20663,0.09113,19.86253,0.38257,
2478.63549,1.37549,-0.02594,0.19431,-0.01225,0.09175,20.06300,0.51999,
2478.88551,1.62550,-0.17154,0.19538,-0.08100,0.09225,20.32778,0.75283,
2479.13552,1.87552,-0.00434,0.19607,-0.00205,0.09258,20.08922,0.59759,
2479.38554,2.12554,0.04848,0.19613,0.02290,0.09261,19.96598,0.45864,
2479.63556,2.37556,0.25415,0.19682,0.12000,0.09293,19.85618,0.44520,
2479.88558,2.62558,0.77767,0.19781,0.36719,0.09340,19.54721,0.31768,
2480.13560,2.87560,0.76559,0.19594,0.36149,0.09252,19.56620,0.30463,
2480.38562,3.12561,0.87680,0.19673,0.41400,0.09289,19.51641,0.30240,
2480.63564,3.37563,0.32619,0.19595,0.15402,0.09252,19.95341,0.43891,
2480.88565,3.62565,0.46153,0.19720,0.21793,0.09311,19.83933,0.38843,
2481.13567,3.87567,0.30041,0.19548,0.14184,0.09230,20.09140,0.54856,
2481.38569,4.12569,0.51487,0.19876,0.24311,0.09385,19.71733,0.32195,
2481.63571,4.37571,0.51581,0.19897,0.24355,0.09395,19.69309,0.34049,
2481.88573,4.62572,0.38002,0.20010,0.17944,0.09448,19.90590,0.42273,
2482.11647,4.85647,0.70208,0.22118,0.33150,0.10444,19.67542,0.41375,
2482.38576,5.12576,0.29141,0.19917,0.13759,0.09404,19.83498,0.29895,
2482.63578,5.37578,0.97121,0.20406,0.45858,0.09635,19.44451,0.32784,
2482.88580,5.62580,0.55481,0.20684,0.26198,0.09766,19.71915,0.43804,
2483.14153,5.88153,1.27444,0.21332,0.60176,0.10072,19.17706,0.29243,
2483.29763,6.03763,2.11619,0.40086,0.99920,0.18928,18.65197,0.41096,
