BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2559.34680,0.12680,0.29007,0.19799,0.07930,0.05413,19.88385,0.42467,
2559.59683,0.37683,0.29879,0.19915,0.08169,0.05445,19.81879,0.41688,
2559.84685,0.62685,0.25517,0.20063,0.06976,0.05485,19.82069,0.44577,
2560.09688,0.87688,-0.17272,0.20171,-0.04722,0.05515,20.06312,0.66302,
2560.34690,1.12690,0.29908,0.19910,0.08178,0.05444,19.85241,0.43134,
2560.59693,1.37693,0.12645,0.20037,0.03457,0.05478,19.90670,0.37964,
2560.84695,1.62695,0.41340,0.20042,0.11303,0.05480,19.74783,0.37344,
2561.09698,1.87698,-0.02350,0.20109,-0.00643,0.05498,20.00859,0.53066,
2561.34700,2.12700,0.42397,0.20134,0.11593,0.05505,19.76794,0.36880,
2561.59703,2.37703,0.66972,0.19957,0.18311,0.05456,19.60729,0.32457,
2561.84705,2.62705,0.79085,0.20100,0.21623,0.05496,19.46134,0.26214,
2562.09708,2.87708,0.58992,0.20404,0.16129,0.05579,19.59522,0.28538,
2562.34710,3.12710,0.43361,0.20622,0.11856,0.05638,19.61314,0.33418,
2562.59713,3.37713,0.50084,0.20478,0.13694,0.05599,19.69675,0.38509,
2562.84715,3.62715,1.09167,0.19984,0.29848,0.05464,19.25901,0.27004,
2563.09717,3.87717,1.25674,0.20594,0.34361,0.05631,19.09505,0.20744,
2563.34720,4.12720,1.12233,0.20505,0.30687,0.05606,19.31529,0.30934,
2563.59722,4.37722,1.26610,0.20100,0.34617,0.05496,19.16794,0.25399,
2563.84725,4.62725,1.43489,0.19621,0.39231,0.05364,18.99424,0.18522,
2564.09727,4.87727,1.29870,0.19711,0.35508,0.05389,19.09289,0.20436,
2564.34730,5.12730,1.65974,0.19971,0.45379,0.05460,18.85869,0.18625,
2564.54176,5.32176,1.39140,0.26273,0.38043,0.07183,19.03773,0.26764,
2567.37806,8.15806,1.64536,0.31176,0.44986,0.08524,18.90209,0.28453,
2567.60068,8.38068,2.24104,0.21575,0.61274,0.05899,18.53346,0.17241,
2567.84763,8.62763,2.05447,0.20620,0.56172,0.05638,18.57564,0.15089,
2568.09765,8.87765,2.35647,0.20333,0.64429,0.05559,18.41216,0.12441,
2568.34768,9.12768,2.80366,0.19148,0.76656,0.05235,18.19730,0.09710,
2568.59770,9.37770,2.85412,0.19235,0.78036,0.05259,18.17897,0.09570,
2568.84773,9.62773,3.08925,0.19303,0.84464,0.05278,18.08735,0.08266,
2569.09775,9.87775,2.86977,0.19143,0.78464,0.05234,18.16728,0.09338,
2569.34778,10.12778,2.98538,0.19057,0.81624,0.05210,18.11199,0.08661,
2569.59780,10.37780,3.22373,0.18936,0.88142,0.05177,18.01791,0.07216,
2569.84783,10.62783,3.30723,0.19285,0.90424,0.05273,18.00980,0.07840,
2570.09785,10.87785,3.37838,0.20285,0.92370,0.05546,17.97725,0.07694,
2570.34788,11.12788,3.22421,0.19337,0.88155,0.05287,18.04197,0.07084,
2570.59790,11.37790,3.22042,0.19330,0.88051,0.05285,18.01699,0.07352,
2570.84793,11.62793,3.32885,0.19016,0.91015,0.05199,17.96802,0.06674,
2571.09795,11.87795,3.56889,0.19475,0.97579,0.05325,17.91665,0.06809,
2571.34798,12.12798,3.56187,0.18902,0.97387,0.05168,17.90434,0.06444,
2571.59800,12.37800,3.23603,0.18545,0.88478,0.05070,18.00931,0.06870,
2571.84803,12.62803,3.02470,0.18526,0.82699,0.05065,18.09346,0.07638,
2572.09805,12.87805,3.38392,0.18633,0.92521,0.05094,17.96579,0.06848,
2572.36065,13.14065,3.45626,0.20660,0.94499,0.05649,17.95176,0.07878,
2572.59810,13.37810,3.31197,0.18656,0.90553,0.05101,17.99933,0.07229,
2572.84813,13.62813,3.34738,0.18476,0.91521,0.05051,18.01319,0.09869,
2573.09815,13.87815,3.36164,0.18501,0.91913,0.05058,17.98451,0.07072,
2573.34818,14.12818,3.59634,0.18806,0.98329,0.05142,17.89660,0.06314,
2573.59820,14.37820,3.47191,0.18813,0.94926,0.05144,17.94597,0.07180,
2573.84823,14.62823,3.69384,0.18570,1.00996,0.05077,17.84850,0.05755,
2574.09825,14.87825,3.47779,0.18346,0.95086,0.05016,17.93467,0.06500,
2574.30660,15.08661,3.64535,0.22560,0.99669,0.06168,17.89583,0.09011,
