BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2562.43546,0.12546,-0.19170,0.47405,-0.02843,0.07029,20.03699,0.43280,
2562.68547,0.37547,0.29978,0.49212,0.04445,0.07297,19.95406,0.31252,
2562.93549,0.62549,1.40129,0.49015,0.20777,0.07267,19.76405,0.33467,
2563.18550,0.87550,0.78780,0.47781,0.11681,0.07085,19.90754,0.37081,
2563.43551,1.12551,-0.51921,0.46905,-0.07698,0.06955,20.05317,0.40148,
2563.68552,1.37552,-0.42134,0.48878,-0.06247,0.07247,20.12255,0.53199,
2563.93553,1.62553,-0.25791,0.48527,-0.03824,0.07195,20.06709,0.40384,
2564.18554,1.87554,0.10738,0.49745,0.01592,0.07376,20.02650,0.44470,
2564.43555,2.12555,0.44982,0.49997,0.06670,0.07413,19.94865,0.39095,
2564.58833,2.27834,1.21767,1.07987,0.18051,0.16011,19.64777,0.62450,
2568.73618,6.42618,2.55912,0.66141,0.37943,0.09807,19.43504,0.26336,
2568.93576,6.62576,1.53617,0.52399,0.22777,0.07769,19.70229,0.30015,
2569.18577,6.87577,2.07337,0.50384,0.30741,0.07470,19.69809,0.30676,
2569.43578,7.12578,2.66025,0.50810,0.39443,0.07534,19.39410,0.22771,
2569.68579,7.37579,1.71006,0.49822,0.25354,0.07387,19.69501,0.30542,
2569.93580,7.62580,2.19626,0.50840,0.32565,0.07538,19.63655,0.34461,
2570.18581,7.87581,1.92499,0.50839,0.28542,0.07538,19.67446,0.26551,
2570.43582,8.12582,1.40748,0.50391,0.20869,0.07472,19.77038,0.34263,
2570.68583,8.37583,2.64806,0.50534,0.39263,0.07493,19.45544,0.25719,
2570.93584,8.62584,1.93894,0.51418,0.28749,0.07624,19.66394,0.33021,
2571.18585,8.87585,1.96789,0.51265,0.29178,0.07601,19.57999,0.23388,
2571.43586,9.12586,1.64106,0.51144,0.24332,0.07583,19.60696,0.21417,
2571.68587,9.37587,1.85177,0.52348,0.27457,0.07762,19.66787,0.30327,
2571.93588,9.62588,2.38150,0.51195,0.35311,0.07591,19.58037,0.30198,
2572.16853,9.85853,2.40166,0.56718,0.35610,0.08410,19.56184,0.33967,
2572.44284,10.13284,1.82379,0.51880,0.27041,0.07692,19.63485,0.25954,
2572.68591,10.37591,3.31072,0.51755,0.49088,0.07674,19.32135,0.27218,
2572.93592,10.62592,3.08053,0.51209,0.45675,0.07593,19.34706,0.21901,
2573.18593,10.87593,3.32603,0.50192,0.49315,0.07442,19.24931,0.22124,
2573.43593,11.12593,2.45455,0.50273,0.36394,0.07454,19.50061,0.18995,
2573.68594,11.37594,4.02939,0.50229,0.59744,0.07447,19.02360,0.18201,
2573.93595,11.62595,3.47012,0.51421,0.51451,0.07624,19.16891,0.21879,
2574.18596,11.87596,4.08203,0.51302,0.60525,0.07607,19.04366,0.18027,
2574.43597,12.12597,3.88761,0.51974,0.57643,0.07706,19.08999,0.18321,
2574.68597,12.37598,4.06804,0.53735,0.60317,0.07967,19.06591,0.19410,
2574.93598,12.62598,4.65496,0.50673,0.69019,0.07513,18.96306,0.17422,
2575.18599,12.87599,4.10303,0.52424,0.60836,0.07773,19.10010,0.20061,
2575.43600,13.12600,4.05625,0.53047,0.60142,0.07865,19.07361,0.18691,
2575.68601,13.37600,3.85518,0.52756,0.57161,0.07822,19.12494,0.19132,
2575.93601,13.62601,4.77237,0.52383,0.70760,0.07767,18.89416,0.19028,
2576.18602,13.87602,4.55296,0.53711,0.67508,0.07964,19.02683,0.20047,
2576.43603,14.12603,5.35337,0.51788,0.79374,0.07679,18.77163,0.13333,
2576.68603,14.37603,5.20160,0.52062,0.77124,0.07719,18.88571,0.18850,
2576.93604,14.62604,4.93955,0.54150,0.73239,0.08029,18.83838,0.17277,
2577.18932,14.87932,6.21013,0.54049,0.92078,0.08014,18.59855,0.17603,
2577.43605,15.12605,5.24814,0.52942,0.77814,0.07850,18.87809,0.19494,
2577.68606,15.37606,5.71476,0.53518,0.84733,0.07935,18.73496,0.15993,
2577.93606,15.62606,6.35666,0.52091,0.94252,0.07724,18.57934,0.15244,
2578.18607,15.87607,6.52161,0.51235,0.96697,0.07597,18.57269,0.12591,
2578.43607,16.12607,6.47736,0.53170,0.96040,0.07884,18.52656,0.11951,
2578.63399,16.32399,6.85455,0.66365,1.01633,0.09840,18.46791,0.12083,
