BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2580.50185,-6.74815,3.6615,1.5511,0.8219,0.3482,17.8381,0.4600,
2580.54351,-6.70649,-0.1943,1.5293,-0.0436,0.3433,19.1356,,
2580.58518,-6.66482,0.1281,1.5069,0.0288,0.3382,19.1356,,
2580.59213,-6.65787,-2.4160,1.5037,-0.5423,0.3375,19.1356,,
2580.61990,-6.63010,0.2564,1.4972,0.0575,0.3361,19.1356,,
2580.63379,-6.61621,0.9619,1.4933,0.2159,0.3352,19.1356,,
2580.64768,-6.60232,-2.9769,1.5056,-0.6682,0.3380,19.1356,,
2580.65463,-6.59537,-2.9218,1.5123,-0.6558,0.3395,19.1356,,
2580.66157,-6.58843,-0.8673,1.5097,-0.1947,0.3389,19.1356,,
2580.66852,-6.58148,-2.0507,1.5054,-0.4603,0.3379,19.1356,,
2580.67546,-6.57454,-3.3933,1.5077,-0.7617,0.3384,19.1356,,
2580.68240,-6.56760,1.5242,1.5020,0.3421,0.3371,18.7896,1.0699,
2580.68935,-6.56065,0.9674,1.4954,0.2172,0.3357,19.1356,,
2580.70324,-6.54676,-0.2728,1.4923,-0.0612,0.3350,19.1356,,
2580.71018,-6.53982,-2.1476,1.4924,-0.4820,0.3350,19.1356,,
2580.71713,-6.53287,-3.7073,1.4836,-0.8322,0.3330,19.1356,,
2580.72407,-6.52593,-0.2584,1.4844,-0.0580,0.3332,19.1356,,
2580.73796,-6.51204,-1.6875,1.4764,-0.3788,0.3314,19.1356,,
2580.74491,-6.50509,-1.3354,1.4696,-0.2998,0.3299,19.1356,,
2580.75879,-6.49121,-1.4069,1.4650,-0.3158,0.3288,19.1356,,
2580.76574,-6.48426,-2.0797,1.4641,-0.4668,0.3286,19.1356,,
2580.77268,-6.47732,-1.3256,1.4367,-0.2976,0.3225,19.1356,,
2580.77963,-6.47037,0.5593,1.4682,0.1255,0.3296,19.1356,,
2580.78657,-6.46343,-0.4978,1.4581,-0.1117,0.3273,19.1356,,
2580.79352,-6.45648,0.4449,1.4512,0.0999,0.3257,19.1356,,
2580.80046,-6.44954,-1.1693,1.4601,-0.2625,0.3277,19.1356,,
2580.80741,-6.44259,0.3385,1.4592,0.0760,0.3275,19.1356,,
2580.81435,-6.43565,-0.8007,1.4522,-0.1797,0.3260,19.1356,,
