BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2584.60226,0.12226,0.05126,0.14501,0.03713,0.10503,20.08552,0.44705,
2584.85226,0.37226,0.09119,0.14501,0.06604,0.10503,20.02162,0.33765,
2585.10226,0.62226,0.14814,0.14499,0.10730,0.10501,20.03787,0.41842,
2585.35554,0.87554,0.18457,0.14704,0.13369,0.10650,19.91755,0.33035,
2585.58581,1.10581,-0.17773,0.18139,-0.12873,0.13138,20.04572,0.42240,
2585.82750,1.34750,0.18751,0.22467,0.13580,0.16272,20.04859,0.60351,
2586.01547,1.53547,0.41250,0.50216,0.29873,0.36371,19.74903,0.53500,
2586.42172,1.94172,0.54498,0.21749,0.39472,0.15752,19.75335,0.44145,
2586.60228,2.12228,-0.06787,0.14497,-0.04916,0.10500,20.08668,0.42442,
2586.85228,2.37228,0.04032,0.14503,0.02921,0.10504,20.06132,0.42342,
2587.10228,2.62228,0.24630,0.14517,0.17839,0.10514,19.86428,0.29659,
2587.35228,2.87228,0.14320,0.14507,0.10372,0.10507,19.98784,0.36661,
2587.60228,3.12228,0.26621,0.14506,0.19281,0.10506,19.89027,0.33593,
2587.85228,3.37228,0.33476,0.14513,0.24247,0.10512,19.86118,0.29915,
2588.10228,3.62228,0.10965,0.14517,0.07941,0.10514,20.00420,0.40442,
2588.35228,3.87228,0.17579,0.14527,0.12731,0.10521,19.96370,0.36171,
2588.60228,4.12228,0.62619,0.14550,0.45354,0.10538,19.71011,0.24174,
2588.85228,4.37228,0.47709,0.14548,0.34557,0.10537,19.72602,0.23750,
2589.10228,4.62228,0.37308,0.14546,0.27021,0.10535,19.92402,0.34389,
2589.35228,4.87228,0.36020,0.14544,0.26088,0.10534,19.91847,0.34951,
2589.60228,5.12228,0.44092,0.14548,0.31936,0.10537,19.73761,0.24249,
2589.85228,5.37228,0.40017,0.14549,0.28984,0.10537,19.75708,0.22775,
2590.10228,5.62228,0.36469,0.14538,0.26414,0.10529,19.77549,0.28622,
2590.35228,5.87228,0.55246,0.14542,0.40013,0.10532,19.73907,0.26952,
2590.60228,6.12228,0.55780,0.14551,0.40401,0.10539,19.74278,0.26864,
2590.85228,6.37228,0.76432,0.14546,0.55359,0.10535,19.54700,0.25453,
2591.10228,6.62227,0.62441,0.14549,0.45224,0.10538,19.73285,0.24133,
2591.35227,6.87227,0.54999,0.14564,0.39834,0.10548,19.66907,0.22859,
2591.60227,7.12227,0.36570,0.14563,0.26487,0.10548,19.82900,0.29418,
2591.84838,7.36838,0.77665,0.15219,0.56252,0.11023,19.55418,0.26904,
2592.11028,7.63028,0.62471,0.17149,0.45246,0.12420,19.70303,0.30946,
2592.33409,7.85409,0.81011,0.21222,0.58675,0.15370,19.57883,0.32023,
2592.52240,8.04241,0.36365,0.61907,0.26335,0.44838,19.61345,0.70220,
2596.61612,12.13612,1.18004,0.15993,0.85469,0.11583,19.19219,0.19842,
2596.85917,12.37917,1.33969,0.15256,0.97031,0.11050,19.10377,0.19109,
2597.10917,12.62917,1.19374,0.15040,0.86461,0.10893,19.15050,0.17037,
2597.35917,12.87917,1.16799,0.14885,0.84595,0.10781,19.18698,0.18528,
2597.60916,13.12916,1.46632,0.14771,1.06203,0.10699,18.94253,0.13501,
2597.85916,13.37916,1.51621,0.14697,1.09816,0.10645,18.89757,0.14899,
2598.10916,13.62916,1.43301,0.14650,1.03790,0.10611,19.01396,0.14840,
2598.35915,13.87915,1.54084,0.14634,1.11600,0.10599,18.98533,0.15916,
2598.60915,14.12915,1.34454,0.14612,0.97383,0.10583,19.06664,0.16868,
2598.85915,14.37915,1.23647,0.14590,0.89556,0.10567,19.16251,0.17678,
2599.10915,14.62915,1.41760,0.14587,1.02675,0.10565,19.01864,0.14759,
2599.35914,14.87914,1.40494,0.14576,1.01757,0.10557,18.99275,0.14197,
2599.59178,15.11178,1.32867,0.15704,0.96234,0.11375,19.10383,0.17839,
