BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2596.65152,3.79152,0.48516,0.20683,0.23195,0.09888,19.50437,0.30673,
2596.90153,4.04153,0.60571,0.20742,0.28959,0.09916,19.40372,0.31695,
2597.15153,4.29153,0.73008,0.20589,0.34903,0.09843,19.28615,0.25551,
2597.40153,4.54153,0.92278,0.20453,0.44118,0.09778,19.18036,0.22448,
2597.65154,4.79154,0.86524,0.20285,0.41366,0.09698,19.22145,0.21498,
2597.90154,5.04154,1.09474,0.20514,0.52339,0.09807,19.09794,0.21580,
2598.15154,5.29154,1.30451,0.20611,0.62366,0.09854,19.02318,0.19352,
2598.40155,5.54155,1.06132,0.20438,0.50740,0.09771,19.11167,0.18101,
2598.65155,5.79155,1.16896,0.20248,0.55886,0.09680,19.05368,0.20421,
2598.90155,6.04155,1.17357,0.20357,0.56106,0.09732,19.04502,0.19835,
2599.15155,6.29155,1.45063,0.20674,0.69353,0.09884,18.97490,0.20785,
2599.40156,6.54156,1.11659,0.20400,0.53383,0.09753,19.13493,0.22605,
2599.65156,6.79156,1.05844,0.20458,0.50603,0.09780,19.14027,0.22072,
2599.90156,7.04156,1.04974,0.20182,0.50186,0.09649,19.15054,0.23005,
2600.15266,7.29266,1.38584,0.20719,0.66255,0.09905,19.03479,0.23002,
2600.39570,7.53570,1.38610,0.23020,0.66268,0.11006,18.98130,0.22696,
2600.65157,7.79157,1.14764,0.20662,0.54866,0.09878,19.11062,0.20841,
2600.90157,8.04157,1.28912,0.20535,0.61631,0.09817,19.00332,0.19840,
2601.15157,8.29157,1.39038,0.20702,0.66471,0.09897,18.95547,0.19103,
2601.40157,8.54157,1.29852,0.20562,0.62080,0.09830,19.06668,0.22509,
2601.65157,8.79157,1.42317,0.20658,0.68040,0.09876,18.96781,0.18914,
2601.90157,9.04157,1.60196,0.20546,0.76586,0.09823,18.85227,0.17042,
2602.15375,9.29375,1.08467,0.21765,0.51856,0.10406,19.17283,0.27116,
2602.40158,9.54158,1.50538,0.20344,0.71970,0.09726,18.91807,0.18993,
2602.65158,9.79158,1.46179,0.20372,0.69885,0.09740,18.93923,0.18747,
2602.90158,10.04158,1.74044,0.20473,0.83208,0.09788,18.75801,0.15125,
2603.15158,10.29158,1.57697,0.20171,0.75393,0.09644,18.90130,0.18274,
2603.40158,10.54158,1.58228,0.19926,0.75647,0.09526,18.90098,0.19321,
2603.65158,10.79158,1.66095,0.19678,0.79407,0.09408,18.84986,0.18270,
2603.90158,11.04158,4.94953,0.19689,2.36629,0.09413,17.88109,0.09995,
2604.15158,11.29158,1.90718,0.19679,0.91179,0.09408,18.67933,0.12538,
2604.40158,11.54158,1.69721,0.19792,0.81141,0.09462,18.80336,0.16459,
2604.65168,11.79168,1.83478,0.20139,0.87717,0.09628,18.72911,0.16498,
2604.90157,12.04157,2.32416,0.19960,1.11114,0.09542,18.44272,0.12804,
2605.15157,12.29157,1.99340,0.19975,0.95302,0.09550,18.63504,0.14766,
2605.40157,12.54157,1.75289,0.20038,0.83803,0.09580,18.78171,0.15694,
2605.65157,12.79157,2.02518,0.20151,0.96821,0.09634,18.63514,0.13679,
2605.86337,13.00337,1.93685,0.23901,0.92597,0.11427,18.64113,0.15018,
