BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2597.79431,3.26431,-0.35857,0.16205,-0.24911,0.11258,19.64368,0.49191,
2598.03668,3.50668,0.27004,0.14415,0.18759,0.10014,19.50545,0.26107,
2598.29015,3.76015,-0.10214,0.14286,-0.07096,0.09925,19.49576,0.24287,
2598.54015,4.01015,0.16495,0.14414,0.11458,0.10014,19.55269,0.28111,
2598.79014,4.26014,0.35014,0.14272,0.24325,0.09915,19.45580,0.23355,
2599.04014,4.51014,0.26763,0.14434,0.18592,0.10027,19.41377,0.21630,
2599.29013,4.76013,0.01118,0.14398,0.00777,0.10002,19.57274,0.32965,
2599.54013,5.01013,0.33157,0.14118,0.23034,0.09808,19.41823,0.22149,
2599.79012,5.26012,0.24625,0.14166,0.17108,0.09841,19.44007,0.21207,
2600.04012,5.51012,0.60421,0.14157,0.41974,0.09835,19.34926,0.19753,
2600.28317,5.75317,0.98809,0.14582,0.68643,0.10130,19.37831,0.24432,
2600.55747,6.02747,0.08132,0.15290,0.05650,0.10622,19.50279,0.26776,
2600.79010,6.26010,0.34011,0.14299,0.23628,0.09934,19.47835,0.24213,
2601.04009,6.51009,0.06788,0.14275,0.04714,0.09917,19.49312,0.24890,
2601.29009,6.76009,0.33586,0.14241,0.23332,0.09893,19.49163,0.26149,
2601.54008,7.01008,0.36610,0.13982,0.25434,0.09714,19.43887,0.22152,
2601.79008,7.26008,0.57737,0.14156,0.40110,0.09834,19.37978,0.20213,
2602.03449,7.50449,0.69788,0.15084,0.48482,0.10479,19.32615,0.19956,
2602.29175,7.76175,0.65692,0.14444,0.45637,0.10034,19.33553,0.19232,
2602.54006,8.01006,0.90430,0.14114,0.62821,0.09805,19.22895,0.16831,
2602.79005,8.26005,0.78846,0.14047,0.54775,0.09758,19.27162,0.17748,
2603.04004,8.51004,0.58572,0.14364,0.40691,0.09979,19.38274,0.20902,
2603.29003,8.76003,0.61076,0.14348,0.42430,0.09968,19.39305,0.21233,
2603.54003,9.01003,0.55523,0.14403,0.38572,0.10006,19.39121,0.20670,
2603.79002,9.26002,0.79922,0.14327,0.55523,0.09953,19.28161,0.18275,
2604.04001,9.51001,0.53194,0.14232,0.36954,0.09887,19.34397,0.20268,
2604.29000,9.76000,0.66095,0.14686,0.45915,0.10203,19.40353,0.22041,
2604.53692,10.00692,0.82376,0.15058,0.57226,0.10461,19.23514,0.17912,
2604.78999,10.25999,0.93186,0.14620,0.64738,0.10156,19.22830,0.17261,
2605.03998,10.50998,1.13612,0.14701,0.78926,0.10212,19.09126,0.14974,
2605.28997,10.75997,0.86894,0.14444,0.60365,0.10035,19.23734,0.17516,
2605.53996,11.00996,0.93076,0.14551,0.64660,0.10108,19.14402,0.14063,
2605.78995,11.25995,1.15739,0.14859,0.80404,0.10323,19.05452,0.14295,
2606.03994,11.50994,1.19704,0.14845,0.83159,0.10313,19.08902,0.15554,
2606.28884,11.75884,1.22888,0.15500,0.85371,0.10768,19.02651,0.15538,
2606.53992,12.00992,0.85172,0.15765,0.59169,0.10952,19.13832,0.16233,
2606.78991,12.25991,1.65218,0.15210,1.14778,0.10567,18.80421,0.13348,
2606.92879,12.39879,1.38060,0.43159,0.95910,0.29982,18.92490,0.36277,
