BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2580.97958,-13.98042,-0.6063,0.8268,-0.2305,0.3143,20.4718,,
2580.98653,-13.97347,-0.3843,0.8064,-0.1461,0.3066,20.4718,,
2581.00736,-13.95264,1.0876,0.8332,0.4135,0.3168,19.1560,0.8318,
2581.04903,-13.91097,-0.6079,0.8211,-0.2311,0.3122,20.4718,,
2581.06292,-13.89708,-0.0529,0.8213,-0.0201,0.3122,20.4718,,
2581.07681,-13.88319,-0.5908,0.8050,-0.2246,0.3060,20.4718,,
2581.09070,-13.86930,0.1030,0.8182,0.0392,0.3110,20.4718,,
2581.09764,-13.86236,-0.9620,0.8092,-0.3657,0.3077,20.4718,,
2581.10459,-13.85541,-1.1464,0.8123,-0.4358,0.3088,20.4718,,
2581.11848,-13.84152,0.3345,0.8070,0.1272,0.3068,20.4361,2.6190,
2581.12542,-13.83458,-1.3474,0.8065,-0.5123,0.3066,20.4718,,
2581.13236,-13.82764,-0.3537,0.8029,-0.1345,0.3052,20.4718,,
2581.14625,-13.81375,0.6651,0.8106,0.2529,0.3082,19.6899,1.3233,
2581.15320,-13.80680,0.1425,0.8072,0.0542,0.3069,20.4718,,
2581.17403,-13.78597,0.6203,0.8031,0.2358,0.3053,19.7658,1.4058,
2581.18098,-13.77902,-0.5969,0.8083,-0.2269,0.3073,20.4718,,
2581.18792,-13.77208,0.9354,0.8011,0.3556,0.3046,19.3197,0.9299,
2581.20181,-13.75819,-0.8276,0.8081,-0.3146,0.3072,20.4718,,
2581.21570,-13.74430,-1.6335,0.7993,-0.6210,0.3039,20.4718,,
2581.22264,-13.73736,-0.5567,0.7956,-0.2117,0.3025,20.4718,,
2581.22959,-13.73041,1.2626,0.8034,0.4800,0.3054,18.9940,0.6909,
2581.23653,-13.72347,-0.8463,0.8054,-0.3218,0.3062,20.4718,,
2581.24348,-13.71652,-0.0782,0.7846,-0.0297,0.2983,20.4718,,
2581.25042,-13.70958,-0.3939,0.7940,-0.1498,0.3019,20.4718,,
2581.25737,-13.70263,0.7563,0.7804,0.2875,0.2967,19.5505,1.1204,
2581.26431,-13.69569,-0.5394,0.7833,-0.2051,0.2978,20.4718,,
2581.27126,-13.68874,0.7919,0.7680,0.3011,0.2920,19.5005,1.0529,
2581.27820,-13.68180,-0.8026,0.7835,-0.3051,0.2979,20.4718,,
2581.28515,-13.67485,-0.5711,0.7608,-0.2171,0.2892,20.4718,,
2581.29209,-13.66791,-0.0665,0.7748,-0.0253,0.2946,20.4718,,
2581.29904,-13.66096,-0.7210,0.7637,-0.2741,0.2903,20.4718,,
2581.30598,-13.65402,0.6323,0.7604,0.2404,0.2891,19.7448,1.3056,
2581.31293,-13.64707,1.0603,0.7635,0.4031,0.2903,19.1837,0.7818,
2581.31987,-13.64013,0.9213,0.7734,0.3503,0.2940,19.3361,0.9114,
2581.32681,-13.63319,0.5214,0.7611,0.1982,0.2894,19.9542,1.5849,
2581.33376,-13.62624,-0.3462,0.7579,-0.1316,0.2881,20.4718,,
2581.34765,-13.61235,-0.5427,0.7776,-0.2063,0.2956,20.4718,,
2581.35459,-13.60541,-0.8702,0.7763,-0.3308,0.2951,20.4718,,
2581.36154,-13.59846,0.8063,0.7759,0.3066,0.2950,19.4809,1.0447,
2581.36848,-13.59152,-0.6618,0.7734,-0.2516,0.2940,20.4718,,
2581.38237,-13.57763,-0.3804,0.7709,-0.1446,0.2931,20.4718,,
2581.38932,-13.57068,-0.8377,0.7739,-0.3185,0.2942,20.4718,,
2581.39626,-13.56374,-0.8540,0.7682,-0.3247,0.2921,20.4718,,
2581.40321,-13.55679,-0.2375,0.7591,-0.0903,0.2886,20.4718,,
2581.41709,-13.54291,0.3960,0.7630,0.1505,0.2901,20.2531,2.0922,
2581.42404,-13.53596,0.5346,0.7616,0.2033,0.2895,19.9271,1.5466,
2581.43098,-13.52902,-0.5375,0.7664,-0.2043,0.2914,20.4718,,
2581.43793,-13.52207,0.0458,0.7590,0.0174,0.2885,20.4718,,
2581.44487,-13.51513,0.0233,0.7561,0.0088,0.2875,20.4718,,
2581.45182,-13.50818,-0.7162,0.7605,-0.2723,0.2891,20.4718,,
2581.45876,-13.50124,0.3333,0.7536,0.1267,0.2865,20.4403,2.4552,
2581.46571,-13.49429,-1.4429,0.7590,-0.5486,0.2885,20.4718,,
2581.47265,-13.48735,-1.0998,0.7544,-0.4181,0.2868,20.4718,,
2581.47960,-13.48040,0.6397,0.7530,0.2432,0.2863,19.7323,1.2782,
2581.48654,-13.47346,0.3932,0.7533,0.1495,0.2864,20.2606,2.0798,
2581.49348,-13.46652,0.3593,0.7443,0.1366,0.2829,20.3585,2.2490,
2581.50043,-13.45957,0.7648,0.7506,0.2907,0.2854,19.5384,1.0656,
2581.50737,-13.45263,0.7995,0.7534,0.3040,0.2864,19.4901,1.0231,
2581.51432,-13.44568,-0.4758,0.7479,-0.1809,0.2843,20.4718,,
2581.52126,-13.43874,0.5685,0.7544,0.2161,0.2868,19.8603,1.4408,
2581.52821,-13.43179,-1.5589,0.7538,-0.5927,0.2866,20.4718,,
2581.53515,-13.42485,-0.0291,0.7530,-0.0111,0.2863,20.4718,,
2581.54210,-13.41790,-0.6637,0.7513,-0.2523,0.2856,20.4718,,
2581.54904,-13.41096,-0.0300,0.7519,-0.0114,0.2859,20.4718,,
2581.55599,-13.40401,-0.3845,0.7487,-0.1462,0.2846,20.4718,,
2581.56293,-13.39707,0.5625,0.7462,0.2139,0.2837,19.8718,1.4402,
2581.56988,-13.39012,0.7884,0.7437,0.2997,0.2827,19.5053,1.0241,
2581.57682,-13.38318,-0.8494,0.7481,-0.3229,0.2844,20.4718,,
2581.58376,-13.37624,0.8385,0.7484,0.3188,0.2845,19.4384,0.9691,
2581.59071,-13.36929,1.5968,0.7591,0.6071,0.2886,18.7391,0.5162,
2581.59765,-13.36235,-0.3053,0.7664,-0.1161,0.2914,20.4718,,
2581.60460,-13.35540,-0.0884,0.7634,-0.0336,0.2902,20.4718,,
