BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2596.67076,1.71076,-0.06183,0.12364,-0.02350,0.04700,20.14231,0.33842,
2596.92076,1.96076,0.37237,0.12160,0.14157,0.04623,19.93002,0.28884,
2597.17076,2.21076,-0.04289,0.12153,-0.01632,0.04620,20.22912,0.40406,
2597.42076,2.46076,0.31229,0.12064,0.11872,0.04586,19.92863,0.25794,
2597.67076,2.71076,0.23653,0.11951,0.08992,0.04544,19.96419,0.26457,
2597.92077,2.96077,0.44149,0.11753,0.16784,0.04468,19.92568,0.25631,
2598.17077,3.21077,0.30109,0.11630,0.11447,0.04421,20.01897,0.26948,
2598.42077,3.46077,0.38974,0.11612,0.14818,0.04415,19.96801,0.27661,
2598.67077,3.71077,0.50459,0.11634,0.19183,0.04423,19.84516,0.23325,
2598.92077,3.96077,0.32686,0.11652,0.12426,0.04430,20.03020,0.23032,
2599.17077,4.21077,0.29077,0.11607,0.11055,0.04413,20.04324,0.26855,
2599.42077,4.46077,0.33199,0.11586,0.12622,0.04405,20.01234,0.29569,
2599.67077,4.71077,0.52242,0.11677,0.19862,0.04439,19.83356,0.24494,
2599.92077,4.96077,0.60162,0.11628,0.22872,0.04421,19.78420,0.23117,
2600.17246,5.21246,0.45843,0.11696,0.17428,0.04447,19.83556,0.22814,
2600.41993,5.45993,0.54189,0.12848,0.20601,0.04885,19.74798,0.23087,
2600.67077,5.71077,0.53715,0.11365,0.20422,0.04321,19.82415,0.23379,
2600.92077,5.96077,0.65437,0.11277,0.24878,0.04287,19.71294,0.19277,
2601.17077,6.21077,0.68404,0.11474,0.26006,0.04362,19.64574,0.19606,
2601.42077,6.46077,0.68392,0.11567,0.26001,0.04398,19.68116,0.20943,
2601.67077,6.71077,0.89599,0.11532,0.34063,0.04384,19.44736,0.15990,
2601.92077,6.96077,1.04515,0.11574,0.39734,0.04400,19.34843,0.14727,
2602.17554,7.21554,0.94103,0.12192,0.35775,0.04635,19.45165,0.19831,
2602.42077,7.46077,0.85823,0.11562,0.32629,0.04396,19.49641,0.16534,
2602.67077,7.71077,1.04395,0.11571,0.39689,0.04399,19.34746,0.17444,
2602.92077,7.96077,1.24131,0.11598,0.47192,0.04409,19.21680,0.16276,
2603.17077,8.21077,1.15445,0.11560,0.43889,0.04395,19.23382,0.15275,
2603.42076,8.46076,1.36782,0.11522,0.52001,0.04381,19.07339,0.12978,
2603.67076,8.71076,1.33506,0.11594,0.50757,0.04408,19.08097,0.15030,
2603.92076,8.96076,1.35404,0.11576,0.51478,0.04401,19.07917,0.11946,
2604.17076,9.21076,1.43249,0.11641,0.54461,0.04426,18.95173,0.10525,
2604.42076,9.46076,1.66509,0.11601,0.63304,0.04410,18.84013,0.11168,
2604.67145,9.71145,1.72784,0.11667,0.65689,0.04435,18.75998,0.10471,
2604.92075,9.96075,1.72835,0.11557,0.65708,0.04394,18.74014,0.08718,
2605.17422,10.21422,1.67235,0.11356,0.63579,0.04317,18.78594,0.09829,
2605.42770,10.46770,1.96328,0.11549,0.74639,0.04390,18.54529,0.06980,
2605.67769,10.71769,2.28485,0.11559,0.86864,0.04395,18.42114,0.07393,
2605.92769,10.96769,2.24204,0.11691,0.85237,0.04445,18.42350,0.06591,
2606.17769,11.21769,2.63644,0.11666,1.00231,0.04435,18.24002,0.05574,
2606.43056,11.47056,2.48147,0.11810,0.94340,0.04490,18.33575,0.07060,
2606.67768,11.71768,2.37063,0.11640,0.90126,0.04426,18.38260,0.06693,
2606.87212,11.91212,2.32240,0.15652,0.88292,0.05951,18.42041,0.09599,
